shark_col,shark_temp_col,Q10,overlap_form,overlap_slope,shark_transform,n,aic,bic,cfi,rmsea,b_hake_cpue,p_hake_cpue,b_cpue_sar,p_cpue_sar,b_shark_sar,p_shark_sar,model_group,sig_shark,sig_hake,sig_cpue
goa_pacific_sleeper_shark,enso_dj,2,linear,0.2,z_roll2,24,102.95533756044506,111.20171437288067,0.8047235245819069,0.3313882204893412,-0.37201497826753915,1.4367408691451367e-4,0.7379067902932883,1.3120741252015122e-4,-0.3939315272309782,0.0209343532048738,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,logistic,0.6,z,24,103.04327361120406,111.28965042363967,0.8003863672358424,0.33527400663988416,-0.37201497826753915,1.4367408684190508e-4,0.7347374270760946,1.4253400913744052e-4,-0.3443903873836244,0.022264800189670586,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,pdo_djf,2,logistic,0.2,log1p_z,24,103.04492894791267,111.29130576034828,0.837405952669854,0.29581644282439534,-0.37201497826753877,1.4367408686877248e-4,0.754194228934113,1.0471745842788316e-4,-0.33075481497955617,0.022290620099030267,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,akclim_goa_egoa_spr_sst,2,logistic,0.2,log1p_z,24,103.07860304589383,111.32497985832944,0.847065823932404,0.28503187468866187,-0.37201497826753915,1.4367408688986671e-4,0.7467869388123634,1.1883399859780042e-4,-0.31495301470335685,0.022822261616351147,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,akclim_goa_egoa_win_sst,2,logistic,0.2,log1p_z,24,103.07986074766174,111.32623756009735,0.8343172851109516,0.2989235087215483,-0.37201497826753893,1.4367408692739225e-4,0.7617777102763681,9.484464493358935e-5,-0.332235523226244,0.022842356091797633,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,sst_egoa_coastwatch_junjulaug,2,logistic,0.4,log1p_z,24,103.11153070253866,111.35790751497427,0.8530783922889937,0.2781741774051285,-0.37201497826753915,1.4367408684878846e-4,0.7323267472963215,1.5185265199879616e-4,-0.3032603171053001,0.02335408816902551,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,sst_egoa_coastwatch_junjulaug,2,linear,0.2,log1p_z,24,103.12412901146683,111.37050582390245,0.8535122136555625,0.2776114655853648,-0.37201497826753893,1.436740869684705e-4,0.731349570588203,1.550070173299556e-4,-0.30188607427428366,0.023560755131275313,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,akclim_goa_wgoa_spr_sst,2,logistic,0.2,log1p_z,24,103.14836445694684,111.39474126938245,0.8413928011631131,0.2907765044941292,-0.37201497826753915,1.4367408688165106e-4,0.7478587183696043,1.198660955656905e-4,-0.3167600713577958,0.023963361129280214,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,logistic,0.2,log1p_z,24,103.15705523216249,111.4034320445981,0.8378347541981193,0.294584094177614,-0.37201497826753915,1.4367408686766225e-4,0.7530936607500104,1.1103028212611221e-4,-0.3121979981781509,0.024109366918096953,long,TRUE,TRUE,TRUE
goa_pacific_sleeper_shark_2y_avg_backward,enso_dj,2,linear,0.4,z,24,103.1662445591017,111.41262137153731,0.8003686257760203,0.33433836672717726,-0.3720149782675388,1.4367408689563987e-4,0.7352812984130903,1.4734554899020758e-4,-0.33286502046989325,0.024264694596906722,long,TRUE,TRUE,TRUE
