pair_id,ncc_predator,ak_predator,ncc_altprey,ak_altprey,ncc_final_stage,ak_final_stage,aic,bic,cfi,global_p,cpue_r2,sar_r2
248,X10_Harbor_seal_CR_2yrLead,X15_spinyDogfishGoA_predAK,X09_DFA_HakeAge5Plus_2yrLead,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
265,X10_Harbor_seal_CR_smoltYear,X15_spinyDogfishGoA_predAK,X09_DFA_HakeAge5Plus,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
299,X10_Harbour_s_smoltYear_WS,X15_spinyDogfishGoA_predAK,X09_DFA_HakeAge5Plus,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
316,X10_Northern_f_s_2yrLead_WS,X15_spinyDogfishGoA_predAK,X09_DFA_HakeAge5Plus_2yrLead,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
333,X10_Northern_f_s_smoltYear_WS,X15_spinyDogfishGoA_predAK,X09_DFA_HakeAge5Plus,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
350,X11_DFA_Harbour_p_WS,X15_spinyDogfishGoA_predAK,X09_DFA_HakeAge5Plus,X12_egoa.krill,Null (Dropped),AltPrey Interaction,14.479777837659746,15.115310171098432,1,0.4980506999668828,NA,0.942747728619031
228,X10_Californian_s_l_smoltYear_WS,X15_sablefishRecruitment_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,AltPrey Interaction,Predator Main Effect (Negative),14.492730588098489,15.20770446321701,0.8980307432641285,0.17347639084892696,0.8305443026330472,0.7606876271542213
114,X09_DFA_HakeAge5Plus,X15_halibutBiomassAge8plus_2yrLead_predAK,X09_DFA_HakeAge5Plus,NA,Additive (Pred + Prey),Predator Main Effect (Negative),14.510649113450164,15.066739905209014,0.8869901472738166,0.11097194867232552,0.36283888018898847,0.9127528742790398
12,X08_DFA_DC_corm_3_WS,X15_halibutBiomassAge8plus_2yrLead_predAK,X04_marketsquid_GAM,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
29,X08_commonMurre_JSOES,X15_halibutBiomassAge8plus_2yrLead_predAK,X04_marketsquid_GAM,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
63,X09_DFA_ChinAbundSnakeFall,X15_halibutBiomassAge8plus_2yrLead_predAK,X12_DFA_biomassEuphShelfSum,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
80,X09_DFA_ChinAbundSnakeFall,X15_halibutBiomassAge8plus_2yrLead_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
131,X09_canaryRockfish,X15_halibutBiomassAge8plus_2yrLead_predAK,X12_DFA_biomassEuphShelfSum,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
148,X10_DFA_ssl.est.wholerange_2yrLead,X15_halibutBiomassAge8plus_2yrLead_predAK,eulachon_during_chinook_2yrlead,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
182,X10_DFA_ssl.est.wholerange_smoltYear,X15_halibutBiomassAge8plus_2yrLead_predAK,eulachon_during_chinook,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
199,X10_DFA_ssl.est.wholerange_smoltYear,X15_halibutBiomassAge8plus_2yrLead_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
250,X10_Harbor_seal_CR_2yrLead,X15_halibutBiomassAge8plus_2yrLead_predAK,X09_DFA_HakeAge5Plus_2yrLead,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
267,X10_Harbor_seal_CR_smoltYear,X15_halibutBiomassAge8plus_2yrLead_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
301,X10_Harbour_s_smoltYear_WS,X15_halibutBiomassAge8plus_2yrLead_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
318,X10_Northern_f_s_2yrLead_WS,X15_halibutBiomassAge8plus_2yrLead_predAK,X09_DFA_HakeAge5Plus_2yrLead,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
335,X10_Northern_f_s_smoltYear_WS,X15_halibutBiomassAge8plus_2yrLead_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
352,X11_DFA_Harbour_p_WS,X15_halibutBiomassAge8plus_2yrLead_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),16.116510873879342,16.593160123958356,1,0.5265529303829204,NA,0.8808232178587269
115,X09_DFA_HakeAge5Plus,X15_halibutBiomassAge8plus_smoltYear_predAK,X09_DFA_HakeAge5Plus,NA,Additive (Pred + Prey),Predator Main Effect (Negative),16.260104784963712,16.816195576722563,0.8853005138420122,0.12179836285924495,0.3628388801889886,0.8937404778451445
13,X08_DFA_DC_corm_3_WS,X15_halibutBiomassAge8plus_smoltYear_predAK,X04_marketsquid_GAM,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
30,X08_commonMurre_JSOES,X15_halibutBiomassAge8plus_smoltYear_predAK,X04_marketsquid_GAM,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
64,X09_DFA_ChinAbundSnakeFall,X15_halibutBiomassAge8plus_smoltYear_predAK,X12_DFA_biomassEuphShelfSum,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
81,X09_DFA_ChinAbundSnakeFall,X15_halibutBiomassAge8plus_smoltYear_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
132,X09_canaryRockfish,X15_halibutBiomassAge8plus_smoltYear_predAK,X12_DFA_biomassEuphShelfSum,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
149,X10_DFA_ssl.est.wholerange_2yrLead,X15_halibutBiomassAge8plus_smoltYear_predAK,eulachon_during_chinook_2yrlead,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
183,X10_DFA_ssl.est.wholerange_smoltYear,X15_halibutBiomassAge8plus_smoltYear_predAK,eulachon_during_chinook,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
200,X10_DFA_ssl.est.wholerange_smoltYear,X15_halibutBiomassAge8plus_smoltYear_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
251,X10_Harbor_seal_CR_2yrLead,X15_halibutBiomassAge8plus_smoltYear_predAK,X09_DFA_HakeAge5Plus_2yrLead,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
268,X10_Harbor_seal_CR_smoltYear,X15_halibutBiomassAge8plus_smoltYear_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
302,X10_Harbour_s_smoltYear_WS,X15_halibutBiomassAge8plus_smoltYear_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
319,X10_Northern_f_s_2yrLead_WS,X15_halibutBiomassAge8plus_smoltYear_predAK,X09_DFA_HakeAge5Plus_2yrLead,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
336,X10_Northern_f_s_smoltYear_WS,X15_halibutBiomassAge8plus_smoltYear_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
353,X11_DFA_Harbour_p_WS,X15_halibutBiomassAge8plus_smoltYear_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),17.865966545392496,18.34261579547151,1,0.6230583316568019,NA,0.8555661324188342
106,X09_DFA_HakeAge5Plus,X15_sablefishBiomass_predAK,X09_DFA_HakeAge5Plus,NA,Additive (Pred + Prey),Predator Main Effect (Negative),18.46676746068207,19.02285825244092,0.9890572414673323,0.33885328664012115,0.3628388801889888,0.8430972738882585
38,X08_Large_gulls_7_WS,X15_sablefishBiomass_predAK,X09_DFA_HakeAge5Plus,NA,AltPrey Interaction,Predator Main Effect (Negative),18.649453120373323,19.364426995491844,0.8558303277051478,0.1463382936346428,0.6046156750639669,0.8437038284164505
4,X08_DFA_DC_corm_3_WS,X15_sablefishBiomass_predAK,X04_marketsquid_GAM,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
21,X08_commonMurre_JSOES,X15_sablefishBiomass_predAK,X04_marketsquid_GAM,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
55,X09_DFA_ChinAbundSnakeFall,X15_sablefishBiomass_predAK,X12_DFA_biomassEuphShelfSum,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
72,X09_DFA_ChinAbundSnakeFall,X15_sablefishBiomass_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
123,X09_canaryRockfish,X15_sablefishBiomass_predAK,X12_DFA_biomassEuphShelfSum,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
140,X10_DFA_ssl.est.wholerange_2yrLead,X15_sablefishBiomass_predAK,eulachon_during_chinook_2yrlead,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
174,X10_DFA_ssl.est.wholerange_smoltYear,X15_sablefishBiomass_predAK,eulachon_during_chinook,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
191,X10_DFA_ssl.est.wholerange_smoltYear,X15_sablefishBiomass_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
242,X10_Harbor_seal_CR_2yrLead,X15_sablefishBiomass_predAK,X09_DFA_HakeAge5Plus_2yrLead,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
259,X10_Harbor_seal_CR_smoltYear,X15_sablefishBiomass_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
293,X10_Harbour_s_smoltYear_WS,X15_sablefishBiomass_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
310,X10_Northern_f_s_2yrLead_WS,X15_sablefishBiomass_predAK,X09_DFA_HakeAge5Plus_2yrLead,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
327,X10_Northern_f_s_smoltYear_WS,X15_sablefishBiomass_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
344,X11_DFA_Harbour_p_WS,X15_sablefishBiomass_predAK,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),20.07262922111371,20.549278471192725,0.9926444550280505,0.29629798777613137,NA,0.7982817180004489
92,X09_DFA_HakeAge5Plus,X15_sablefishRecruitment_predAK_smoltYear,X12_DFA_biomassEuphShelfSum,NA,Additive (Pred + Prey),Predator Main Effect (Negative),20.492934533294644,21.12846686673333,1,0.6590029264230048,0.5393599141010992,0.7679132897409064
116,X09_DFA_HakeAge5Plus,X15_DFA_sleeperSharks,X09_DFA_HakeAge5Plus,NA,Additive (Pred + Prey),Predator Main Effect (Negative),20.763919658124777,21.320010449883625,0.9427857147254118,0.2512998829602827,0.3628388801889886,0.775373026097704
48,X08_Large_gulls_7_WS,X15_DFA_sleeperSharks,X09_DFA_HakeAge5Plus,NA,AltPrey Interaction,Predator Main Effect (Negative),20.946605317816704,21.661579192935225,0.9763876903984674,0.3609914376433657,0.604615675063967,0.778993275417735
109,X09_DFA_HakeAge5Plus,X15_sablefishRecruitment_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,Additive (Pred + Prey),Predator Main Effect (Negative),21.08817889800267,21.644269689761522,0.9545077249828325,0.2748365758339528,0.3628388801889886,0.7782373809634834
41,X08_Large_gulls_7_WS,X15_sablefishRecruitment_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,AltPrey Interaction,Predator Main Effect (Negative),21.270864557694615,21.985838432813136,0.9301026067272353,0.28159119194915694,0.6046156750639667,0.7771768451778438
14,X08_DFA_DC_corm_3_WS,X15_DFA_sleeperSharks,X04_marketsquid_GAM,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
31,X08_commonMurre_JSOES,X15_DFA_sleeperSharks,X04_marketsquid_GAM,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
65,X09_DFA_ChinAbundSnakeFall,X15_DFA_sleeperSharks,X12_DFA_biomassEuphShelfSum,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
82,X09_DFA_ChinAbundSnakeFall,X15_DFA_sleeperSharks,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
133,X09_canaryRockfish,X15_DFA_sleeperSharks,X12_DFA_biomassEuphShelfSum,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
150,X10_DFA_ssl.est.wholerange_2yrLead,X15_DFA_sleeperSharks,eulachon_during_chinook_2yrlead,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
184,X10_DFA_ssl.est.wholerange_smoltYear,X15_DFA_sleeperSharks,eulachon_during_chinook,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
201,X10_DFA_ssl.est.wholerange_smoltYear,X15_DFA_sleeperSharks,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
252,X10_Harbor_seal_CR_2yrLead,X15_DFA_sleeperSharks,X09_DFA_HakeAge5Plus_2yrLead,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
269,X10_Harbor_seal_CR_smoltYear,X15_DFA_sleeperSharks,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
303,X10_Harbour_s_smoltYear_WS,X15_DFA_sleeperSharks,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
320,X10_Northern_f_s_2yrLead_WS,X15_DFA_sleeperSharks,X09_DFA_HakeAge5Plus_2yrLead,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
337,X10_Northern_f_s_smoltYear_WS,X15_DFA_sleeperSharks,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
354,X11_DFA_Harbour_p_WS,X15_DFA_sleeperSharks,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),22.369781418553643,22.846430668632657,0.8798428756864547,0.12453073373600387,NA,0.73757770211392
7,X08_DFA_DC_corm_3_WS,X15_sablefishRecruitment_predAK_smoltYear,X04_marketsquid_GAM,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
24,X08_commonMurre_JSOES,X15_sablefishRecruitment_predAK_smoltYear,X04_marketsquid_GAM,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
58,X09_DFA_ChinAbundSnakeFall,X15_sablefishRecruitment_predAK_smoltYear,X12_DFA_biomassEuphShelfSum,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
75,X09_DFA_ChinAbundSnakeFall,X15_sablefishRecruitment_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
126,X09_canaryRockfish,X15_sablefishRecruitment_predAK_smoltYear,X12_DFA_biomassEuphShelfSum,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
143,X10_DFA_ssl.est.wholerange_2yrLead,X15_sablefishRecruitment_predAK_smoltYear,eulachon_during_chinook_2yrlead,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
177,X10_DFA_ssl.est.wholerange_smoltYear,X15_sablefishRecruitment_predAK_smoltYear,eulachon_during_chinook,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
194,X10_DFA_ssl.est.wholerange_smoltYear,X15_sablefishRecruitment_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
245,X10_Harbor_seal_CR_2yrLead,X15_sablefishRecruitment_predAK_smoltYear,X09_DFA_HakeAge5Plus_2yrLead,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
262,X10_Harbor_seal_CR_smoltYear,X15_sablefishRecruitment_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
296,X10_Harbour_s_smoltYear_WS,X15_sablefishRecruitment_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
313,X10_Northern_f_s_2yrLead_WS,X15_sablefishRecruitment_predAK_smoltYear,X09_DFA_HakeAge5Plus_2yrLead,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
330,X10_Northern_f_s_smoltYear_WS,X15_sablefishRecruitment_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
347,X11_DFA_Harbour_p_WS,X15_sablefishRecruitment_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),22.694040658431373,23.170689908510386,0.9595712380866074,0.23576756311873526,NA,0.7198593474136327
9,X08_DFA_DC_corm_3_WS,X15_PacificCodBiomass_predAK_smoltYear,X04_marketsquid_GAM,NA,Null (Dropped),Predator Main Effect (Negative),27.727863913857618,28.204513163936632,1,0.6044366673812833,NA,0.5201244534665267
26,X08_commonMurre_JSOES,X15_PacificCodBiomass_predAK_smoltYear,X04_marketsquid_GAM,NA,Null (Dropped),Predator Main Effect (Negative),27.727863913857618,28.204513163936632,1,0.6044366673812833,NA,0.5201244534665267
60,X09_DFA_ChinAbundSnakeFall,X15_PacificCodBiomass_predAK_smoltYear,X12_DFA_biomassEuphShelfSum,NA,Null (Dropped),Predator Main Effect (Negative),27.727863913857618,28.204513163936632,1,0.6044366673812833,NA,0.5201244534665267
77,X09_DFA_ChinAbundSnakeFall,X15_PacificCodBiomass_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),27.727863913857618,28.204513163936632,1,0.6044366673812833,NA,0.5201244534665267
128,X09_canaryRockfish,X15_PacificCodBiomass_predAK_smoltYear,X12_DFA_biomassEuphShelfSum,NA,Null (Dropped),Predator Main Effect (Negative),27.727863913857618,28.204513163936632,1,0.6044366673812833,NA,0.5201244534665267
145,X10_DFA_ssl.est.wholerange_2yrLead,X15_PacificCodBiomass_predAK_smoltYear,eulachon_during_chinook_2yrlead,NA,Null (Dropped),Predator Main Effect (Negative),27.727863913857618,28.204513163936632,1,0.6044366673812833,NA,0.5201244534665267
179,X10_DFA_ssl.est.wholerange_smoltYear,X15_PacificCodBiomass_predAK_smoltYear,eulachon_during_chinook,NA,Null (Dropped),Predator Main Effect (Negative),27.727863913857618,28.204513163936632,1,0.6044366673812833,NA,0.5201244534665267
196,X10_DFA_ssl.est.wholerange_smoltYear,X15_PacificCodBiomass_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),27.727863913857618,28.204513163936632,1,0.6044366673812833,NA,0.5201244534665267
247,X10_Harbor_seal_CR_2yrLead,X15_PacificCodBiomass_predAK_smoltYear,X09_DFA_HakeAge5Plus_2yrLead,NA,Null (Dropped),Predator Main Effect (Negative),27.727863913857618,28.204513163936632,1,0.6044366673812833,NA,0.5201244534665267
264,X10_Harbor_seal_CR_smoltYear,X15_PacificCodBiomass_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),27.727863913857618,28.204513163936632,1,0.6044366673812833,NA,0.5201244534665267
298,X10_Harbour_s_smoltYear_WS,X15_PacificCodBiomass_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),27.727863913857618,28.204513163936632,1,0.6044366673812833,NA,0.5201244534665267
315,X10_Northern_f_s_2yrLead_WS,X15_PacificCodBiomass_predAK_smoltYear,X09_DFA_HakeAge5Plus_2yrLead,NA,Null (Dropped),Predator Main Effect (Negative),27.727863913857618,28.204513163936632,1,0.6044366673812833,NA,0.5201244534665267
332,X10_Northern_f_s_smoltYear_WS,X15_PacificCodBiomass_predAK_smoltYear,X09_DFA_HakeAge5Plus,NA,Null (Dropped),Predator Main Effect (Negative),27.727863913857618,28.204513163936632,1,0.6044366673812833,NA,0.5201244534665267
