model_id,path_label,H_code,rhs,LisaName,Expected_Sign,N_Top100_Runs,Pct_Significant,Pct_Positive,Pct_Negative,Pct_Supported,Mean_Beta
DAG1B_long,PredAK -> SAR,H2c,PredAK,10.PredMammalNCC_3_smoothed,Negative (-),4,25,100,0,0,0.15
DAG1B_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_4_smoothed,Negative (-),4,0,25,75,75,-0.217
DAG1B_long,PredAK -> SAR,H2c,PredAK,15.PredFishAK_b_3_smoothed,Negative (-),4,25,100,0,0,0.161
DAG1B_long,PredAK -> SAR,H2c,PredAK,10.PredMammalNCC_0_smoothed,Negative (-),3,0,100,0,0,0.076
DAG1B_long,PredAK -> SAR,H2c,PredAK,10.PredMammalNCC_DFA1,Negative (-),3,0,0,100,100,-0.238
DAG1B_short,PredAK -> SAR,H2c,PredAK,10.PredMammalNCC_1_smoothed,Negative (-),51,100,100,0,0,0.535
DAG1B_short,PredAK -> SAR,H2c,PredAK,15.PredFishAK_b_DFA1,Negative (-),22,100,0,100,100,-1.139
DAG1B_short,PredAK -> SAR,H2c,PredAK,15.PredFishAK_b_0_smoothed,Negative (-),9,100,100,0,0,0.452
DAG1B_short,PredAK -> SAR,H2c,PredAK,15.PredFishAK_2_smoothed,Negative (-),5,100,0,100,100,-0.466
DAG1B_short,PredAK -> SAR,H2c,PredAK,15.PredFishAK_3_smoothed,Negative (-),5,100,100,0,0,0.419
DAG1B_short,PredAK -> SAR,H2c,PredAK,15.PredFishAK_1_smoothed,Negative (-),3,100,100,0,0,0.82
DAG1B_short,PredAK -> SAR,H2c,PredAK,15.PredFishAK_4_smoothed,Negative (-),2,100,0,100,100,-0.421
DAG1B_short,PredAK -> SAR,H2c,PredAK,15.PredFishAK_b_3_smoothed,Negative (-),2,100,0,100,100,-0.398
DAG1B_short,PredAK -> SAR,H2c,PredAK,15.PredFishAK_0_smoothed,Negative (-),1,100,100,0,0,0.603
DAG1A_long,CPUE -> SAR,H4a,Abundance,07.Cond2NCC_DFA1,Positive (+),100,100,100,0,100,0.434
DAG1A_short,CPUE -> SAR,H4a,Abundance,07.Cond2NCC_DFA1,Positive (+),100,100,100,0,100,0.387
DAG1B_long,CPUE -> SAR,H4a,Abundance,07.Cond2NCC_DFA1,Positive (+),100,100,100,0,100,0.397
DAG1B_short,CPUE -> SAR,H4a,Abundance,07.Cond2NCC_DFA1,Positive (+),100,85,100,0,100,0.326
