H_code,path_label,model_id,rhs,LisaName,Expected_Sign,N_Top_Runs,Pct_Significant,Pct_Positive,Pct_Negative,Pct_Supported,Mean_Beta
H2c,PredAK -> SAR,DAG1A_long,PredAK,15.PredFishAK_1_smoothed,Negative (-),5,40,100,0,0,0.223
H2c,PredAK -> SAR,DAG1A_long,PredAK,15.PredFishAK_b_2_smoothed,Negative (-),5,0,0,100,100,-0.136
H2c,PredAK -> SAR,DAG1A_long,PredAK,15.PredFishAK_b_3_smoothed,Negative (-),5,0,100,0,0,0.188
H2c,PredAK -> SAR,DAG1A_long,PredAK,10.PredMammalNCC_0_smoothed,Negative (-),4,50,100,0,0,0.196
H2c,PredAK -> SAR,DAG1A_long,PredAK,10.PredMammalNCC_DFA1,Negative (-),4,25,25,75,75,0.012
H2c,PredAK -> SAR,DAG1A_long,PredAK,15.PredFishAK_2_smoothed,Negative (-),4,0,25,75,75,-0.017
H2c,PredAK -> SAR,DAG1A_long,PredAK,15.PredFishAK_3_smoothed,Negative (-),4,0,100,0,0,0.18
H2c,PredAK -> SAR,DAG1A_long,PredAK,15.PredFishAK_4_smoothed,Negative (-),3,0,100,0,0,0.114
H2c,PredAK -> SAR,DAG1A_long,PredAK,15.PredFishAK_5_smoothed,Negative (-),3,0,100,0,0,0.134
H2c,PredAK -> SAR,DAG1A_short,PredAK,10.PredMammalNCC_1_smoothed,Negative (-),79,100,100,0,0,0.561
H2c,PredAK -> SAR,DAG1A_short,PredAK,15.PredFishAK_b_DFA1,Negative (-),14,100,0,100,100,-0.671
H2c,PredAK -> SAR,DAG1A_short,PredAK,15.PredFishAK_1_smoothed,Negative (-),7,100,100,0,0,0.76
H2c,PredAK -> SAR,DAG1B_long,PredAK,10.PredMammalNCC_2_smoothed,Negative (-),14,64.3,0,100,100,-0.338
H2c,PredAK -> SAR,DAG1B_long,PredAK,15.PredFishAK_b_DFA1,Negative (-),14,85.7,0,100,100,-0.6
H2c,PredAK -> SAR,DAG1B_long,PredAK,10.PredMammalNCC_1_smoothed,Negative (-),12,58.3,100,0,0,0.286
H2c,PredAK -> SAR,DAG1B_long,PredAK,15.PredFishAK_3_smoothed,Negative (-),11,81.8,100,0,0,0.387
H2c,PredAK -> SAR,DAG1B_long,PredAK,15.PredFishAK_5_smoothed,Negative (-),10,80,100,0,0,0.471
H2c,PredAK -> SAR,DAG1B_long,PredAK,15.PredFishAK_1_smoothed,Negative (-),6,50,66.7,33.3,33.3,0.23
H2c,PredAK -> SAR,DAG1B_long,PredAK,15.PredFishAK_0_smoothed,Negative (-),5,20,40,60,60,-0.283
H2c,PredAK -> SAR,DAG1B_long,PredAK,15.PredFishAK_2_smoothed,Negative (-),5,20,40,60,60,-0.074
H2c,PredAK -> SAR,DAG1B_long,PredAK,15.PredFishAK_b_2_smoothed,Negative (-),5,0,40,60,60,-0.046
H2c,PredAK -> SAR,DAG1B_long,PredAK,10.PredMammalNCC_3_smoothed,Negative (-),4,25,100,0,0,0.15
H2c,PredAK -> SAR,DAG1B_long,PredAK,15.PredFishAK_4_smoothed,Negative (-),4,0,25,75,75,-0.217
H2c,PredAK -> SAR,DAG1B_long,PredAK,15.PredFishAK_b_3_smoothed,Negative (-),4,25,100,0,0,0.161
H2c,PredAK -> SAR,DAG1B_long,PredAK,10.PredMammalNCC_0_smoothed,Negative (-),3,0,100,0,0,0.076
H2c,PredAK -> SAR,DAG1B_long,PredAK,10.PredMammalNCC_DFA1,Negative (-),3,0,0,100,100,-0.238
H2c,PredAK -> SAR,DAG1B_short,PredAK,10.PredMammalNCC_1_smoothed,Negative (-),51,100,100,0,0,0.535
H2c,PredAK -> SAR,DAG1B_short,PredAK,15.PredFishAK_b_DFA1,Negative (-),22,100,0,100,100,-1.139
H2c,PredAK -> SAR,DAG1B_short,PredAK,15.PredFishAK_b_0_smoothed,Negative (-),9,100,100,0,0,0.452
H2c,PredAK -> SAR,DAG1B_short,PredAK,15.PredFishAK_2_smoothed,Negative (-),5,100,0,100,100,-0.466
H2c,PredAK -> SAR,DAG1B_short,PredAK,15.PredFishAK_3_smoothed,Negative (-),5,100,100,0,0,0.419
H2c,PredAK -> SAR,DAG1B_short,PredAK,15.PredFishAK_1_smoothed,Negative (-),3,100,100,0,0,0.82
H2c,PredAK -> SAR,DAG1B_short,PredAK,15.PredFishAK_4_smoothed,Negative (-),2,100,0,100,100,-0.421
H2c,PredAK -> SAR,DAG1B_short,PredAK,15.PredFishAK_b_3_smoothed,Negative (-),2,100,0,100,100,-0.398
H2c,PredAK -> SAR,DAG1B_short,PredAK,15.PredFishAK_0_smoothed,Negative (-),1,100,100,0,0,0.603
H4a,CPUE -> SAR,DAG1A_long,Abundance,07.Cond2NCC_DFA1,Positive (+),100,100,100,0,100,0.434
H4a,CPUE -> SAR,DAG1A_short,Abundance,07.Cond2NCC_DFA1,Positive (+),100,100,100,0,100,0.387
H4a,CPUE -> SAR,DAG1B_long,Abundance,07.Cond2NCC_DFA1,Positive (+),100,100,100,0,100,0.397
H4a,CPUE -> SAR,DAG1B_short,Abundance,07.Cond2NCC_DFA1,Positive (+),100,85,100,0,100,0.326
