sst_col,forcing,ssl_col,shark_col,forage_set_id,forage_label,n,aic,r2,b_cpue,b_ssl,b_shark,p_cpue,p_ssl,p_shark
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,salmon_shark_goa,3,mid_il_capelin,24,47.3733567193285,0.6414291305326363,0.8381281667759937,0.8381281667759937,0.8381281667759937,0.0017794835008945295,0.0017794835008945295,0.0017794835008945295
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,other_sharks_bsai,4,pav_capelin_cpue,17,26.089262737784694,0.8054014551259286,1.3712795410382697,1.3712795410382697,1.3712795410382697,2.5591931295376963e-4,2.5591931295376963e-4,2.5591931295376963e-4
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,other_sharks_goa,4,pav_capelin_cpue,22,37.731678690084934,0.7392644161731237,1.212571267893377,1.212571267893377,1.212571267893377,4.701783133198892e-4,4.701783133198892e-4,4.701783133198892e-4
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,pacific_sleeper_shark_bsai,4,pav_capelin_cpue,17,25.379084917222983,0.8133633784198289,1.7913173400798812,1.7913173400798812,1.7913173400798812,0.0010425023487201535,0.0010425023487201535,0.0010425023487201535
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,pacific_sleeper_shark_goa,4,pav_capelin_cpue,22,43.49101641155932,0.6612389866958751,1.2516944412754332,1.2516944412754332,1.2516944412754332,0.004026241176895608,0.004026241176895608,0.004026241176895608
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,salmon_shark_bsai,4,pav_capelin_cpue,17,27.288834707336594,0.7911739206660521,1.3486790060326133,1.3486790060326133,1.3486790060326133,4.0597294176806636e-4,4.0597294176806636e-4,4.0597294176806636e-4
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,salmon_shark_goa,4,pav_capelin_cpue,22,42.76315431211208,0.672263398232486,1.1660223658094986,1.1660223658094986,1.1660223658094986,0.0017708116950000145,0.0017708116950000145,0.0017708116950000145
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,other_sharks_bsai,5,x13_ammod_wai,19,33.09494068378167,0.7391540568071652,1.7112929423971839,1.7112929423971839,1.7112929423971839,2.0683503738800897e-4,2.0683503738800897e-4,2.0683503738800897e-4
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,other_sharks_goa,5,x13_ammod_wai,24,56.629896010429405,0.47267584150941166,0.8201417547969736,0.8201417547969736,0.8201417547969736,0.052007777242942164,0.052007777242942164,0.052007777242942164
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,pacific_sleeper_shark_bsai,5,x13_ammod_wai,19,32.23593371405417,0.7506845196313184,1.4569957122130845,1.4569957122130845,1.4569957122130845,0.0017441728188324417,0.0017441728188324417,0.0017441728188324417
