"","SEMnode","node_id","Lisaname","var","guildname","rev"
"17","PreyNCC","X04","X04.CompFishNCC_2_Sablefish__JSOES","04.CompFishNCC_2_smoothed","X04.CompFishNCC_2_smoothed",0
"18","PreyNCC","X04","X04.CompFishNCC_smoothed_marketsquid_GAM","04.CompFishNCC_smoothed","X04.CompFishNCC_smoothed",0
"19","PreyNCC","X05","X05.ForageFishNCC_0_abundAnchovy","05.ForageFishNCC_0_smoothed","X05.ForageFishNCC_0_smoothed",0
"20","PreyNCC","X05","X05.ForageFishNCC_1_anchovy_GAM","05.ForageFishNCC_1_smoothed","X05.ForageFishNCC_1_smoothed",0
"21","PreyNCC","X05","X05.ForageFishNCC_2_herring_GAM","05.ForageFishNCC_2_smoothed","X05.ForageFishNCC_2_smoothed",0
"22","PreyNCC","X05","X05.ForageFishNCC_3_herring_NCC","05.ForageFishNCC_3_smoothed","X05.ForageFishNCC_3_smoothed",0
"23","PreyNCC","X05","X05.ForageFishNCC_DFA1_abundSardine","05.ForageFishNCC_DFA1","X05.ForageFishNCC_DFA1",1
"24","Growth","X06","X06.Cond1NCC_0_Lmu_IntSprJunH","06.Cond1NCC_0_smoothed","X06.Cond1NCC_0_smoothed",0
"25","Growth","X06","X06.Cond1NCC_1_Lmu_IntSprMayW","06.Cond1NCC_1_smoothed","X06.Cond1NCC_1_smoothed",0
"26","Growth","X06","X06.Cond1NCC_2_StomFull_May","06.Cond1NCC_2_smoothed","X06.Cond1NCC_2_smoothed",0
"27","Growth","X06","X06.Cond1NCC_DFA1_IGF_mu","06.Cond1NCC_DFA1","X06.Cond1NCC_DFA1",0
"28","Abundance","X07","X07.Cond2NCC_DFA1_cpue_IntSprJunHW","07.Cond2NCC_DFA1","X07.Cond2NCC_DFA1",0
"29","PredNCC","X08","X08.PredBirdNCC_0_commonMurre_JSOES","08.PredBirdNCC_0_smoothed","X08.PredBirdNCC_0_smoothed",0
"30","PredNCC","X08","X08.PredBirdNCC_1_sootyShear_JSOES","08.PredBirdNCC_1_smoothed","X08.PredBirdNCC_1_smoothed",0
