"ncc_predator","ak_predator","model_type","active_ncc_ints","active_ak_ints","aic","bic","cfi","pvalue","cpue_r2","sar_r2"
"x08_large_gulls_7_ws","x15_pacificcodbiomass_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",137.580073515602,151.716719479777,0.570982299907081,0.0212023927680935,0.0854567333279246,0.519899379342415
"x08_large_gulls_7_ws","x15_pacificcodbiomass_predak","Pruned","None","ak_int_1, ak_int_2",132.903241036695,143.505725509827,0.731796114264021,0.0555847979168431,0.0385834158617814,0.518779976813642
"x08_large_gulls_7_ws","x15_spinydogfishgoa_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2, ak_int_3",138.139643981264,152.276289945439,0.881717116706676,0.281524028019826,0.0854567333279244,0.565246533763313
"x08_large_gulls_7_ws","x15_spinydogfishgoa_predak","Pruned","None","ak_int_1, ak_int_2",133.347827594711,143.950312067842,0.968289140016978,0.348176242186867,0.0385834158617814,0.557089774841006
"x08_large_gulls_7_ws","x15_halibutbiomassage8plus_2yrlead_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",133.714974437552,146.67356657138,0.730803822559496,0.0691321185324425,0.0854567333279243,0.594745626952425
"x08_large_gulls_7_ws","x15_halibutbiomassage8plus_2yrlead_predak","Pruned","None","ak_int_1, ak_int_2",130.914567079629,141.517051552761,0.872610460150261,0.172914958346014,0.0385834158617814,0.573777392367537
"x08_large_gulls_7_ws","x15_dfa_sleepersharks","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",122.108469038184,135.067061172011,0.966171221951618,0.325711449615796,0.0854567333279244,0.733166196010731
"x08_large_gulls_7_ws","x15_dfa_sleepersharks","Pruned","None","ak_int_1, ak_int_2",119.308061680261,129.910546153392,0.948668589502402,0.239039254803309,0.0385834158617813,0.722058816453024
"x08_large_gulls_7_ws","x15_salmonsharkgoa_predak","Full","ncc_int_1, ncc_int_2","ak_int_1, ak_int_2",144.385287198401,157.343879332228,0.514990020678862,0.104713518826846,0.0854567333279244,0.33692292460351
"x08_large_gulls_7_ws","x15_salmonsharkgoa_predak","Pruned","None","None",137.858661395228,146.105038207664,0.919838805830504,0.267453691261279,0.0385834158617814,0.31002775993172
