Var1,Var2,Models_Shared
X06_Lmu_IntSprJunH,X10_Northern_f_s_2yrLead_WS,3
X06_Lmu_IntSprJunH,X02_DFA_SeaNettle_,2
X06_Lmu_IntSprJunH,X01_Red_necked_phal_WS,2
X06_Lmu_IntSprJunH,X01_Sabine_gull_WS,1
X06_Lmu_IntSprJunH,X12_copepodCom_WGoA,1
X06_Lmu_IntSprJunH,X05_herring_NCC,1
X04_Sablefish__JSOES,X13_ammod_WAI,6
X04_Sablefish__JSOES,X12_DFA_biomassEuphShelfSum,1
X04_Sablefish__JSOES,X08_DFA_DC_corm_3_WS,4
X04_Sablefish__JSOES,X15_salmonSharkGoA_predAK,1
X04_Sablefish__JSOES,X12_copepodCom_EGoA,1
X04_Sablefish__JSOES,X13_gadid_WAI,2
X04_Sablefish__JSOES,X08_Large_gulls_7_WS,2
X04_Sablefish__JSOES,X11_DFA_Harbour_p_WS,2
X04_Sablefish__JSOES,X10_Harbour_s_2yrLead_WS,5
X04_Sablefish__JSOES,X13_hexagram_WAI,4
X04_Sablefish__JSOES,X04_PacificPompano_,1
X04_Sablefish__JSOES,X01_Red_phal_WS,1
X04_Sablefish__JSOES,X09_DFA_ChinAbundSnakeFall,3
X04_Sablefish__JSOES,X13_DFA_WGOA_DFA_seabirds,2
X04_Sablefish__JSOES,X01_Sabine_gull_WS,2
X04_Sablefish__JSOES,X14_pinkSalmonAsia,1
X04_Sablefish__JSOES,X05_herring_NCC,1
X04_Sablefish__JSOES,X05_herring_GAM,1
X12_DFA_biomassEuphShelfSum,X13_ammod_WAI,3
X13_ammod_WAI,X08_DFA_DC_corm_3_WS,7
X12_DFA_biomassEuphShelfSum,X08_DFA_DC_corm_3_WS,1
X13_ammod_WAI,X15_sablefishBiomass_predAK,4
X12_DFA_biomassEuphShelfSum,X15_sablefishBiomass_predAK,1
X13_ammod_WAI,X15_salmonSharkGoA_predAK,1
X12_DFA_biomassEuphShelfSum,X12_copepodCom_EGoA,2
X13_ammod_WAI,X12_copepodCom_EGoA,1
X13_ammod_WAI,X13_gadid_WAI,3
X13_ammod_WAI,X08_Large_gulls_7_WS,2
X12_DFA_biomassEuphShelfSum,X08_Large_gulls_7_WS,1
X12_DFA_biomassEuphShelfSum,X11_DFA_Harbour_p_WS,6
X13_ammod_WAI,X11_DFA_Harbour_p_WS,4
X12_DFA_biomassEuphShelfSum,X13_hexagram_EAI,4
X13_ammod_WAI,X04_PacificPompano_,2
X12_DFA_biomassEuphShelfSum,X10_Harbour_s_2yrLead_WS,2
X13_ammod_WAI,X13_hexagram_WAI,2
X12_DFA_biomassEuphShelfSum,X13_hexagram_WAI,1
X13_ammod_WAI,X01_Red_phal_WS,1
X12_DFA_biomassEuphShelfSum,X01_Red_phal_WS,1
X13_ammod_WAI,X09_DFA_ChinAbundSnakeFall,1
X13_ammod_WAI,X02.krill,2
X12_DFA_biomassEuphShelfSum,X05_anchovy_GAM,4
X13_ammod_WAI,X05_anchovy_GAM,1
X12_DFA_biomassEuphShelfSum,X07_DFA_cpue_IntSprJunHW,3
X13_ammod_WAI,X07_DFA_cpue_IntSprJunHW,1
X13_ammod_WAI,X02_DFA_SeaNettle_,1
X12_DFA_biomassEuphShelfSum,X10_Northern_f_s_2yrLead_WS,1
X12_DFA_biomassEuphShelfSum,X15_PacificCodBiomass_predAK,2
X13_ammod_WAI,X12_copepodCom_WGoA,1
X12_DFA_biomassEuphShelfSum,X12_copepodCom_WGoA,1
X13_ammod_WAI,X15_PacificCodBiomass_predAK,1
X12_DFA_biomassEuphShelfSum,X15_ArrowtoothFlounderBiomass_predAK,1
X08_DFA_DC_corm_3_WS,X15_sablefishBiomass_predAK,2
X08_DFA_DC_corm_3_WS,X15_salmonSharkGoA_predAK,2
X08_DFA_DC_corm_3_WS,X12_copepodCom_EGoA,1
X08_DFA_DC_corm_3_WS,X13_gadid_WAI,1
X08_DFA_DC_corm_3_WS,X04_PacificPompano_,2
X08_DFA_DC_corm_3_WS,X10_Harbour_s_2yrLead_WS,1
X08_DFA_DC_corm_3_WS,X02.krill,3
X08_DFA_DC_corm_3_WS,X13_DFA_WGOA_DFA_seabirds,1
X08_DFA_DC_corm_3_WS,X02_DFA_SeaNettle_,2
X08_DFA_DC_corm_3_WS,X12_copepodCom_WGoA,1
X15_sablefishBiomass_predAK,X15_salmonSharkGoA_predAK,1
X15_sablefishBiomass_predAK,X12_copepodCom_EGoA,1
X15_sablefishBiomass_predAK,X13_gadid_WAI,2
X15_sablefishBiomass_predAK,X08_Large_gulls_7_WS,2
X15_sablefishBiomass_predAK,X11_DFA_Harbour_p_WS,1
X15_sablefishBiomass_predAK,X13_hexagram_WAI,2
X15_sablefishBiomass_predAK,X04_PacificPompano_,1
X15_sablefishBiomass_predAK,X13_hexagram_EAI,1
X15_sablefishBiomass_predAK,X09_DFA_ChinAbundSnakeFall,1
X15_sablefishBiomass_predAK,X10_Northern_f_s_2yrLead_WS,1
X15_sablefishBiomass_predAK,X01_Red_necked_phal_WS,1
X15_salmonSharkGoA_predAK,X12_copepodCom_EGoA,1
X15_salmonSharkGoA_predAK,X13_gadid_WAI,1
X15_salmonSharkGoA_predAK,X08_Large_gulls_7_WS,1
X15_salmonSharkGoA_predAK,X11_DFA_Harbour_p_WS,1
X15_salmonSharkGoA_predAK,X04_PacificPompano_,1
X15_salmonSharkGoA_predAK,X13_hexagram_EAI,1
X15_salmonSharkGoA_predAK,X13_hexagram_WAI,1
X15_salmonSharkGoA_predAK,X01_Red_phal_WS,1
X15_salmonSharkGoA_predAK,X13_DFA_WGOA_DFA_seabirds,1
X15_salmonSharkGoA_predAK,X10_Northern_f_s_2yrLead_WS,1
X12_copepodCom_EGoA,X13_gadid_WAI,1
X12_copepodCom_EGoA,X08_Large_gulls_7_WS,1
X12_copepodCom_EGoA,X04_PacificPompano_,2
X12_copepodCom_EGoA,X09_DFA_ChinAbundSnakeFall,1
X12_copepodCom_EGoA,X05_anchovy_GAM,1
X12_copepodCom_EGoA,X02_DFA_SeaNettle_,1
X12_copepodCom_EGoA,X01_Red_necked_phal_WS,1
X13_gadid_WAI,X08_Large_gulls_7_WS,1
X13_gadid_WAI,X13_hexagram_EAI,2
X13_gadid_WAI,X10_Harbour_s_2yrLead_WS,1
X13_gadid_WAI,X01_Red_phal_WS,2
X08_Large_gulls_7_WS,X01_Red_phal_WS,1
X08_Large_gulls_7_WS,X02.krill,1
X08_Large_gulls_7_WS,X13_DFA_WGOA_DFA_seabirds,1
X11_DFA_Harbour_p_WS,X05_anchovy_GAM,2
X11_DFA_Harbour_p_WS,X07_DFA_cpue_IntSprJunHW,1
X11_DFA_Harbour_p_WS,X15_PacificCodBiomass_predAK,1
X11_DFA_Harbour_p_WS,X12_copepodCom_WGoA,1
X10_Harbour_s_2yrLead_WS,X13_hexagram_EAI,3
X10_Harbour_s_2yrLead_WS,X13_hexagram_WAI,1
X04_PacificPompano_,X01_Red_phal_WS,1
X10_Harbour_s_2yrLead_WS,X09_DFA_ChinAbundSnakeFall,1
X13_hexagram_EAI,X05_anchovy_GAM,1
X13_hexagram_EAI,X07_DFA_cpue_IntSprJunHW,1
X10_Harbour_s_2yrLead_WS,X07_DFA_cpue_IntSprJunHW,1
X10_Harbour_s_2yrLead_WS,X01_Sabine_gull_WS,1
X10_Harbour_s_2yrLead_WS,X05_herring_GAM,1
X13_hexagram_WAI,X14_pinkSalmonAsia,1
X09_DFA_ChinAbundSnakeFall,X02.krill,1
X02.krill,X12_copepodCom_WGoA,1
X07_DFA_cpue_IntSprJunHW,X15_PacificCodBiomass_predAK,1
X07_DFA_cpue_IntSprJunHW,X15_ArrowtoothFlounderBiomass_predAK,1
X15_PacificCodBiomass_predAK,X15_ArrowtoothFlounderBiomass_predAK,1
