model_id,rhs,Lisaname,Times_Selected_In_Top100,Times_Positive,Pct_Positive,Pct_Negative,Times_Significant,Pct_Significant,Mean_Estimate
DAG1B_short,PreyAK,X13_DFA_WGOA_DFA_seabirds,5,2,40,60,3,60,-0.534
DAG1B_short,PreyAK,X13_ammod_WAI,3,0,0,100,0,0,-0.268
DAG1B_short,PreyAK,X13_hexagram_WAI,3,0,0,100,0,0,-0.144
DAG1B_short,PreyAK,X14_pinkSalmonNorthAmerica,3,0,0,100,0,0,-0.117
DAG1B_short,PreyAK,X12_copepodCom_WGoA,2,2,100,0,0,0,0.047
DAG1B_short,PreyAK,X13_DFA_WGOA_DFA_midTrophic,2,2,100,0,0,0,0.14
DAG1B_short,PreyAK,X14_pinkSalmon,2,2,100,0,0,0,0.039
DAG1B_short,PreyAK,X14_pinkSalmonAsia,2,2,100,0,0,0,0.104
DAG1B_short,PreyNCC,X05_DFA_abundSardine,71,0,0,100,71,100,-0.945
DAG1B_short,PreyNCC,X01_DFA_sumPreyOfPrey_planktonJun,29,29,100,0,29,100,0.931
DAG1C_long,Abundance,X07_DFA_cpue_IntSprJunHW,100,77,77,23,6,6,0.049
DAG1C_long,Growth,X06_Lmu_IntSprJunH,98,98,100,0,97,99,0.71
DAG1C_long,Growth,X06_DFA_IGF_mu,2,2,100,0,2,100,0.322
DAG1C_long,PredAK,X15_halibutBiomassAge8plus_2yrLead_predAK,13,11,84.6,15.400000000000006,11,84.6,0.26
DAG1C_long,PredAK,X10_DFA_ssl.est.wholerange_2yrLead,12,4,33.3,66.7,7,58.3,-0.187
DAG1C_long,PredAK,X15_ArrowtoothFlounderBiomass_predAK,11,1,9.1,90.9,9,81.8,-0.727
DAG1C_long,PredAK,X15_salmonSharkGoA_predAK,10,0,0,100,4,40,-0.151
DAG1C_long,PredAK,X10_Californian_s_l_2yrLead_WS,9,3,33.3,66.7,4,44.4,-0.055
DAG1C_long,PredAK,X15_sharkCatchGoA_predAK,9,8,88.9,11.099999999999994,5,55.6,0.277
DAG1C_long,PredAK,X15_DFA_sleeperSharkBSAI_predAK,6,0,0,100,5,83.3,-0.532
DAG1C_long,PredAK,X15_sablefishBiomass_predAK,6,6,100,0,1,16.7,0.158
DAG1C_long,PredAK,X10_Harbor_seal_CR_2yrLead,5,4,80,20,3,60,0.173
DAG1C_long,PredAK,X15_sablefishRecruitment_predAK,5,4,80,20,1,20,0.084
DAG1C_long,PredAK,X15_spinyDogfishGoA_predAK,5,5,100,0,2,40,0.271
DAG1C_long,PredAK,X10_Harbour_s_2yrLead_WS,3,3,100,0,0,0,0.114
DAG1C_long,PredAK,X10_Northern_f_s_2yrLead_WS,3,1,33.3,66.7,0,0,-0.079
DAG1C_long,PredAK,X15_PacificCodBiomass_predAK,3,1,33.3,66.7,2,66.7,-0.031
DAG1C_long,PredNCC,X09_DFA_HakeAge5Plus,118,1,0.8,99.2,116,98.3,-0.61
DAG1C_long,PredNCC,X09_DFA_ChinAbundSnakeFall,50,0,0,100,25,50,-0.332
DAG1C_long,PredNCC,X08_Loons_8_WS,18,10,55.6,44.4,9,50,0.166
DAG1C_long,PredNCC,X08_DFA_DC_corm_3_WS,8,0,0,100,4,50,-0.214
DAG1C_long,PredNCC,X11_DFA_Harbour_p_WS,4,0,0,100,2,50,-0.206
DAG1C_long,PredNCC,X08_Large_gulls_7_WS,2,1,50,50,1,50,-0.056
DAG1C_long,PreyAK,X12_copepodCom_EGoA,51,51,100,0,49,96.1,0.351
DAG1C_long,PreyAK,X14_pinkSalmon,17,1,5.9,94.1,15,88.2,-0.354
DAG1C_long,PreyAK,X13_hexagram_EAI,7,0,0,100,5,71.4,-0.32
DAG1C_long,PreyAK,X13_hexagram_WAI,7,7,100,0,6,85.7,0.257
DAG1C_long,PreyAK,X14_pinkSalmonAsia,6,1,16.7,83.3,4,66.7,-0.275
DAG1C_long,PreyAK,X12_copepodBiomass_WGoA,3,3,100,0,1,33.3,0.339
DAG1C_long,PreyAK,X13_gadid_WAI,3,3,100,0,1,33.3,0.138
DAG1C_long,PreyAK,X12_DFA_biomassEuphShelfSum,2,0,0,100,0,0,-0.138
DAG1C_long,PreyAK,X13_ammod_WAI,2,0,0,100,1,50,-0.361
DAG1C_long,PreyAK,X14_pinkSalmonNorthAmerica,2,0,0,100,1,50,-0.143
DAG1C_long,PreyNCC,X01_habCompInd,82,79,96.3,3.700000000000003,79,96.3,0.649
DAG1C_long,PreyNCC,X04_marketsquid_GAM,46,0,0,100,23,50,-0.485
DAG1C_long,PreyNCC,X05_herring_GAM,30,15,50,50,15,50,-0.194
DAG1C_long,PreyNCC,X04_Sablefish__JSOES,24,24,100,0,12,50,0.186
DAG1C_long,PreyNCC,X05_DFA_abundSardine,8,8,100,0,4,50,0.223
DAG1C_long,PreyNCC,X04_PacificPompano_,6,3,50,50,3,50,-0.114
DAG1C_long,PreyNCC,X01_Red_necked_phal_WS,2,1,50,50,0,0,-0.087
DAG1C_long,PreyNCC,X02_DFA_SeaNettle_,2,2,100,0,1,50,0.135
DAG1C_short,Abundance,X07_DFA_cpue_IntSprJunHW,100,100,100,0,100,100,0.929
DAG1C_short,Growth,X06_StomFull_May,97,97,100,0,97,100,0.465
DAG1C_short,Growth,X06_DFA_IGF_mu,1,0,0,100,1,100,-0.476
DAG1C_short,Growth,X06_Lmu_IntSprJunH,1,1,100,0,1,100,0.579
DAG1C_short,Growth,X06_Lmu_IntSprMayW,1,1,100,0,1,100,0.276
DAG1C_short,PredAK,X10_Harbor_seal_CR_2yrLead,96,96,100,0,96,100,0.956
DAG1C_short,PredAK,X15_DFA_sleeperSharkBSAI_predAK,3,0,0,100,3,100,-1.384
DAG1C_short,PredAK,X10_DFA_ssl.est.wholerange_2yrLead,1,1,100,0,1,100,0.921
DAG1C_short,PredNCC,X08_commonMurre_JSOES,198,99,50,50,198,100,-0.098
DAG1C_short,PredNCC,X08_Large_gulls_7_WS,2,1,50,50,1,50,-0.103
DAG1C_short,PreyAK,X13_DFA_WGOA_DFA_midTrophic,21,0,0,100,21,100,-0.315
DAG1C_short,PreyAK,X12_copepodCom_WGoA,14,0,0,100,12,85.7,-0.242
DAG1C_short,PreyAK,X12_copepodBiomass_WGoA,13,2,15.4,84.6,12,92.3,-0.085
DAG1C_short,PreyAK,X13_DFA_WGOA_DFA_seabirds,10,0,0,100,8,80,-0.203
DAG1C_short,PreyAK,X13_hexagram_EAI,7,1,14.3,85.7,5,71.4,-0.111
DAG1C_short,PreyAK,X12_DFA_biomassEuphShelfSum,6,3,50,50,3,50,-0.205
DAG1C_short,PreyAK,X13_ammod_WAI,6,1,16.7,83.3,4,66.7,-0.237
DAG1C_short,PreyAK,X13_gadid_WAI,6,2,33.3,66.7,4,66.7,-0.038
DAG1C_short,PreyAK,X13_pollockBiomassGoAage3plus_predAK,6,2,33.3,66.7,3,50,-0.128
DAG1C_short,PreyAK,X14_pinkSalmon,3,0,0,100,1,33.3,-0.067
DAG1C_short,PreyAK,X12_copepodCom_EGoA,2,2,100,0,0,0,0.045
DAG1C_short,PreyAK,X13_hexagram_WAI,2,2,100,0,0,0,0.055
DAG1C_short,PreyAK,X14_pinkSalmonAsia,2,0,0,100,1,50,-0.067
DAG1C_short,PreyAK,X14_pinkSalmonNorthAmerica,2,2,100,0,0,0,0.02
DAG1C_short,PreyNCC,X01_habCompInd,30,30,100,0,16,53.3,0.376
DAG1C_short,PreyNCC,X04_marketsquid_GAM,28,14,50,50,13,46.4,-0.078
DAG1C_short,PreyNCC,X01_DFA_sumPreyOfPrey_planktonJun,20,10,50,50,8,40,-0.149
DAG1C_short,PreyNCC,X04_PacificPompano_,20,0,0,100,10,50,-0.113
DAG1C_short,PreyNCC,X05_DFA_abundSardine,14,7,50,50,5,35.7,0.056
DAG1C_short,PreyNCC,X01_NHLlogSum_win_05,10,10,100,0,3,30,0.085
DAG1C_short,PreyNCC,X03_DFA_comMurreDietHerrSard_Yaquina_NCC,10,5,50,50,4,40,-0.038
DAG1C_short,PreyNCC,X01_Red_necked_phal_WS,8,5,62.5,37.5,1,12.5,0.179
DAG1C_short,PreyNCC,X01_Cassin_s_aukl_WS,6,3,50,50,1,16.7,-0.006
DAG1C_short,PreyNCC,X01_Red_phal_WS,6,6,100,0,2,33.3,0.084
DAG1C_short,PreyNCC,X02.krill,6,6,100,0,3,50,0.203
DAG1C_short,PreyNCC,X02_DFA_SeaNettle_,6,3,50,50,1,16.7,0.039
DAG1C_short,PreyNCC,X04_CaliforniaMarketSquid_,6,4,66.7,33.3,2,33.3,-0.073
DAG1C_short,PreyNCC,X05_anchovy_GAM,6,0,0,100,2,33.3,-0.212
DAG1C_short,PreyNCC,X05_herring_GAM,6,3,50,50,1,16.7,0.091
DAG1C_short,PreyNCC,X05_herring_NCC,6,6,100,0,2,33.3,0.155
DAG1C_short,PreyNCC,X04_Sablefish__JSOES,4,4,100,0,0,0,0.081
DAG1C_short,PreyNCC,X01_NHLlogSum_win_15,2,1,50,50,0,0,0.003
DAG1C_short,PreyNCC,X01_NHLlogSum_win_25,2,1,50,50,0,0,-0.003
DAG1C_short,PreyNCC,X01_Sabine_gull_WS,2,1,50,50,0,0,0.03
DAG1C_short,PreyNCC,X03_HakeAge1,2,1,50,50,0,0,-0.033
