model_id,generic_node,Lisaname,Total_Selections_In_Ensemble,Akaike_Importance_Weight,Node2,order
DAG1A_long,PredAK,X10_Californian_s_l_2yrLead_WS,2688,0.0583,PredAK,4
DAG1A_long,PredAK,X10_Northern_f_s_2yrLead_WS,2688,0.0545,PredAK,4
DAG1A_long,PredAK,X15_sharkCatchGoA_predAK,2688,0.0458,PredAK,4
DAG1A_long,PredAK,X15_ArrowtoothFlounderBiomass_predAK,2688,0.0435,PredAK,4
DAG1A_long,PredAK,X15_salmonSharkGoA_predAK,2688,0.0335,PredAK,4
DAG1A_long,PredAK,X15_PacificCodBiomass_predAK,2688,0.0334,PredAK,4
DAG1A_long,PredAK,X10_DFA_ssl.est.wholerange_2yrLead,2688,0.032,PredAK,4
DAG1A_long,PredAK,X15_halibutBiomassAge8plus_2yrLead_predAK,2688,0.0305,PredAK,4
DAG1A_long,PredAK,X15_spinyDogfishGoA_predAK,2688,0.0292,PredAK,4
DAG1A_long,PredAK,X15_sablefishRecruitment_predAK,2688,0.0282,PredAK,4
DAG1A_short,Abundance,X07_DFA_cpue_IntSprJunHW,134400,1,Abundance,0
DAG1A_short,Growth,X06_DFA_IGF_mu,33600,0.92490000000000006,Growth,0.5
DAG1A_short,Growth,X06_Lmu_IntSprJunH,33600,0.0751,Growth,0.5
DAG1A_short,Growth,X06_Lmu_IntSprMayW,33600,0,Growth,0.5
DAG1A_short,Growth,X06_StomFull_May,33600,0,Growth,0.5
DAG1A_short,PreyNCC,X05_DFA_abundSardine,6720,0.8465,Competitor,0.75
DAG1A_short,PreyNCC,X04_marketsquid_GAM,6720,0.0051,Competitor,0.75
DAG1A_short,PreyAK,X14_pinkSalmonAsia,9600,7e-4,Competitor,0.75
DAG1A_short,PreyAK,X13_DFA_WGOA_DFA_midTrophic,9600,5e-4,Competitor,0.75
DAG1A_short,PreyAK,X14_pinkSalmonNorthAmerica,9600,5e-4,Competitor,0.75
DAG1A_short,PreyAK,X14_pinkSalmon,9600,4e-4,Competitor,0.75
DAG1A_short,PreyNCC,X04_CaliforniaMarketSquid_,6720,0,Competitor,0.75
DAG1A_short,PreyNCC,X04_PacificPompano_,6720,0,Competitor,0.75
DAG1A_short,PreyNCC,X04_Sablefish__JSOES,6720,0,Competitor,0.75
DAG1A_short,PreyNCC,X05_anchovy_GAM,6720,0,Competitor,0.75
DAG1A_short,PreyNCC,X05_herring_GAM,6720,0,Competitor,0.75
DAG1A_short,PreyNCC,X05_herring_NCC,6720,0,Competitor,0.75
DAG1A_short,PreyNCC,X01_DFA_sumPreyOfPrey_planktonJun,6720,0.1483,PreyNCC,1
DAG1A_short,PreyNCC,X01_Cassin_s_aukl_WS,6720,0,PreyNCC,1
DAG1A_short,PreyNCC,X01_NHLlogSum_win_05,6720,0,PreyNCC,1
DAG1A_short,PreyNCC,X01_NHLlogSum_win_15,6720,0,PreyNCC,1
DAG1A_short,PreyNCC,X01_NHLlogSum_win_25,6720,0,PreyNCC,1
DAG1A_short,PreyNCC,X01_Red_necked_phal_WS,6720,0,PreyNCC,1
DAG1A_short,PreyNCC,X01_Red_phal_WS,6720,0,PreyNCC,1
DAG1A_short,PreyNCC,X01_Sabine_gull_WS,6720,0,PreyNCC,1
DAG1A_short,PreyNCC,X02.krill,6720,0,PreyNCC,1
DAG1A_short,PreyNCC,X02_DFA_SeaNettle_,6720,0,PreyNCC,1
DAG1A_short,PreyNCC,X03_DFA_comMurreDietHerrSard_Yaquina_NCC,6720,0,PreyNCC,1
DAG1A_short,PreyNCC,X03_HakeAge1,6720,0,PreyNCC,1
DAG1A_short,PredNCC,X09_DFA_HakeAge5Plus,16800,0.8786,PredNCC,2
DAG1A_short,PredNCC,X11_Harbor_seal_CR,16800,0.0844,PredNCC,2
DAG1A_short,PredNCC,X08_Large_gulls_7_WS,16800,0.009,PredNCC,2
DAG1A_short,PredNCC,X09_canaryRockfish,16800,0.0087,PredNCC,2
DAG1A_short,PredNCC,X09_DFA_ChinAbundSnakeFall,16800,0.0053,PredNCC,2
DAG1A_short,PredNCC,X09_chilipepper,16800,0.0048,PredNCC,2
DAG1A_short,PredNCC,X08_DFA_DC_corm_3_WS,16800,0.0046,PredNCC,2
DAG1A_short,PredNCC,X11_DFA_Harbour_p_WS,16800,0.0046,PredNCC,2
DAG1A_short,PreyAK,X12_DFA_biomassEuphShelfSum,9600,0.6182,PreyAK,3
DAG1A_short,PreyAK,X13_DFA_WGOA_DFA_seabirds,9600,0.2409,PreyAK,3
DAG1A_short,PreyAK,X12_copepodBiomass_WGoA,9600,0.0828,PreyAK,3
DAG1A_short,PreyAK,X13_pollockBiomassGoAage3plus_predAK,9600,0.0457,PreyAK,3
DAG1A_short,PreyAK,X13_gadid_WAI,9600,0.0067,PreyAK,3
DAG1A_short,PreyAK,X13_hexagram_EAI,9600,0.0015,PreyAK,3
DAG1A_short,PreyAK,X12_copepodCom_WGoA,9600,8e-4,PreyAK,3
DAG1A_short,PreyAK,X12_copepodCom_EGoA,9600,5e-4,PreyAK,3
DAG1A_short,PreyAK,X13_ammod_WAI,9600,5e-4,PreyAK,3
DAG1A_short,PreyAK,X13_hexagram_WAI,9600,4e-4,PreyAK,3
DAG1A_short,PredAK,X15_DFA_sleeperSharkBSAI_predAK,8960,0.6656,PredAK,4
DAG1A_short,PredAK,X15_sablefishBiomass_predAK,8960,0.2447,PredAK,4
DAG1A_short,PredAK,X10_Californian_s_l_2yrLead_WS,8960,0.0153,PredAK,4
DAG1A_short,PredAK,X10_Harbour_s_2yrLead_WS,8960,0.0087,PredAK,4
DAG1A_short,PredAK,X15_halibutBiomassAge8plus_2yrLead_predAK,8960,0.008,PredAK,4
DAG1A_short,PredAK,X10_DFA_ssl.est.wholerange_2yrLead,8960,0.0068,PredAK,4
DAG1A_short,PredAK,X15_salmonSharkBSAI_predAK,8960,0.0068,PredAK,4
DAG1A_short,PredAK,X10_Northern_f_s_2yrLead_WS,8960,0.0062,PredAK,4
DAG1A_short,PredAK,X15_spinyDogfishGoA_predAK,8960,0.0059,PredAK,4
DAG1A_short,PredAK,X15_PacificCodBiomass_predAK,8960,0.0057,PredAK,4
DAG1A_short,PredAK,X15_sharkCatchGoA_predAK,8960,0.0056,PredAK,4
DAG1A_short,PredAK,X15_salmonSharkGoA_predAK,8960,0.0055,PredAK,4
DAG1A_short,PredAK,X15_spinyDogfishBSAI_predAK,8960,0.0052,PredAK,4
DAG1A_short,PredAK,X15_ArrowtoothFlounderBiomass_predAK,8960,0.005,PredAK,4
DAG1A_short,PredAK,X15_sablefishRecruitment_predAK,8960,0.005,PredAK,4
DAG1B_long,Abundance,X07_DFA_cpue_IntSprJunHW,34944,1,Abundance,0
DAG1B_long,Growth,X06_DFA_IGF_mu,17472,1,Growth,0.5
DAG1B_long,Growth,X06_Lmu_IntSprJunH,17472,0,Growth,0.5
DAG1B_long,PreyNCC,X05_DFA_abundSardine,2184,0.9733,Competitor,0.75
DAG1B_long,PreyNCC,X04_marketsquid_GAM,2184,0.0266,Competitor,0.75
DAG1B_long,PreyAK,X14_pinkSalmonNorthAmerica,2496,0.0023,Competitor,0.75
DAG1B_long,PreyAK,X14_pinkSalmonAsia,2496,0.002,Competitor,0.75
DAG1B_long,PreyAK,X13_DFA_WGOA_DFA_midTrophic,2496,0.0016,Competitor,0.75
DAG1B_long,PreyAK,X14_pinkSalmon,2496,9e-4,Competitor,0.75
DAG1B_long,PreyNCC,X05_herring_GAM,2184,1e-4,Competitor,0.75
DAG1B_long,PreyNCC,X04_CaliforniaMarketSquid_,2184,0,Competitor,0.75
DAG1B_long,PreyNCC,X04_PacificPompano_,2184,0,Competitor,0.75
DAG1B_long,PreyNCC,X04_Sablefish__JSOES,2184,0,Competitor,0.75
DAG1B_long,PreyNCC,X05_anchovy_GAM,2184,0,Competitor,0.75
DAG1B_long,PreyNCC,X05_herring_NCC,2184,0,Competitor,0.75
DAG1B_long,PreyNCC,X01_Cassin_s_aukl_WS,2184,0,PreyNCC,1
DAG1B_long,PreyNCC,X01_Red_necked_phal_WS,2184,0,PreyNCC,1
DAG1B_long,PreyNCC,X01_Red_phal_WS,2184,0,PreyNCC,1
DAG1B_long,PreyNCC,X01_Sabine_gull_WS,2184,0,PreyNCC,1
DAG1B_long,PreyNCC,X02.krill,2184,0,PreyNCC,1
DAG1B_long,PreyNCC,X02_DFA_SeaNettle_,2184,0,PreyNCC,1
DAG1B_long,PreyNCC,X03_DFA_comMurreDietHerrSard_Yaquina_NCC,2184,0,PreyNCC,1
DAG1B_long,PreyNCC,X03_HakeAge1,2184,0,PreyNCC,1
DAG1B_long,PredNCC,X09_DFA_HakeAge5Plus,5824,0.9765,PredNCC,2
DAG1B_long,PredNCC,X08_DFA_DC_corm_3_WS,5824,0.0065,PredNCC,2
DAG1B_long,PredNCC,X08_Large_gulls_7_WS,5824,0.0055,PredNCC,2
DAG1B_long,PredNCC,X09_DFA_ChinAbundSnakeFall,5824,0.0044,PredNCC,2
DAG1B_long,PredNCC,X11_Harbor_seal_CR,5824,0.0038,PredNCC,2
DAG1B_long,PredNCC,X11_DFA_Harbour_p_WS,5824,0.0034,PredNCC,2
DAG1B_long,PreyAK,X12_DFA_biomassEuphShelfSum,2496,0.9399,PreyAK,3
DAG1B_long,PreyAK,X12_copepodBiomass_WGoA,2496,0.0208,PreyAK,3
DAG1B_long,PreyAK,X13_DFA_WGOA_DFA_seabirds,2496,0.0086,PreyAK,3
DAG1B_long,PreyAK,X13_hexagram_EAI,2496,0.0082,PreyAK,3
DAG1B_long,PreyAK,X13_pollockBiomassGoAage3plus_predAK,2496,0.0057,PreyAK,3
DAG1B_long,PreyAK,X12_copepodCom_EGoA,2496,0.0026,PreyAK,3
DAG1B_long,PreyAK,X13_ammod_WAI,2496,0.0024,PreyAK,3
DAG1B_long,PreyAK,X13_gadid_WAI,2496,0.0018,PreyAK,3
DAG1B_long,PreyAK,X13_hexagram_WAI,2496,0.0018,PreyAK,3
DAG1B_long,PreyAK,X12_copepodCom_WGoA,2496,0.0013,PreyAK,3
DAG1B_long,PredAK,X15_PacificCodBiomass_predAK,2688,0.7141,PredAK,4
DAG1B_long,PredAK,X15_halibutBiomassAge8plus_2yrLead_predAK,2688,0.1441,PredAK,4
DAG1B_long,PredAK,X10_Harbour_s_2yrLead_WS,2688,0.0285,PredAK,4
DAG1B_long,PredAK,X15_sablefishRecruitment_predAK,2688,0.0205,PredAK,4
DAG1B_long,PredAK,X15_DFA_sleeperSharkBSAI_predAK,2688,0.0195,PredAK,4
DAG1B_long,PredAK,X15_sablefishBiomass_predAK,2688,0.0172,PredAK,4
DAG1B_long,PredAK,X15_spinyDogfishGoA_predAK,2688,0.0137,PredAK,4
DAG1B_long,PredAK,X15_sharkCatchGoA_predAK,2688,0.0083,PredAK,4
DAG1B_long,PredAK,X10_DFA_ssl.est.wholerange_2yrLead,2688,0.0078,PredAK,4
DAG1B_long,PredAK,X10_Northern_f_s_2yrLead_WS,2688,0.0073,PredAK,4
DAG1B_long,PredAK,X15_salmonSharkGoA_predAK,2688,0.0072,PredAK,4
DAG1B_long,PredAK,X15_ArrowtoothFlounderBiomass_predAK,2688,0.0065,PredAK,4
DAG1B_long,PredAK,X10_Californian_s_l_2yrLead_WS,2688,0.0054,PredAK,4
DAG1B_short,Abundance,X07_DFA_cpue_IntSprJunHW,134400,1,Abundance,0
DAG1B_short,Growth,X06_DFA_IGF_mu,33600,0.9563,Growth,0.5
DAG1B_short,Growth,X06_Lmu_IntSprJunH,33600,0.0437,Growth,0.5
DAG1B_short,Growth,X06_Lmu_IntSprMayW,33600,0,Growth,0.5
DAG1B_short,Growth,X06_StomFull_May,33600,0,Growth,0.5
DAG1B_short,PreyNCC,X05_DFA_abundSardine,6720,0.866,Competitor,0.75
DAG1B_short,PreyNCC,X04_marketsquid_GAM,6720,0.0052,Competitor,0.75
DAG1B_short,PreyAK,X14_pinkSalmonAsia,9600,0.0017,Competitor,0.75
DAG1B_short,PreyAK,X14_pinkSalmonNorthAmerica,9600,0.0015,Competitor,0.75
DAG1B_short,PreyAK,X14_pinkSalmon,9600,0.0012,Competitor,0.75
DAG1B_short,PreyAK,X13_DFA_WGOA_DFA_midTrophic,9600,0.0011,Competitor,0.75
DAG1B_short,PreyNCC,X04_CaliforniaMarketSquid_,6720,0,Competitor,0.75
DAG1B_short,PreyNCC,X04_PacificPompano_,6720,0,Competitor,0.75
DAG1B_short,PreyNCC,X04_Sablefish__JSOES,6720,0,Competitor,0.75
DAG1B_short,PreyNCC,X05_anchovy_GAM,6720,0,Competitor,0.75
DAG1B_short,PreyNCC,X05_herring_GAM,6720,0,Competitor,0.75
DAG1B_short,PreyNCC,X05_herring_NCC,6720,0,Competitor,0.75
DAG1B_short,PreyNCC,X01_DFA_sumPreyOfPrey_planktonJun,6720,0.1288,PreyNCC,1
DAG1B_short,PreyNCC,X01_Cassin_s_aukl_WS,6720,0,PreyNCC,1
DAG1B_short,PreyNCC,X01_NHLlogSum_win_05,6720,0,PreyNCC,1
DAG1B_short,PreyNCC,X01_NHLlogSum_win_15,6720,0,PreyNCC,1
DAG1B_short,PreyNCC,X01_NHLlogSum_win_25,6720,0,PreyNCC,1
DAG1B_short,PreyNCC,X01_Red_necked_phal_WS,6720,0,PreyNCC,1
DAG1B_short,PreyNCC,X01_Red_phal_WS,6720,0,PreyNCC,1
DAG1B_short,PreyNCC,X01_Sabine_gull_WS,6720,0,PreyNCC,1
DAG1B_short,PreyNCC,X02.krill,6720,0,PreyNCC,1
DAG1B_short,PreyNCC,X02_DFA_SeaNettle_,6720,0,PreyNCC,1
DAG1B_short,PreyNCC,X03_DFA_comMurreDietHerrSard_Yaquina_NCC,6720,0,PreyNCC,1
DAG1B_short,PreyNCC,X03_HakeAge1,6720,0,PreyNCC,1
DAG1B_short,PredNCC,X09_DFA_HakeAge5Plus,16800,0.9616,PredNCC,2
DAG1B_short,PredNCC,X11_Harbor_seal_CR,16800,0.0085,PredNCC,2
DAG1B_short,PredNCC,X08_Large_gulls_7_WS,16800,0.0078,PredNCC,2
DAG1B_short,PredNCC,X11_DFA_Harbour_p_WS,16800,0.0051,PredNCC,2
DAG1B_short,PredNCC,X09_canaryRockfish,16800,0.005,PredNCC,2
DAG1B_short,PredNCC,X09_chilipepper,16800,0.0046,PredNCC,2
DAG1B_short,PredNCC,X08_DFA_DC_corm_3_WS,16800,0.004,PredNCC,2
DAG1B_short,PredNCC,X09_DFA_ChinAbundSnakeFall,16800,0.0034,PredNCC,2
DAG1B_short,PreyAK,X12_DFA_biomassEuphShelfSum,9600,0.595,PreyAK,3
DAG1B_short,PreyAK,X13_pollockBiomassGoAage3plus_predAK,9600,0.2062,PreyAK,3
DAG1B_short,PreyAK,X13_gadid_WAI,9600,0.083,PreyAK,3
DAG1B_short,PreyAK,X13_DFA_WGOA_DFA_seabirds,9600,0.0529,PreyAK,3
DAG1B_short,PreyAK,X12_copepodCom_EGoA,9600,0.0275,PreyAK,3
DAG1B_short,PreyAK,X12_copepodBiomass_WGoA,9600,0.0212,PreyAK,3
DAG1B_short,PreyAK,X12_copepodCom_WGoA,9600,0.0043,PreyAK,3
DAG1B_short,PreyAK,X13_hexagram_WAI,9600,0.0017,PreyAK,3
DAG1B_short,PreyAK,X13_hexagram_EAI,9600,0.0014,PreyAK,3
DAG1B_short,PreyAK,X13_ammod_WAI,9600,0.0012,PreyAK,3
DAG1B_short,PredAK,X15_DFA_sleeperSharkBSAI_predAK,8960,0.524,PredAK,4
DAG1B_short,PredAK,X15_PacificCodBiomass_predAK,8960,0.1858,PredAK,4
DAG1B_short,PredAK,X15_spinyDogfishBSAI_predAK,8960,0.0951,PredAK,4
DAG1B_short,PredAK,X15_sablefishRecruitment_predAK,8960,0.0843,PredAK,4
DAG1B_short,PredAK,X15_sablefishBiomass_predAK,8960,0.0609,PredAK,4
DAG1B_short,PredAK,X15_sharkCatchGoA_predAK,8960,0.015,PredAK,4
DAG1B_short,PredAK,X15_spinyDogfishGoA_predAK,8960,0.0086,PredAK,4
DAG1B_short,PredAK,X15_ArrowtoothFlounderBiomass_predAK,8960,0.0066,PredAK,4
DAG1B_short,PredAK,X15_halibutBiomassAge8plus_2yrLead_predAK,8960,0.0048,PredAK,4
DAG1B_short,PredAK,X10_Californian_s_l_2yrLead_WS,8960,0.0039,PredAK,4
DAG1B_short,PredAK,X15_salmonSharkBSAI_predAK,8960,0.0031,PredAK,4
DAG1B_short,PredAK,X10_Harbour_s_2yrLead_WS,8960,0.0024,PredAK,4
DAG1B_short,PredAK,X15_salmonSharkGoA_predAK,8960,0.002,PredAK,4
DAG1B_short,PredAK,X10_Northern_f_s_2yrLead_WS,8960,0.0018,PredAK,4
DAG1B_short,PredAK,X10_DFA_ssl.est.wholerange_2yrLead,8960,0.0017,PredAK,4
DAG1C_long,Abundance,X07_DFA_cpue_IntSprJunHW,34944,1,Abundance,0
DAG1C_long,Growth,X06_Lmu_IntSprJunH,17472,0.9872,Growth,0.5
DAG1C_long,Growth,X06_DFA_IGF_mu,17472,0.0128,Growth,0.5
DAG1C_long,PreyNCC,X04_marketsquid_GAM,2184,0.4721,Competitor,0.75
DAG1C_long,PreyNCC,X05_herring_GAM,2184,0.3541,Competitor,0.75
DAG1C_long,PreyNCC,X04_Sablefish__JSOES,2184,0.0597,Competitor,0.75
DAG1C_long,PreyNCC,X04_PacificPompano_,2184,0.0187,Competitor,0.75
DAG1C_long,PreyNCC,X05_DFA_abundSardine,2184,0.0162,Competitor,0.75
DAG1C_long,PreyAK,X13_DFA_WGOA_DFA_midTrophic,2496,0.0114,Competitor,0.75
DAG1C_long,PreyNCC,X05_anchovy_GAM,2184,0.011,Competitor,0.75
DAG1C_long,PreyAK,X14_pinkSalmonAsia,2496,0.01,Competitor,0.75
DAG1C_long,PreyAK,X14_pinkSalmon,2496,0.0098,Competitor,0.75
DAG1C_long,PreyNCC,X05_herring_NCC,2184,0.009,Competitor,0.75
DAG1C_long,PreyAK,X14_pinkSalmonNorthAmerica,2496,0.0073,Competitor,0.75
DAG1C_long,PreyNCC,X04_CaliforniaMarketSquid_,2184,0.0039,Competitor,0.75
DAG1C_long,PreyNCC,X03_DFA_comMurreDietHerrSard_Yaquina_NCC,2184,0.0088,PreyNCC,1
DAG1C_long,PreyNCC,X02_DFA_SeaNettle_,2184,0.0084,PreyNCC,1
DAG1C_long,PreyNCC,X03_HakeAge1,2184,0.0083,PreyNCC,1
DAG1C_long,PreyNCC,X01_Red_necked_phal_WS,2184,0.0082,PreyNCC,1
DAG1C_long,PreyNCC,X02.krill,2184,0.0064,PreyNCC,1
DAG1C_long,PreyNCC,X01_Red_phal_WS,2184,0.0058,PreyNCC,1
DAG1C_long,PreyNCC,X01_Sabine_gull_WS,2184,0.0055,PreyNCC,1
DAG1C_long,PreyNCC,X01_Cassin_s_aukl_WS,2184,0.004,PreyNCC,1
DAG1C_long,PredNCC,X09_DFA_HakeAge5Plus,5824,0.9875,PredNCC,2
DAG1C_long,PredNCC,X11_DFA_Harbour_p_WS,5824,0.0099,PredNCC,2
DAG1C_long,PredNCC,X08_DFA_DC_corm_3_WS,5824,0.0015,PredNCC,2
DAG1C_long,PredNCC,X11_Harbor_seal_CR,5824,6e-4,PredNCC,2
DAG1C_long,PredNCC,X08_Large_gulls_7_WS,5824,3e-4,PredNCC,2
DAG1C_long,PredNCC,X09_DFA_ChinAbundSnakeFall,5824,3e-4,PredNCC,2
DAG1C_long,PreyAK,X12_copepodCom_EGoA,2496,0.8466,PreyAK,3
DAG1C_long,PreyAK,X12_DFA_biomassEuphShelfSum,2496,0.0187,PreyAK,3
DAG1C_long,PreyAK,X13_hexagram_WAI,2496,0.017,PreyAK,3
DAG1C_long,PreyAK,X13_ammod_WAI,2496,0.015,PreyAK,3
DAG1C_long,PreyAK,X13_gadid_WAI,2496,0.014,PreyAK,3
DAG1C_long,PreyAK,X13_hexagram_EAI,2496,0.013,PreyAK,3
DAG1C_long,PreyAK,X13_pollockBiomassGoAage3plus_predAK,2496,0.0127,PreyAK,3
DAG1C_long,PreyAK,X12_copepodCom_WGoA,2496,0.0084,PreyAK,3
DAG1C_long,PreyAK,X12_copepodBiomass_WGoA,2496,0.0082,PreyAK,3
DAG1C_long,PreyAK,X13_DFA_WGOA_DFA_seabirds,2496,0.0079,PreyAK,3
DAG1C_long,PredAK,X15_salmonSharkGoA_predAK,2688,0.1993,PredAK,4
DAG1C_long,PredAK,X15_DFA_sleeperSharkBSAI_predAK,2688,0.1323,PredAK,4
DAG1C_long,PredAK,X15_ArrowtoothFlounderBiomass_predAK,2688,0.1275,PredAK,4
DAG1C_long,PredAK,X15_halibutBiomassAge8plus_2yrLead_predAK,2688,0.0898,PredAK,4
DAG1C_long,PredAK,X15_sablefishBiomass_predAK,2688,0.0849,PredAK,4
DAG1C_long,PredAK,X15_sablefishRecruitment_predAK,2688,0.0819,PredAK,4
DAG1C_long,PredAK,X15_PacificCodBiomass_predAK,2688,0.0642,PredAK,4
DAG1C_long,PredAK,X10_DFA_ssl.est.wholerange_2yrLead,2688,0.0526,PredAK,4
DAG1C_long,PredAK,X15_spinyDogfishGoA_predAK,2688,0.0494,PredAK,4
DAG1C_long,PredAK,X10_Californian_s_l_2yrLead_WS,2688,0.0354,PredAK,4
DAG1C_long,PredAK,X10_Northern_f_s_2yrLead_WS,2688,0.0322,PredAK,4
DAG1C_long,PredAK,X10_Harbour_s_2yrLead_WS,2688,0.0257,PredAK,4
DAG1C_long,PredAK,X15_sharkCatchGoA_predAK,2688,0.0247,PredAK,4
DAG1C_short,Abundance,X07_DFA_cpue_IntSprJunHW,134400,1,Abundance,0
DAG1C_short,Growth,X06_Lmu_IntSprMayW,33600,0.3531,Growth,0.5
DAG1C_short,Growth,X06_Lmu_IntSprJunH,33600,0.2684,Growth,0.5
DAG1C_short,Growth,X06_StomFull_May,33600,0.2153,Growth,0.5
DAG1C_short,Growth,X06_DFA_IGF_mu,33600,0.1631,Growth,0.5
DAG1C_short,PreyNCC,X04_Sablefish__JSOES,6720,0.3438,Competitor,0.75
DAG1C_short,PreyNCC,X04_marketsquid_GAM,6720,0.1347,Competitor,0.75
DAG1C_short,PreyNCC,X05_herring_GAM,6720,0.0931,Competitor,0.75
DAG1C_short,PreyAK,X14_pinkSalmonAsia,9600,0.0177,Competitor,0.75
DAG1C_short,PreyAK,X13_DFA_WGOA_DFA_midTrophic,9600,0.0147,Competitor,0.75
DAG1C_short,PreyAK,X14_pinkSalmon,9600,0.0147,Competitor,0.75
DAG1C_short,PreyNCC,X05_herring_NCC,6720,0.0135,Competitor,0.75
DAG1C_short,PreyAK,X14_pinkSalmonNorthAmerica,9600,0.0132,Competitor,0.75
DAG1C_short,PreyNCC,X04_PacificPompano_,6720,0.0127,Competitor,0.75
DAG1C_short,PreyNCC,X05_DFA_abundSardine,6720,0.008,Competitor,0.75
DAG1C_short,PreyNCC,X05_anchovy_GAM,6720,0.0078,Competitor,0.75
DAG1C_short,PreyNCC,X04_CaliforniaMarketSquid_,6720,0.0022,Competitor,0.75
DAG1C_short,PreyNCC,X01_DFA_sumPreyOfPrey_planktonJun,6720,0.3001,PreyNCC,1
DAG1C_short,PreyNCC,X02_DFA_SeaNettle_,6720,0.0209,PreyNCC,1
DAG1C_short,PreyNCC,X01_NHLlogSum_win_05,6720,0.0142,PreyNCC,1
DAG1C_short,PreyNCC,X03_HakeAge1,6720,0.0114,PreyNCC,1
DAG1C_short,PreyNCC,X01_NHLlogSum_win_25,6720,0.0084,PreyNCC,1
DAG1C_short,PreyNCC,X01_Cassin_s_aukl_WS,6720,0.0059,PreyNCC,1
DAG1C_short,PreyNCC,X02.krill,6720,0.0059,PreyNCC,1
DAG1C_short,PreyNCC,X01_Red_necked_phal_WS,6720,0.005,PreyNCC,1
DAG1C_short,PreyNCC,X03_DFA_comMurreDietHerrSard_Yaquina_NCC,6720,0.0044,PreyNCC,1
