"Formula","Predictors","Num_Params","Raw_AIC","Complete_Yrs","Missing_Yrs","Guild_Sources","adjaic2"
"X16_SAR ~ X06_Lmu_IntSprJunH + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_hexagram_EAI","X06_Lmu_IntSprJunH + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_hexagram_EAI",4,35.6149818085373,24,0,"Growth, PredNCC, PreyAK, PreyAK",35.6149818085373
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X05_anchovy_GAM + X08_DFA_DC_corm_3_WS","X06_Lmu_IntSprJunH + X01_habCompInd + X05_anchovy_GAM + X08_DFA_DC_corm_3_WS",4,35.7160183690877,24,0,"Growth, PreyNCC, PreyNCC, PredNCC",35.7160183690877
"X16_SAR ~ X06_DFA_IGF_mu + X01_habCompInd + X04_Sablefish__JSOES + X15_salmonSharkBSAI_predAK","X06_DFA_IGF_mu + X01_habCompInd + X04_Sablefish__JSOES + X15_salmonSharkBSAI_predAK",4,25.7530091588507,19,5,"Growth, PreyNCC, PreyNCC, PredAK",35.7530091588507
"X16_SAR ~ X06_StomFull_May + X01_habCompInd + X09_canaryRockfish + X10_DFA_ssl.est.wholerange_2yrLead","X06_StomFull_May + X01_habCompInd + X09_canaryRockfish + X10_DFA_ssl.est.wholerange_2yrLead",4,25.7569023733212,19,5,"Growth, PreyNCC, PredNCC, PredAK",35.7569023733212
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X03_DFA_comMurreDietHerrSard_Yaquina_NCC + X09_DFA_ChinAbundSnakeFall","X06_Lmu_IntSprJunH + X01_habCompInd + X03_DFA_comMurreDietHerrSard_Yaquina_NCC + X09_DFA_ChinAbundSnakeFall",4,35.7690277366933,24,0,"Growth, PreyNCC, PreyNCC, PredNCC",35.7690277366933
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_Red_necked_phal_WS + X01_habCompInd + X09_DFA_ChinAbundSnakeFall","X06_Lmu_IntSprJunH + X01_Red_necked_phal_WS + X01_habCompInd + X09_DFA_ChinAbundSnakeFall",4,35.7950950374546,24,0,"Growth, PreyNCC, PreyNCC, PredNCC",35.7950950374546
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_NHLlogSum_win_25 + X01_habCompInd + X13_gadid_WAI","X06_Lmu_IntSprJunH + X01_NHLlogSum_win_25 + X01_habCompInd + X13_gadid_WAI",4,29.7977330257449,21,3,"Growth, PreyNCC, PreyNCC, PreyAK",35.7977330257449
"X16_SAR ~ X06_Lmu_IntSprJunH + X06_StomFull_May + X01_habCompInd + X09_DFA_ChinAbundSnakeFall","X06_Lmu_IntSprJunH + X06_StomFull_May + X01_habCompInd + X09_DFA_ChinAbundSnakeFall",4,33.8132684523271,23,1,"Growth, Growth, PreyNCC, PredNCC",35.8132684523271
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X04_Sablefish__JSOES + X13_hexagram_WAI","X06_Lmu_IntSprJunH + X01_habCompInd + X04_Sablefish__JSOES + X13_hexagram_WAI",4,35.831302824149,24,0,"Growth, PreyNCC, PreyNCC, PreyAK",35.831302824149
"X16_SAR ~ X06_DFA_IGF_mu + X01_habCompInd + X04_Sablefish__JSOES + X09_canaryRockfish","X06_DFA_IGF_mu + X01_habCompInd + X04_Sablefish__JSOES + X09_canaryRockfish",4,25.8894439077814,19,5,"Growth, PreyNCC, PreyNCC, PredNCC",35.8894439077814
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X15_sablefishRecruitment_predAK","X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X15_sablefishRecruitment_predAK",4,35.9388253033832,24,0,"Growth, PreyNCC, PredNCC, PredAK",35.9388253033832
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_NHLlogSum_win_15 + X01_habCompInd + X13_gadid_WAI","X06_Lmu_IntSprJunH + X01_NHLlogSum_win_15 + X01_habCompInd + X13_gadid_WAI",4,29.9389442910941,21,3,"Growth, PreyNCC, PreyNCC, PreyAK",35.9389442910941
"X16_SAR ~ X06_DFA_IGF_mu + X01_habCompInd + X03_DFA_comMurreDietHerrSard_Yaquina_NCC + X09_canaryRockfish","X06_DFA_IGF_mu + X01_habCompInd + X03_DFA_comMurreDietHerrSard_Yaquina_NCC + X09_canaryRockfish",4,26.0163230533587,19,5,"Growth, PreyNCC, PreyNCC, PredNCC",36.0163230533587
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X10_Northern_f_s_2yrLead_WS","X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X10_Northern_f_s_2yrLead_WS",4,36.0312159531483,24,0,"Growth, PreyNCC, PredNCC, PredAK",36.0312159531483
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X05_anchovy_GAM + X09_DFA_ChinAbundSnakeFall","X06_Lmu_IntSprJunH + X01_habCompInd + X05_anchovy_GAM + X09_DFA_ChinAbundSnakeFall",4,36.0546501620658,24,0,"Growth, PreyNCC, PreyNCC, PredNCC",36.0546501620658
"X16_SAR ~ X06_Lmu_IntSprJunH + X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum","X06_Lmu_IntSprJunH + X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum",4,36.0607100896244,24,0,"Growth, PredNCC, PredNCC, PreyAK",36.0607100896244
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_Sabine_gull_WS + X01_habCompInd + X09_DFA_ChinAbundSnakeFall","X06_Lmu_IntSprJunH + X01_Sabine_gull_WS + X01_habCompInd + X09_DFA_ChinAbundSnakeFall",4,36.0677136594796,24,0,"Growth, PreyNCC, PreyNCC, PredNCC",36.0677136594796
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X08_DFA_DC_corm_3_WS + X10_Northern_f_s_2yrLead_WS","X06_Lmu_IntSprJunH + X01_habCompInd + X08_DFA_DC_corm_3_WS + X10_Northern_f_s_2yrLead_WS",4,36.0681060963699,24,0,"Growth, PreyNCC, PredNCC, PredAK",36.0681060963699
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X08_Loons_8_WS + X09_DFA_ChinAbundSnakeFall","X06_Lmu_IntSprJunH + X01_habCompInd + X08_Loons_8_WS + X09_DFA_ChinAbundSnakeFall",4,36.0828310488534,24,0,"Growth, PreyNCC, PredNCC, PredNCC",36.0828310488534
"X16_SAR ~ X06_StomFull_May + X01_habCompInd + X09_canaryRockfish + X11_DFA_Harbour_p_WS","X06_StomFull_May + X01_habCompInd + X09_canaryRockfish + X11_DFA_Harbour_p_WS",4,26.0982611107135,19,5,"Growth, PreyNCC, PredNCC, PredNCC",36.0982611107135
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_NHLlogSum_win_15 + X01_habCompInd + X09_DFA_ChinAbundSnakeFall","X06_Lmu_IntSprJunH + X01_NHLlogSum_win_15 + X01_habCompInd + X09_DFA_ChinAbundSnakeFall",4,30.1103396494097,21,3,"Growth, PreyNCC, PreyNCC, PredNCC",36.1103396494097
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X15_salmonSharkGoA_predAK","X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X15_salmonSharkGoA_predAK",4,36.1313903649876,24,0,"Growth, PreyNCC, PredNCC, PredAK",36.1313903649876
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_NHLlogSum_win_25 + X01_habCompInd","X06_Lmu_IntSprJunH + X01_NHLlogSum_win_25 + X01_habCompInd",3,30.1397051512433,21,3,"Growth, PreyNCC, PreyNCC",36.1397051512433
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X13_gadid_WAI","X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X13_gadid_WAI",4,36.1529091829324,24,0,"Growth, PreyNCC, PredNCC, PreyAK",36.1529091829324
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X13_hexagram_WAI","X06_Lmu_IntSprJunH + X01_habCompInd + X13_hexagram_WAI",3,36.1663412316483,24,0,"Growth, PreyNCC, PreyAK",36.1663412316483
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X14_pinkSalmonNorthAmerica","X06_Lmu_IntSprJunH + X01_habCompInd + X09_DFA_ChinAbundSnakeFall + X14_pinkSalmonNorthAmerica",4,36.1818845318567,24,0,"Growth, PreyNCC, PredNCC, PreyAK",36.1818845318567
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_habCompInd + X08_DFA_DC_corm_3_WS + X15_PacificCodBiomass_predAK","X06_Lmu_IntSprJunH + X01_habCompInd + X08_DFA_DC_corm_3_WS + X15_PacificCodBiomass_predAK",4,36.1878028355495,24,0,"Growth, PreyNCC, PredNCC, PredAK",36.1878028355495
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_NHLlogSum_win_25 + X01_habCompInd + X04_Sablefish__JSOES","X06_Lmu_IntSprJunH + X01_NHLlogSum_win_25 + X01_habCompInd + X04_Sablefish__JSOES",4,30.1972659766726,21,3,"Growth, PreyNCC, PreyNCC, PreyNCC",36.1972659766726
"X16_SAR ~ X06_Lmu_IntSprJunH + X01_NHLlogSum_win_15 + X01_habCompInd + X04_Sablefish__JSOES","X06_Lmu_IntSprJunH + X01_NHLlogSum_win_15 + X01_habCompInd + X04_Sablefish__JSOES",4,30.2023472797012,21,3,"Growth, PreyNCC, PreyNCC, PreyNCC",36.2023472797012
