Model,Node,Node2,Indicator,Type,Count,Pct_Pos,Pct_Neg,Hyp,OK,Pos_Neigh,Neg_Neigh,Explanation,order
DAG1C_long,PreyAK,Competitor,X14_pinkSalmon,Straggler,17,5.9,94.1,Negative,1,"X14_pinkSalmonAsia (0.94), X01_Cassin_s_aukl_WS (0.52), X04_marketsquid_GAM (0.65), X01_DFA_sumPreyOfPrey_planktonJun (0.67), X15_spinyDogfishGoA_predAK (0.78), X10_DFA_ssl.est.wholerange_2yrLead (0.7)","X15_halibutBiomassAge8plus_2yrLead_predAK (-0.74), X01_NHLlogSum_win_05 (-0.45), X05_DFA_abundSardine (-0.61)",Competitor (more pink salmon = less food for Chinook salmon),0.75
DAG1A_short,PreyNCC,PreyNCC,X01_DFA_sumPreyOfPrey_planktonJun,DFA,36,100,0,Positive,1,"X04_marketsquid_GAM (0.97), X15_spinyDogfishGoA_predAK (0.84), X14_pinkSalmon (0.67), X05_herring_GAM (0.84), X06_DFA_IGF_mu (0.94), X04_PacificPompano_ (0.61)","X05_DFA_abundSardine (-0.97), X01_NHLlogSum_win_05 (-0.62), X15_ArrowtoothFlounderBiomass_predAK (-0.95), X15_halibutBiomassAge8plus_2yrLead_predAK (-0.77)",Direct trophic support (more food = more growth),1
DAG1B_short,PreyNCC,PreyNCC,X01_DFA_sumPreyOfPrey_planktonJun,DFA,29,100,0,Positive,1,"X04_marketsquid_GAM (0.97), X15_spinyDogfishGoA_predAK (0.84), X14_pinkSalmon (0.67), X05_herring_GAM (0.84), X06_DFA_IGF_mu (0.94), X04_PacificPompano_ (0.61)","X05_DFA_abundSardine (-0.97), X01_NHLlogSum_win_05 (-0.62), X15_ArrowtoothFlounderBiomass_predAK (-0.95), X15_halibutBiomassAge8plus_2yrLead_predAK (-0.77)",Direct trophic support (more food = more growth),1
DAG1A_long,PredNCC,PredNCC,X09_DFA_HakeAge5Plus,DFA,72,0,100,Negative,1,X05_anchovy_GAM (0.71),"X01_NHLlogSum_win_15 (-0.42), X07_DFA_cpue_IntSprJunHW (-0.61), X01_Red_phal_WS (-0.28), X15_spinyDogfishBSAI_predAK (-0.58), X15_PacificCodBiomass_predAK (-0.53)",Direct predator,2
DAG1A_short,PredNCC,PredNCC,X09_DFA_HakeAge5Plus,DFA,33,0,100,Negative,1,X05_anchovy_GAM (0.71),"X01_NHLlogSum_win_15 (-0.42), X07_DFA_cpue_IntSprJunHW (-0.61), X01_Red_phal_WS (-0.28), X15_spinyDogfishBSAI_predAK (-0.58), X15_PacificCodBiomass_predAK (-0.53)",Direct predator,2
DAG1B_long,PredNCC,PredNCC,X09_DFA_HakeAge5Plus,DFA,63,0,100,Negative,1,X05_anchovy_GAM (0.71),"X01_NHLlogSum_win_15 (-0.42), X07_DFA_cpue_IntSprJunHW (-0.61), X01_Red_phal_WS (-0.28), X15_spinyDogfishBSAI_predAK (-0.58), X15_PacificCodBiomass_predAK (-0.53)",Direct predator,2
DAG1B_short,PredNCC,PredNCC,X09_DFA_HakeAge5Plus,DFA,41,0,100,Negative,1,X05_anchovy_GAM (0.71),"X01_NHLlogSum_win_15 (-0.42), X07_DFA_cpue_IntSprJunHW (-0.61), X01_Red_phal_WS (-0.28), X15_spinyDogfishBSAI_predAK (-0.58), X15_PacificCodBiomass_predAK (-0.53)",Direct predator,2
DAG1A_long,PredNCC,PredNCC,X08_Loons_8_WS,Straggler,27,100,0,Negative,0,"X13_hexagram_WAI (0.58), X07_DFA_cpue_IntSprJunHW (0.54), X08_Large_gulls_7_WS (0.54)","X13_gadid_WAI (-0.25), X09_DFA_HakeAge5Plus (-0.56)",Coincidence (Loon population co-trending with CPUE),2
DAG1A_short,PredNCC,PredNCC,X08_Loons_8_WS,Straggler,24,100,0,Negative,0,"X13_hexagram_WAI (0.58), X07_DFA_cpue_IntSprJunHW (0.54), X08_Large_gulls_7_WS (0.54)","X13_gadid_WAI (-0.25), X09_DFA_HakeAge5Plus (-0.56)",Coincidence (Loon population co-trending with CPUE),2
DAG1B_long,PredNCC,PredNCC,X08_Loons_8_WS,Straggler,27,100,0,Negative,0,"X13_hexagram_WAI (0.58), X07_DFA_cpue_IntSprJunHW (0.54), X08_Large_gulls_7_WS (0.54)","X13_gadid_WAI (-0.25), X09_DFA_HakeAge5Plus (-0.56)",Coincidence (Loon population co-trending with CPUE),2
DAG1B_short,PredNCC,PredNCC,X08_Loons_8_WS,Straggler,16,100,0,Negative,0,"X13_hexagram_WAI (0.58), X07_DFA_cpue_IntSprJunHW (0.54), X08_Large_gulls_7_WS (0.54)","X13_gadid_WAI (-0.25), X09_DFA_HakeAge5Plus (-0.56)",Coincidence (Loon population co-trending with CPUE),2
DAG1A_short,PredNCC,PredNCC,X08_commonMurre_JSOES,Straggler,37,100,0,Negative,0,"X01_habCompInd (0.7), X07_DFA_cpue_IntSprJunHW (0.67)","X04_Sablefish__JSOES (-0.37), X12_copepodCom_EGoA (-0.57), X01_Cassin_s_aukl_WS (-0.78), X09_DFA_HakeAge5Plus (-0.83)",Ecosystem proxy (Murre ~ Habitat Compression Index),2
DAG1B_short,PredNCC,PredNCC,X08_commonMurre_JSOES,Straggler,43,100,0,Negative,0,"X01_habCompInd (0.7), X07_DFA_cpue_IntSprJunHW (0.67)","X04_Sablefish__JSOES (-0.37), X12_copepodCom_EGoA (-0.57), X01_Cassin_s_aukl_WS (-0.78), X09_DFA_HakeAge5Plus (-0.83)",Ecosystem proxy (Murre ~ Habitat Compression Index),2
DAG1C_long,PreyAK,PreyAK,X12_copepodCom_EGoA,Straggler,51,100,0,Positive,1,,"X08_commonMurre_JSOES (-0.57), X01_Red_phal_WS (-0.49)",Direct trophic support (cold-water lipid-rich copepod signal),3
DAG1A_long,PreyAK,PreyAK,X12_DFA_biomassEuphShelfSum,DFA,14,0,100,Positive,0,"X01_Red_necked_phal_WS (0.57), X15_salmonSharkGoA_predAK (0.55)","X11_DFA_Harbour_p_WS (-0.38), X02_DFA_SeaNettle_ (-0.7), X01_habCompInd (-0.57), X08_commonMurre_JSOES (-0.63)",Investigate neighborhood relationships further,3
DAG1A_short,PreyAK,PreyAK,X12_DFA_biomassEuphShelfSum,DFA,15,0,100,Positive,0,"X01_Red_necked_phal_WS (0.57), X15_salmonSharkGoA_predAK (0.55)","X11_DFA_Harbour_p_WS (-0.38), X02_DFA_SeaNettle_ (-0.7), X01_habCompInd (-0.57), X08_commonMurre_JSOES (-0.63)",Investigate neighborhood relationships further,3
DAG1B_long,PreyAK,PreyAK,X12_DFA_biomassEuphShelfSum,DFA,45,0,100,Positive,0,"X01_Red_necked_phal_WS (0.57), X15_salmonSharkGoA_predAK (0.55)","X11_DFA_Harbour_p_WS (-0.38), X02_DFA_SeaNettle_ (-0.7), X01_habCompInd (-0.57), X08_commonMurre_JSOES (-0.63)",Investigate neighborhood relationships further,3
DAG1B_short,PreyAK,PreyAK,X12_DFA_biomassEuphShelfSum,DFA,36,0,100,Positive,0,"X01_Red_necked_phal_WS (0.57), X15_salmonSharkGoA_predAK (0.55)","X11_DFA_Harbour_p_WS (-0.38), X02_DFA_SeaNettle_ (-0.7), X01_habCompInd (-0.57), X08_commonMurre_JSOES (-0.63)",Investigate neighborhood relationships further,3
DAG1A_long,PreyAK,PreyAK,X12_copepodBiomass_WGoA,Straggler,28,0,100,Positive,0,,"X01_NHLlogSum_win_25 (-0.37), X10_Northern_f_s_2yrLead_WS (-0.32), X10_Harbor_seal_CR_2yrLead (-0.52), X09_DFA_ChinAbundSnakeFall (-0.56), X03_HakeAge1 (-0.5)",Investigate neighborhood relationships further,3
DAG1A_short,PreyAK,PreyAK,X12_copepodBiomass_WGoA,Straggler,12,0,100,Positive,0,,"X01_NHLlogSum_win_25 (-0.37), X10_Northern_f_s_2yrLead_WS (-0.32), X10_Harbor_seal_CR_2yrLead (-0.52), X09_DFA_ChinAbundSnakeFall (-0.56), X03_HakeAge1 (-0.5)",Investigate neighborhood relationships further,3
DAG1B_long,PreyAK,PreyAK,X12_copepodBiomass_WGoA,Straggler,19,0,100,Positive,0,,"X01_NHLlogSum_win_25 (-0.37), X10_Northern_f_s_2yrLead_WS (-0.32), X10_Harbor_seal_CR_2yrLead (-0.52), X09_DFA_ChinAbundSnakeFall (-0.56), X03_HakeAge1 (-0.5)",Investigate neighborhood relationships further,3
DAG1B_short,PreyAK,PreyAK,X12_copepodBiomass_WGoA,Straggler,11,0,100,Positive,0,,"X01_NHLlogSum_win_25 (-0.37), X10_Northern_f_s_2yrLead_WS (-0.32), X10_Harbor_seal_CR_2yrLead (-0.52), X09_DFA_ChinAbundSnakeFall (-0.56), X03_HakeAge1 (-0.5)",Investigate neighborhood relationships further,3
DAG1C_short,PreyAK,PreyAK,X12_copepodBiomass_WGoA,Straggler,13,15.4,84.6,Positive,0,,"X01_NHLlogSum_win_25 (-0.37), X10_Northern_f_s_2yrLead_WS (-0.32), X10_Harbor_seal_CR_2yrLead (-0.52), X09_DFA_ChinAbundSnakeFall (-0.56), X03_HakeAge1 (-0.5)",Investigate neighborhood relationships further,3
DAG1C_short,PreyAK,PreyAK,X12_copepodCom_WGoA,Straggler,14,0,100,Positive,0,"X04_CaliforniaMarketSquid_ (0.8), X15_sablefishRecruitment_predAK (0.82), X13_DFA_WGOA_DFA_midTrophic (0.89), X04_Sablefish__JSOES (0.58), X05_anchovy_GAM (0.76), X15_sablefishBiomass_predAK (0.71)","X14_pinkSalmonNorthAmerica (-0.32), X08_commonMurre_JSOES (-0.67), X15_PacificCodBiomass_predAK (-0.71)",Investigate neighborhood relationships further,3
DAG1C_short,PreyAK,PreyAK,X13_DFA_WGOA_DFA_midTrophic,DFA,21,0,100,Positive,0,"X15_sharkCatchGoA_predAK (0.69), X04_CaliforniaMarketSquid_ (0.88), X12_copepodCom_WGoA (0.89), X15_sablefishRecruitment_predAK (0.91), X14_pinkSalmonAsia (0.74), X01_Cassin_s_aukl_WS (0.61), X15_spinyDogfishGoA_predAK (0.82)","X01_NHLlogSum_win_05 (-0.58), X15_ArrowtoothFlounderBiomass_predAK (-0.9), X08_commonMurre_JSOES (-0.62)",Investigate neighborhood relationships further,3
DAG1A_short,PreyAK,PreyAK,X13_DFA_WGOA_DFA_seabirds,DFA,11,27.3,72.7,Positive,0,"X05_herring_NCC (0.59), X15_salmonSharkBSAI_predAK (0.85)","X03_HakeAge1 (-0.39), X01_NHLlogSum_win_25 (-0.74), X16_SAR (-0.45), X10_Northern_f_s_2yrLead_WS (-0.68)",Investigate neighborhood relationships further,3
DAG1A_short,PreyAK,PreyAK,X13_hexagram_EAI,Straggler,12,0,100,Positive,0,,"X02.krill (-0.44), X03_HakeAge1 (-0.46), X16_SAR (-0.41), X01_NHLlogSum_win_25 (-0.31)",Investigate neighborhood relationships further,3
DAG1C_long,PredAK,PredAK,X10_DFA_ssl.est.wholerange_2yrLead,DFA,12,33.3,66.7,Negative,1,"X06_DFA_IGF_mu (0.9), X06_Lmu_IntSprJunH (0.77), X05_herring_GAM (0.81), X04_PacificPompano_ (0.54), X13_pollockBiomassGoAage3plus_predAK (0.77), X14_pinkSalmon (0.7), X01_DFA_sumPreyOfPrey_planktonJun (0.9)","X13_ammod_WAI (-0.7), X15_halibutBiomassAge8plus_2yrLead_predAK (-0.9), X05_DFA_abundSardine (-0.85)",Direct predator (deepwater top-down consumer),4
DAG1A_long,PredAK,PredAK,X10_Harbour_s_2yrLead_WS,Straggler,18,0,100,Negative,1,"X13_ammod_WAI (0.72), X15_DFA_sleeperSharkBSAI_predAK (0.57)","X13_pollockBiomassGoAage3plus_predAK (-0.35), X06_Lmu_IntSprJunH (-0.79), X01_Red_necked_phal_WS (-0.35), X10_Californian_s_l_2yrLead_WS (-0.47), X10_DFA_ssl.est.wholerange_2yrLead (-0.43)",Direct predator,4
DAG1B_long,PredAK,PredAK,X10_Harbour_s_2yrLead_WS,Straggler,14,0,100,Negative,1,"X13_ammod_WAI (0.72), X15_DFA_sleeperSharkBSAI_predAK (0.57)","X13_pollockBiomassGoAage3plus_predAK (-0.35), X06_Lmu_IntSprJunH (-0.79), X01_Red_necked_phal_WS (-0.35), X10_Californian_s_l_2yrLead_WS (-0.47), X10_DFA_ssl.est.wholerange_2yrLead (-0.43)",Direct predator,4
DAG1C_long,PredAK,PredAK,X15_ArrowtoothFlounderBiomass_predAK,Straggler,11,9.1,90.9,Negative,1,"X01_NHLlogSum_win_05 (0.66), X05_DFA_abundSardine (0.95)","X15_spinyDogfishGoA_predAK (-0.89), X04_marketsquid_GAM (-0.96), X15_sharkCatchGoA_predAK (-0.8), X01_DFA_sumPreyOfPrey_planktonJun (-0.95), X14_pinkSalmonAsia (-0.71), X14_pinkSalmon (-0.72), X01_Cassin_s_aukl_WS (-0.65), X13_DFA_WGOA_DFA_midTrophic (-0.9)",Direct predator (deepwater top-down consumer),4
DAG1A_long,PredAK,PredAK,X15_DFA_sleeperSharkBSAI_predAK,DFA,17,0,100,Negative,1,"X13_ammod_WAI (0.76), X10_Harbour_s_2yrLead_WS (0.57)","X10_Californian_s_l_2yrLead_WS (-0.83), X13_pollockBiomassGoAage3plus_predAK (-0.76), X06_Lmu_IntSprJunH (-0.76), X10_DFA_ssl.est.wholerange_2yrLead (-0.89), X06_DFA_IGF_mu (-0.88), X05_herring_GAM (-0.82), X11_Harbor_seal_CR (-0.88)",Direct predator (deepwater top-down consumer),4
DAG1A_short,PredAK,PredAK,X15_DFA_sleeperSharkBSAI_predAK,DFA,15,0,100,Negative,1,"X13_ammod_WAI (0.76), X10_Harbour_s_2yrLead_WS (0.57)","X10_Californian_s_l_2yrLead_WS (-0.83), X13_pollockBiomassGoAage3plus_predAK (-0.76), X06_Lmu_IntSprJunH (-0.76), X10_DFA_ssl.est.wholerange_2yrLead (-0.89), X06_DFA_IGF_mu (-0.88), X05_herring_GAM (-0.82), X11_Harbor_seal_CR (-0.88)",Direct predator (deepwater top-down consumer),4
DAG1B_long,PredAK,PredAK,X15_DFA_sleeperSharkBSAI_predAK,DFA,14,0,100,Negative,1,"X13_ammod_WAI (0.76), X10_Harbour_s_2yrLead_WS (0.57)","X10_Californian_s_l_2yrLead_WS (-0.83), X13_pollockBiomassGoAage3plus_predAK (-0.76), X06_Lmu_IntSprJunH (-0.76), X10_DFA_ssl.est.wholerange_2yrLead (-0.89), X06_DFA_IGF_mu (-0.88), X05_herring_GAM (-0.82), X11_Harbor_seal_CR (-0.88)",Direct predator (deepwater top-down consumer),4
DAG1B_short,PredAK,PredAK,X15_DFA_sleeperSharkBSAI_predAK,DFA,22,0,100,Negative,1,"X13_ammod_WAI (0.76), X10_Harbour_s_2yrLead_WS (0.57)","X10_Californian_s_l_2yrLead_WS (-0.83), X13_pollockBiomassGoAage3plus_predAK (-0.76), X06_Lmu_IntSprJunH (-0.76), X10_DFA_ssl.est.wholerange_2yrLead (-0.89), X06_DFA_IGF_mu (-0.88), X05_herring_GAM (-0.82), X11_Harbor_seal_CR (-0.88)",Direct predator (deepwater top-down consumer),4
DAG1A_long,PredAK,PredAK,X10_Harbor_seal_CR_2yrLead,Straggler,19,100,0,Negative,0,"X09_DFA_ChinAbundSnakeFall (0.52), X08_DFA_DC_corm_3_WS (0.55), X11_Harbor_seal_CR (0.81), X10_Northern_f_s_2yrLead_WS (0.59)","X06_Lmu_IntSprMayW (-0.73), X12_copepodBiomass_WGoA (-0.52), X10_Harbour_s_2yrLead_WS (-0.42)",Spurious (Noisy / high missing data; trend-rider on short series),4
DAG1A_short,PredAK,PredAK,X10_Harbor_seal_CR_2yrLead,Straggler,77,100,0,Negative,0,"X09_DFA_ChinAbundSnakeFall (0.52), X08_DFA_DC_corm_3_WS (0.55), X11_Harbor_seal_CR (0.81), X10_Northern_f_s_2yrLead_WS (0.59)","X06_Lmu_IntSprMayW (-0.73), X12_copepodBiomass_WGoA (-0.52), X10_Harbour_s_2yrLead_WS (-0.42)",Spurious (Noisy / high missing data; trend-rider on short series),4
DAG1B_long,PredAK,PredAK,X10_Harbor_seal_CR_2yrLead,Straggler,11,100,0,Negative,0,"X09_DFA_ChinAbundSnakeFall (0.52), X08_DFA_DC_corm_3_WS (0.55), X11_Harbor_seal_CR (0.81), X10_Northern_f_s_2yrLead_WS (0.59)","X06_Lmu_IntSprMayW (-0.73), X12_copepodBiomass_WGoA (-0.52), X10_Harbour_s_2yrLead_WS (-0.42)",Spurious (Noisy / high missing data; trend-rider on short series),4
DAG1B_short,PredAK,PredAK,X10_Harbor_seal_CR_2yrLead,Straggler,51,100,0,Negative,0,"X09_DFA_ChinAbundSnakeFall (0.52), X08_DFA_DC_corm_3_WS (0.55), X11_Harbor_seal_CR (0.81), X10_Northern_f_s_2yrLead_WS (0.59)","X06_Lmu_IntSprMayW (-0.73), X12_copepodBiomass_WGoA (-0.52), X10_Harbour_s_2yrLead_WS (-0.42)",Spurious (Noisy / high missing data; trend-rider on short series),4
DAG1C_short,PredAK,PredAK,X10_Harbor_seal_CR_2yrLead,Straggler,96,100,0,Negative,0,"X09_DFA_ChinAbundSnakeFall (0.52), X08_DFA_DC_corm_3_WS (0.55), X11_Harbor_seal_CR (0.81), X10_Northern_f_s_2yrLead_WS (0.59)","X06_Lmu_IntSprMayW (-0.73), X12_copepodBiomass_WGoA (-0.52), X10_Harbour_s_2yrLead_WS (-0.42)",Spurious (Noisy / high missing data; trend-rider on short series),4
DAG1B_long,PredAK,PredAK,X15_PacificCodBiomass_predAK,Straggler,12,100,0,Negative,0,"X15_spinyDogfishBSAI_predAK (0.89), X14_pinkSalmonNorthAmerica (0.61)","X05_anchovy_GAM (-0.85), X15_sablefishBiomass_predAK (-0.79), X09_DFA_HakeAge5Plus (-0.53), X09_chilipepper (-0.64), X06_StomFull_May (-0.55)","Ecosystem proxy (Pcod had negative response to heat wave, favored other predators)",4
DAG1B_long,PredAK,PredAK,X15_halibutBiomassAge8plus_2yrLead_predAK,Straggler,11,100,0,Negative,0,"X01_NHLlogSum_win_05 (0.72), X05_DFA_abundSardine (0.66)","X04_PacificPompano_ (-0.49), X14_pinkSalmon (-0.74), X14_pinkSalmonAsia (-0.72), X01_Cassin_s_aukl_WS (-0.59), X10_DFA_ssl.est.wholerange_2yrLead (-0.9), X06_DFA_IGF_mu (-0.76), X06_Lmu_IntSprJunH (-0.63)",Ecosystem proxy (Halibut declines in warm water favor competitors),4
DAG1C_long,PredAK,PredAK,X15_halibutBiomassAge8plus_2yrLead_predAK,Straggler,13,84.6,15.400000000000006,Negative,0,"X01_NHLlogSum_win_05 (0.72), X05_DFA_abundSardine (0.66)","X04_PacificPompano_ (-0.49), X14_pinkSalmon (-0.74), X14_pinkSalmonAsia (-0.72), X01_Cassin_s_aukl_WS (-0.59), X10_DFA_ssl.est.wholerange_2yrLead (-0.9), X06_DFA_IGF_mu (-0.76), X06_Lmu_IntSprJunH (-0.63)",Ecosystem proxy (Halibut declines in warm water favor competitors),4
