"Formula","Predictors","Num_Params","Raw_AIC","Complete_Yrs","Missing_Yrs","Guild_Sources","Adjusted_AIC","Adj_AIC2","R2","Coefficients","Std_Errors","P_Values","All_Coefficients_Sig"
"X16_SAR ~ X04_Sablefish__JSOES + X09_DFA_ChinAbundSnakeFall + X09_DFA_HakeAge5Plus + X13_ammod_WAI","X04_Sablefish__JSOES + X09_DFA_ChinAbundSnakeFall + X09_DFA_HakeAge5Plus + X13_ammod_WAI",4,37.0512031934445,24,0,"PreyNCC, PredNCC, PredNCC, PreyAK",37.0512031934445,37.0512031934445,0.785415572948379,"1.3829, -0.1759, -0.6628, -0.8655","0.3161, 0.0719, 0.079, 0.2275","0, 0.0144, 0, 1e-04","Yes"
"X16_SAR ~ X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X15_sablefishBiomass_predAK","X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X15_sablefishBiomass_predAK",4,37.0673688942476,24,0,"PredNCC, PredNCC, PreyAK, PredAK",37.0673688942476,37.0673688942476,0.78527098644068,"-0.1726, -0.6127, -1.1955, 0.4743","0.0724, 0.0832, 0.2288, 0.1634","0.0171, 0, 0, 0.0037","Yes"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X12_copepodCom_EGoA + X13_ammod_WAI","X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X12_copepodCom_EGoA + X13_ammod_WAI",4,37.1329064298226,24,0,"PredNCC, PreyAK, PreyAK, PreyAK",37.1329064298226,37.1329064298226,0.784683818007592,"-0.4476, -0.2354, 0.6944, -1.267","0.0797, 0.0657, 0.2303, 0.2212","0, 3e-04, 0.0026, 0","Yes"
"X16_SAR ~ X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI","X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI",4,37.4226414716037,24,0,"PredNCC, PredNCC, PreyAK, PreyAK",37.4226414716037,37.4226414716037,0.782068704434533,"-0.2074, -0.4014, -0.1871, -1.4059","0.0703, 0.0792, 0.0663, 0.2319","0.0032, 0, 0.0048, 0","Yes"
"X16_SAR ~ X02.krill + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI","X02.krill + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI",4,37.5143011348898,24,0,"PreyNCC, PredNCC, PredNCC, PreyAK",37.5143011348898,37.5143011348898,0.78123480016218,"0.2576, -0.2325, -0.4151, -1.3281","0.0921, 0.0698, 0.0776, 0.229","0.0051, 9e-04, 0, 0","Yes"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_hexagram_WAI + X15_sablefishBiomass_predAK","X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_hexagram_WAI + X15_sablefishBiomass_predAK",4,37.653662625403,24,0,"PredNCC, PreyAK, PreyAK, PredAK",37.653662625403,37.653662625403,0.77996079465965,"-0.6145, -0.9356, 0.3578, 0.6667","0.0843, 0.2188, 0.1605, 0.1619","0, 0, 0.0258, 0","Yes"
"X16_SAR ~ X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI","X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI",4,38.435980000238,24,0,"PredNCC, PredNCC, PreyAK, PreyAK",38.435980000238,38.435980000238,0.772670093764153,"-0.2064, -0.5451, -1.3113, 0.5421","0.072, 0.0769, 0.2332, 0.2106","0.0041, 0, 0, 0.01","Yes"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI + X13_hexagram_EAI","X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI + X13_hexagram_EAI",4,38.5809784418857,24,0,"PredNCC, PreyAK, PreyAK, PreyAK",38.5809784418857,38.5809784418857,0.771292499761278,"-0.5209, -0.9929, 0.8615, -0.426","0.0788, 0.2247, 0.2238, 0.1504","0, 0, 1e-04, 0.0046","Yes"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI + X13_hexagram_WAI","X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI + X13_hexagram_WAI",4,38.7426748764298,24,0,"PredNCC, PreyAK, PreyAK, PreyAK",38.7426748764298,38.7426748764298,0.769746414543933,"-0.2971, -0.2811, -1.1763, 0.4519","0.0918, 0.0722, 0.2279, 0.1714","0.0012, 1e-04, 0, 0.0084","Yes"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X12_copepodCom_EGoA + X13_ammod_WAI + X13_gadid_WAI","X09_DFA_HakeAge5Plus + X12_copepodCom_EGoA + X13_ammod_WAI + X13_gadid_WAI",4,38.7435293979518,24,0,"PredNCC, PreyAK, PreyAK, PreyAK",38.7435293979518,38.7435293979518,0.769738216204472,"-0.6259, 0.6636, -1.1468, 0.6789","0.0789, 0.2374, 0.2231, 0.2101","0, 0.0052, 0, 0.0012","Yes"
"X16_SAR ~ X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS + X13_hexagram_WAI","X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS + X13_hexagram_WAI",4,38.8184654701633,24,0,"PreyNCC, PredNCC, PredAK, PreyAK",38.8184654701633,38.8184654701633,0.769018137890377,"1.3983, -0.5517, -0.3852, 0.3398","0.3178, 0.083, 0.1737, 0.1834","0, 0, 0.0266, 0.064","No"
"X16_SAR ~ X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X15_salmonSharkGoA_predAK","X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X15_salmonSharkGoA_predAK",4,39.0366433569185,24,0,"PredNCC, PredNCC, PreyAK, PredAK",39.0366433569185,39.0366433569185,0.766908767268587,"-0.2338, -0.485, -1.398, -0.4108","0.0721, 0.075, 0.2402, 0.1696","0.0012, 0, 0, 0.0154","Yes"
"X16_SAR ~ X04_Sablefish__JSOES + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_DFA_WGOA_DFA_seabirds","X04_Sablefish__JSOES + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_DFA_WGOA_DFA_seabirds",4,39.1475709266162,24,0,"PreyNCC, PredNCC, PredNCC, PreyAK",39.1475709266162,39.1475709266162,0.765828930198623,"1.4673, -0.2792, -0.4561, -0.2217","0.2942, 0.0807, 0.0956, 0.07","0, 5e-04, 0, 0.0015","Yes"
"X16_SAR ~ X01_Sabine_gull_WS + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS","X01_Sabine_gull_WS + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS",4,39.2621688627744,24,0,"PreyNCC, PreyNCC, PredNCC, PredAK",39.2621688627744,39.2621688627744,0.764708109696274,"0.3908, 1.4969, -0.6001, -0.4731","0.2283, 0.3495, 0.0835, 0.1602","0.087, 0, 0, 0.0031","No"
"X16_SAR ~ X08_DFA_DC_corm_3_WS + X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI","X08_DFA_DC_corm_3_WS + X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI",4,39.3217050415425,24,0,"PredNCC, PredNCC, PredNCC, PreyAK",39.3217050415425,39.3217050415425,0.7641237026324,"-0.1869, -0.6521, -0.626, -1.5248","0.0753, 0.2776, 0.0947, 0.2577","0.013, 0.0188, 0, 0","Yes"
"X16_SAR ~ X04_Sablefish__JSOES + X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI","X04_Sablefish__JSOES + X08_Large_gulls_7_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI",4,39.3726083966165,24,0,"PreyNCC, PredNCC, PredNCC, PreyAK",39.3726083966165,39.3726083966165,0.763622884420893,"0.8406, -0.5299, -0.7049, -1.0723","0.3402, 0.2952, 0.0926, 0.287","0.0135, 0.0727, 0, 2e-04","No"
"X16_SAR ~ X04_PacificPompano_ + X09_DFA_HakeAge5Plus + X12_copepodCom_EGoA + X13_ammod_WAI","X04_PacificPompano_ + X09_DFA_HakeAge5Plus + X12_copepodCom_EGoA + X13_ammod_WAI",4,39.4186076398926,24,0,"PreyNCC, PredNCC, PreyAK, PreyAK",39.4186076398926,39.4186076398926,0.763169401293681,"-0.4464, -0.4467, 0.722, -1.385","0.1449, 0.0852, 0.2431, 0.2463","0.0021, 0, 0.003, 0","Yes"
"X16_SAR ~ X04_PacificPompano_ + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI","X04_PacificPompano_ + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI",4,39.4975094375814,24,0,"PreyNCC, PredNCC, PredNCC, PreyAK",39.4975094375814,39.4975094375814,0.762389521707091,"-0.3321, -0.216, -0.4043, -1.4924","0.1442, 0.0732, 0.0846, 0.254","0.0213, 0.0032, 0, 0","Yes"
"X16_SAR ~ X04_Sablefish__JSOES + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS","X04_Sablefish__JSOES + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS",4,39.5217017523347,24,0,"PreyNCC, PredNCC, PredNCC, PredAK",39.5217017523347,39.5217017523347,0.76214988647134,"1.262, -0.1136, -0.5719, -0.4915","0.3049, 0.0699, 0.083, 0.1594","0, 0.1043, 0, 0.002","No"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X11_DFA_Harbour_p_WS + X13_ammod_WAI + X13_gadid_WAI","X09_DFA_HakeAge5Plus + X11_DFA_Harbour_p_WS + X13_ammod_WAI + X13_gadid_WAI",4,39.523238459796,24,0,"PredNCC, PredNCC, PreyAK, PreyAK",39.523238459796,39.523238459796,0.762134656565254,"-0.5785, -0.2076, -0.9737, 0.7601","0.078, 0.0796, 0.231, 0.2184","0, 0.0091, 0, 5e-04","Yes"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS + X12_DFA_biomassEuphShelfSum + X13_hexagram_EAI","X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS + X12_DFA_biomassEuphShelfSum + X13_hexagram_EAI",4,39.5363375896155,24,0,"PredNCC, PredAK, PreyAK, PreyAK",39.5363375896155,39.5363375896155,0.762004794920543,"-0.2081, -0.6965, -0.2584, -0.58","0.0935, 0.1541, 0.0741, 0.1559","0.0261, 0, 5e-04, 2e-04","Yes"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI + X15_sablefishBiomass_predAK","X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI + X15_sablefishBiomass_predAK",4,39.5977046064296,24,0,"PredNCC, PreyAK, PreyAK, PredAK",39.5977046064296,39.5977046064296,0.76139547225632,"-0.6644, -1.0471, 0.3853, 0.4672","0.0855, 0.2272, 0.2338, 0.1805","0, 0, 0.0994, 0.0096","No"
"X16_SAR ~ X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X11_DFA_Harbour_p_WS + X13_ammod_WAI","X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X11_DFA_Harbour_p_WS + X13_ammod_WAI",4,39.7167870447262,24,0,"PreyNCC, PredNCC, PredNCC, PreyAK",39.7167870447262,39.7167870447262,0.760208629899857,"1.0699, -0.6175, -0.1314, -0.6993","0.3111, 0.082, 0.0781, 0.2422","6e-04, 0, 0.0923, 0.0039","No"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS + X13_gadid_WAI + X13_hexagram_EAI","X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS + X13_gadid_WAI + X13_hexagram_EAI",4,39.7663448529767,24,0,"PredNCC, PredAK, PreyAK, PreyAK",39.7663448529767,39.7663448529767,0.759712971050031,"-0.4247, -0.6467, 0.7888, -0.5376","0.0801, 0.1549, 0.2296, 0.152","0, 0, 6e-04, 4e-04","Yes"
"X16_SAR ~ X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_hexagram_WAI + X14_pinkSalmonAsia","X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_hexagram_WAI + X14_pinkSalmonAsia",4,39.8009762242365,24,0,"PreyNCC, PredNCC, PreyAK, PreyAK",39.8009762242365,39.8009762242365,0.75936599288218,"1.3983, -0.569, 0.5663, 0.3243","0.3292, 0.0844, 0.1691, 0.1674","0, 0, 8e-04, 0.0526","No"
"X16_SAR ~ X02_DFA_SeaNettle_ + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI","X02_DFA_SeaNettle_ + X08_DFA_DC_corm_3_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI",4,39.897796624224,24,0,"PreyNCC, PredNCC, PredNCC, PreyAK",39.897796624224,39.897796624224,0.758393270430223,"0.1934, -0.2774, -0.4906, -1.5773","0.0881, 0.0759, 0.0763, 0.2737","0.0282, 3e-04, 0, 0","Yes"
"X16_SAR ~ X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI","X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI",4,39.9080003542695,24,0,"PreyNCC, PredNCC, PreyAK, PreyAK",39.9080003542695,39.9080003542695,0.758290528180829,"0.8636, -0.6377, -0.8708, 0.3831","0.3439, 0.0826, 0.2451, 0.2366","0.012, 0, 4e-04, 0.1054","No"
"X16_SAR ~ X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS","X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS",3,40.0255728269369,24,0,"PreyNCC, PredNCC, PredAK",40.0255728269369,40.0255728269369,0.735994836509297,"1.1903, -0.5784, -0.529","0.3179, 0.0874, 0.1661","2e-04, 0, 0.0015","Yes"
"X16_SAR ~ X04_Sablefish__JSOES + X09_DFA_ChinAbundSnakeFall + X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS","X04_Sablefish__JSOES + X09_DFA_ChinAbundSnakeFall + X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS",4,40.0463231293802,24,0,"PreyNCC, PredNCC, PredNCC, PredAK",40.0463231293802,40.0463231293802,0.756893425779278,"1.3983, -0.1091, -0.604, -0.5058","0.3377, 0.076, 0.0857, 0.1602","0, 0.1509, 0, 0.0016","No"
"X16_SAR ~ X01_Red_phal_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI","X01_Red_phal_WS + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X13_gadid_WAI",4,40.0482434750801,24,0,"PreyNCC, PredNCC, PreyAK, PreyAK",40.0482434750801,40.0482434750801,0.756873972973351,"-0.3468, -0.6489, -1.1511, 0.809","0.1401, 0.0844, 0.2296, 0.2266","0.0133, 0, 0, 4e-04","Yes"
"X16_SAR ~ X04_Sablefish__JSOES + X05_herring_GAM + X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS","X04_Sablefish__JSOES + X05_herring_GAM + X09_DFA_HakeAge5Plus + X10_Harbour_s_2yrLead_WS",4,40.0645870379767,24,0,"PreyNCC, PreyNCC, PredNCC, PredAK",40.0645870379767,40.0645870379767,0.756708352190946,"1.2634, -0.2217, -0.5601, -0.6193","0.3094, 0.1551, 0.0849, 0.1715","0, 0.1529, 0, 3e-04","No"
"X16_SAR ~ X01_NHLlogSum_win_15 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X15_DFA_sleeperSharkBSAI_predAK","X01_NHLlogSum_win_15 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X15_DFA_sleeperSharkBSAI_predAK",4,34.0791750794735,21,3,"PreyNCC, PreyNCC, PredNCC, PredAK",37.0791750794735,40.0791750794735,0.787153283654413,"0.0868, 1.3915, -0.5364, -0.1435","0.2424, 0.3201, 0.0862, 0.0501","0.7202, 0, 0, 0.0042","No"
"X16_SAR ~ X01_NHLlogSum_win_05 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X11_Harbor_seal_CR","X01_NHLlogSum_win_05 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X11_Harbor_seal_CR",4,34.1040882838842,21,3,"PreyNCC, PreyNCC, PredNCC, PredNCC",37.1040882838842,40.1040882838842,0.786900624587577,"0.1308, 1.4588, -0.4487, 0.5369","0.2032, 0.3041, 0.1013, 0.2012","0.5198, 0, 0, 0.0076","No"
"X16_SAR ~ X01_NHLlogSum_win_25 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X15_DFA_sleeperSharkBSAI_predAK","X01_NHLlogSum_win_25 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X15_DFA_sleeperSharkBSAI_predAK",4,34.1669089835303,21,3,"PreyNCC, PreyNCC, PredNCC, PredAK",37.1669089835303,40.1669089835303,0.786262191479638,"0.0404, 1.3747, -0.5435, -0.1372","0.2015, 0.3158, 0.0829, 0.0573","0.841, 0, 0, 0.0167","No"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X13_ammod_WAI + X15_sablefishBiomass_predAK","X09_DFA_HakeAge5Plus + X13_ammod_WAI + X15_sablefishBiomass_predAK",3,40.1699557485112,24,0,"PredNCC, PreyAK, PredAK",40.1699557485112,40.1699557485112,0.734401806314154,"-0.6578, -1.0031, 0.5891","0.0901, 0.2381, 0.1737","0, 0, 7e-04","Yes"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X11_DFA_Harbour_p_WS + X13_ammod_WAI + X15_sablefishBiomass_predAK","X09_DFA_HakeAge5Plus + X11_DFA_Harbour_p_WS + X13_ammod_WAI + X15_sablefishBiomass_predAK",4,40.2336788228756,24,0,"PredNCC, PredNCC, PreyAK, PredAK",40.2336788228756,40.2336788228756,0.754988190490475,"-0.6463, -0.1128, -0.9308, 0.5592","0.0869, 0.0794, 0.2343, 0.1681","0, 0.1556, 1e-04, 9e-04","No"
"X16_SAR ~ X01_NHLlogSum_win_05 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_DFA_WGOA_DFA_seabirds","X01_NHLlogSum_win_05 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_DFA_WGOA_DFA_seabirds",4,34.2778491946331,21,3,"PreyNCC, PreyNCC, PredNCC, PreyAK",37.2778491946331,40.2778491946331,0.785130055192804,"-0.0847, 1.6871, -0.4851, -0.1648","0.1717, 0.2956, 0.0943, 0.0628","0.6219, 0, 0, 0.0087","No"
"X16_SAR ~ X09_DFA_HakeAge5Plus + X13_gadid_WAI + X13_hexagram_EAI + X15_sharkCatchGoA_predAK","X09_DFA_HakeAge5Plus + X13_gadid_WAI + X13_hexagram_EAI + X15_sharkCatchGoA_predAK",4,40.2781101444941,24,0,"PredNCC, PreyAK, PreyAK, PredAK",40.2781101444941,40.2781101444941,0.754534178758509,"-0.6002, 0.968, -0.6545, 0.5782","0.0874, 0.2339, 0.1564, 0.1421","0, 0, 0, 0","Yes"
"X16_SAR ~ X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI","X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X12_DFA_biomassEuphShelfSum + X13_ammod_WAI",4,40.3432152404172,24,0,"PreyNCC, PredNCC, PreyAK, PreyAK",40.3432152404172,40.3432152404172,0.753867396613424,"0.8189, -0.538, -0.1196, -0.9376","0.3681, 0.1022, 0.0817, 0.264","0.0261, 0, 0.1432, 4e-04","No"
"X16_SAR ~ X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI","X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_ammod_WAI",3,40.3957231951169,24,0,"PreyNCC, PredNCC, PreyAK",40.3957231951169,40.3957231951169,0.731891541741197,"1.0981, -0.6253, -0.7789","0.3285, 0.0866, 0.2512","8e-04, 0, 0.0019","Yes"
"X16_SAR ~ X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_DFA_WGOA_DFA_seabirds + X13_hexagram_WAI","X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X13_DFA_WGOA_DFA_seabirds + X13_hexagram_WAI",4,40.4576173592855,24,0,"PreyNCC, PredNCC, PreyAK, PreyAK",40.4576173592855,40.4576173592855,0.752691342052075,"1.607, -0.4938, -0.1063, 0.5394","0.3097, 0.0954, 0.0613, 0.1701","0, 0, 0.083, 0.0015","No"
"X16_SAR ~ X01_NHLlogSum_win_15 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X11_Harbor_seal_CR","X01_NHLlogSum_win_15 + X04_Sablefish__JSOES + X09_DFA_HakeAge5Plus + X11_Harbor_seal_CR",4,34.4762881822178,21,3,"PreyNCC, PreyNCC, PredNCC, PredNCC",37.4762881822178,40.4762881822178,0.783090023457235,"0.0477, 1.4851, -0.473, 0.4628","0.2446, 0.3137, 0.0952, 0.1672","0.8454, 0, 0, 0.0057","No"
"X16_SAR ~ X01_NHLlogSum_win_05 + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X15_sablefishBiomass_predAK","X01_NHLlogSum_win_05 + X09_DFA_HakeAge5Plus + X13_ammod_WAI + X15_sablefishBiomass_predAK",4,34.4858395826979,21,3,"PreyNCC, PredNCC, PreyAK, PredAK",37.4858395826979,40.4858395826979,0.782991344158132,"0.2518, -0.5984, -1.2343, 0.609","0.1929, 0.0851, 0.2558, 0.1597","0.1916, 0, 0, 1e-04","No"
