"year","week","csl_nonpup_total_emb_lisa","csl_nobs_emb_lisa"
2006,12,36,3
2006,13,50,1
2006,14,38,3
2006,15,53,4
2006,16,53,4
2006,17,72,5
2006,18,75,4
2006,19,84,3
2006,20,64,2
2006,21,88,4
2006,22,57,4
2006,23,31,3
2006,24,11,2
2006,25,4,1
2006,31,1,3
2006,32,32,2
2006,33,59,3
2006,34,95,2
2006,35,102,2
2006,36,161,2
2006,37,123,1
2006,38,163,1
2006,39,159,1
2006,40,130,4
2006,41,94,3
2006,42,78,3
2006,43,99,2
2006,44,71,3
2006,45,86,3
2006,46,103,3
2006,47,76,3
2006,48,80,3
2006,49,47,3
2006,50,13,4
2006,51,41,1
2006,52,10,2
2007,1,3,2
2007,2,22,1
2007,3,13,3
2007,4,36,3
2007,5,34,3
2007,6,44,2
2007,7,42,2
2007,8,31,3
2007,9,50,3
2007,10,33,3
2007,11,46,4
2007,12,26,3
2007,13,56,3
2007,14,55,3
2007,15,78,4
2007,16,84,2
2007,17,91,4
2007,18,62,2
2007,19,84,3
2007,20,83,3
2007,21,74,3
2007,22,82,2
2007,23,39,4
2007,24,16,2
2007,25,5,1
2007,30,1,1
2007,31,13,1
2007,32,24,2
2007,33,76,2
2007,34,97,3
2007,35,141,3
2007,36,143,2
2007,37,146,3
2007,38,145,4
2007,39,151,3
2007,40,171,3
2007,41,86,4
2007,42,62,2
2007,43,89,1
2007,44,62,2
2007,45,83,4
2007,46,74,4
2007,47,51,3
2007,48,30,5
2007,49,23,7
2007,50,21,2
2007,51,19,6
2007,52,19,5
2008,1,17,5
2008,2,27,5
2008,3,27,4
2008,4,24,7
2008,5,19,7
2008,6,23,7
2008,7,35,6
2008,8,37,5
2008,9,30,7
2008,10,43,6
2008,11,25,4
2008,12,36,6
2008,13,38,6
2008,14,49,7
2008,15,76,6
2008,16,82,6
2008,17,86,7
2008,18,134,4
2008,19,108,7
2008,20,113,5
2008,21,57,4
2008,22,45,6
2008,23,23,7
2008,24,11,6
2008,25,1,5
2008,26,0,7
2008,29,0,4
2008,30,0,2
2008,31,9,6
2008,32,40,6
2008,33,78,6
2008,34,166,5
2008,35,172,6
2008,36,186,3
2008,37,196,1
2008,38,174,5
2008,39,198,6
2008,40,138,5
2008,41,171,6
2008,42,121,6
2008,43,141,3
2008,46,111,3
2008,47,113,2
2008,48,183,2
2008,49,113,5
2008,50,60,6
2008,51,9,4
2008,52,4,5
2008,53,17,2
2009,1,6,5
2009,2,12,6
2009,3,16,4
2009,4,15,7
2009,5,22,4
2009,6,20,5
2009,7,29,6
2009,8,31,5
2009,9,43,3
2009,10,44,4
2009,11,39,4
2009,12,58,5
2009,13,63,4
2009,14,72,3
2009,15,57,6
2009,16,93,7
2009,17,97,6
2009,18,87,6
2009,19,120,7
2009,20,89,4
2009,21,75,5
2009,22,45,6
2009,23,21,6
2009,24,5,5
2009,25,1,5
2009,26,0,4
2009,27,0,5
2009,28,0,1
2009,29,2,6
2009,30,16,5
2009,31,49,6
2009,32,132,7
2009,33,219,3
2009,34,251,5
2009,35,300,7
2009,36,309,5
2009,37,244,6
2009,38,210,4
2009,39,221,5
2009,40,145,4
2009,41,113,4
2009,42,131,5
2009,43,97,2
2009,45,71,2
2009,46,21,6
2009,47,12,6
2009,48,62,2
2009,49,39,5
2009,50,6,6
2009,51,18,4
2009,52,29,4
2009,53,12,1
2010,1,9,5
2010,2,10,3
2010,3,22,5
2010,4,39,5
2010,5,36,7
2010,6,51,6
2010,7,57,6
2010,8,52,6
2010,9,69,5
2010,10,74,5
2010,11,91,5
2010,12,57,4
2010,13,72,4
2010,14,64,4
2010,15,98,5
2010,16,169,6
2010,17,181,4
2010,18,163,4
2010,19,119,6
2010,20,145,6
2010,21,147,5
2010,22,123,6
2010,23,123,6
2010,24,46,7
2010,25,26,5
2010,26,11,6
2010,27,2,4
2010,28,2,6
2010,29,4,4
2010,30,13,1
2010,31,43,4
2010,32,129,4
2010,33,161,4
2010,34,207,4
2010,35,266,4
2010,36,305,2
