"year","week","month","date","eulachon_input","prop_fit","prop_lwr","prop_upr","final_peak_scalar","eul_gam_pred","eul_lwr_95","eul_upr_95","data_source","eulachon_final","time_index"
2005,26,NA,NA,NA,0.0764244507088253,0.0178244850603545,0.273944107656992,34339.9454440249,2624.41146793063,612.09184454041,9407.22571165319,"Predicted",2624.41146793063,2005.94117647059
2006,10,NA,NA,NA,0.468022082926107,0.0226444499343504,0.970936069505633,66294.6814660659,31027.3749066709,1501.20659537204,64367.8974517899,"Predicted",31027.3749066709,2006
2006,11,NA,NA,NA,0.527084569115993,0.0730728632558717,0.940324683577254,66294.6814660659,34942.9036152233,4844.3421933614,62338.5253724333,"Predicted",34942.9036152233,2006.05882352941
2006,12,NA,NA,NA,0.585398587995765,0.207995646505254,0.883602932890299,66294.6814660659,38808.8129218639,13789.0051313943,58578.1749784439,"Predicted",38808.8129218639,2006.11764705882
2006,13,NA,NA,NA,0.641413928594598,0.441790846255423,0.801693049239376,66294.6814660659,42522.3320840768,29288.383427127,53147.9853328835,"Predicted",42522.3320840768,2006.17647058824
2006,14,NA,NA,NA,0.655646596630379,0.510483905317522,0.776600626003578,66294.6814660659,43465.8822779212,33842.3678965784,51484.4911272546,"Predicted",43465.8822779212,2006.23529411765
2006,15,NA,NA,NA,0.459529853095419,0.31148181068238,0.615083073777106,66294.6814660659,30464.3852351088,20649.5874216618,40776.736451222,"Predicted",30464.3852351088,2006.29411764706
2006,16,NA,NA,NA,0.138790824431691,0.06231784674859,0.280986042152157,66294.6814660659,9201.09349611162,4131.34179984888,18627.8801608878,"Predicted",9201.09349611162,2006.35294117647
2006,17,NA,NA,NA,0.0290615247142325,0.00711718079524783,0.111095955633163,66294.6814660659,1926.62452384824,471.831233757356,7365.07099086874,"Predicted",1926.62452384824,2006.41176470588
2006,18,NA,NA,NA,0.00964275200507214,0.000933060521955534,0.0921541913358903,66294.6814660659,639.263172632526,61.8569500916033,6109.33276037574,"Predicted",639.263172632526,2006.47058823529
2006,19,NA,NA,NA,0.00392242701113995,9.22322020601276e-05,0.143918293115682,66294.6814660659,260.036049277416,6.11450445648998,9541.01739924402,"Predicted",260.036049277416,2006.52941176471
2006,20,NA,NA,NA,0.00102141672989851,4.51606065329257e-06,0.187975406938766,66294.6814660659,67.7144967527326,0.299390802491464,12461.7697264596,"Predicted",67.7144967527326,2006.58823529412
2006,21,NA,NA,NA,0.000185359967886844,1.49354305383901e-07,0.187078439478986,66294.6814660659,12.2883800276185,0.00990139610101127,12402.3055544281,"Predicted",12.2883800276185,2006.64705882353
2006,22,NA,NA,NA,6.21530035704034e-05,2.40489182595051e-08,0.138414353229324,66294.6814660659,4.12041357385915,0.00159431537561734,9176.13545766959,"Predicted",4.12041357385915,2006.70588235294
2006,23,NA,NA,NA,9.4290335431458e-05,7.06674373332606e-08,0.111769332083516,66294.6814660659,6.25094775275701,0.00468487524803168,7409.71226815166,"Predicted",6.25094775275701,2006.76470588235
2006,24,NA,NA,NA,0.00059966768716598,1.92395595310975e-06,0.157633171109673,66294.6814660659,39.7547783061611,0.127548047066152,10450.2408672016,"Predicted",39.7547783061611,2006.82352941176
2006,25,NA,NA,NA,0.00699765360485223,0.000223180967177302,0.181976743806713,66294.6814660659,463.907216743546,14.7957111283077,12064.0902648979,"Predicted",463.907216743546,2006.88235294118
2006,26,NA,NA,NA,0.0764244507088253,0.0178244850603545,0.273944107656992,66294.6814660659,5066.53461596063,1181.66855937285,18161.0373566259,"Predicted",5066.53461596063,2006.94117647059
2007,10,NA,NA,NA,0.468022082926107,0.0226444499343504,0.970936069505633,54429.3182454789,25474.122897497,1232.52197197057,52847.3883231365,"Predicted",25474.122897497,2007
2007,11,NA,NA,NA,0.527084569115993,0.0730728632558717,0.940324683577254,54429.3182454789,28688.8537546955,3977.3061292622,51181.2314565056,"Predicted",28688.8537546955,2007.05882352941
2007,12,NA,NA,NA,0.585398587995765,0.207995646505254,0.883602932890299,54429.3182454789,31862.8460464755,11321.0612373086,48093.9052369246,"Predicted",31862.8460464755,2007.11764705882
2007,13,NA,NA,NA,0.641413928594598,0.441790846255423,0.801693049239376,54429.3182454789,34911.7228465583,24046.3745687759,43635.6061122384,"Predicted",34911.7228465583,2007.17647058824
2007,14,NA,NA,NA,0.655646596630379,0.510483905317522,0.776600626003578,54429.3182454789,35686.3972645601,27785.2909417223,42269.8426223869,"Predicted",35686.3972645601,2007.23529411765
2007,15,NA,NA,NA,0.459529853095419,0.31148181068238,0.615083073777106,54429.3182454789,25011.8966174287,16953.7426013093,33478.5523700215,"Predicted",25011.8966174287,2007.29411764706
2007,16,NA,NA,NA,0.138790824431691,0.06231784674859,0.280986042152157,54429.3182454789,7554.28995254489,3391.91791305199,15293.8787108373,"Predicted",7554.28995254489,2007.35294117647
2007,17,NA,NA,NA,0.0290615247142325,0.00711718079524783,0.111095955633163,54429.3182454789,1581.79897736981,387.383298515155,6046.87712494304,"Predicted",1581.79897736981,2007.41176470588
2007,18,NA,NA,NA,0.00964275200507214,0.000933060521955534,0.0921541913358903,54429.3182454789,524.848417646302,50.7858480918104,5015.88980787593,"Predicted",524.848417646302,2007.47058823529
2007,19,NA,NA,NA,0.00392242701113995,9.22322020601276e-05,0.143918293115682,54429.3182454789,213.495028083999,5.020135878412,7833.37457733955,"Predicted",213.495028083999,2007.52941176471
2007,20,NA,NA,NA,0.00102141672989851,4.51606065329257e-06,0.187975406938766,54429.3182454789,55.5950162529026,0.245806102513947,10231.3732465935,"Predicted",55.5950162529026,2007.58823529412
2007,21,NA,NA,NA,0.000185359967886844,1.49354305383901e-07,0.187078439478986,54429.3182454789,10.0890166820848,0.00812925301907281,10182.5519192693,"Predicted",10.0890166820848,2007.64705882353
2007,22,NA,NA,NA,6.21530035704034e-05,2.40489182595051e-08,0.138414353229324,54429.3182454789,3.38294561124587,0.00130896622540611,7533.79888166103,"Predicted",3.38294561124587,2007.70588235294
2007,23,NA,NA,NA,9.4290335431458e-05,7.06674373332606e-08,0.111769332083516,54429.3182454789,5.13215867467178,0.00384638043620448,6083.52854605833,"Predicted",5.13215867467178,2007.76470588235
2007,24,NA,NA,NA,0.00059966768716598,1.92395595310975e-06,0.157633171109673,54429.3182454789,32.6395033862874,0.104719610862094,8579.86603637242,"Predicted",32.6395033862874,2007.82352941176
2007,25,NA,NA,NA,0.00699765360485223,0.000223180967177302,0.181976743806713,54429.3182454789,380.877515030125,12.1475878888271,9904.87010193158,"Predicted",380.877515030125,2007.88235294118
2007,26,NA,NA,NA,0.0764244507088253,0.0178244850603545,0.273944107656992,54429.3182454789,4159.73074936657,970.174569911818,14910.5910171361,"Predicted",4159.73074936657,2007.94117647059
2008,10,NA,NA,NA,0.468022082926107,0.0226444499343504,0.970936069505633,76698.5490081244,35896.6146641925,1736.79645305179,74469.3877107335,"Predicted",35896.6146641925,2008
2008,11,NA,NA,NA,0.527084569115993,0.0730728632558717,0.940324683577254,76698.5490081244,40426.6216557691,5604.58258359445,72121.5388268991,"Predicted",40426.6216557691,2008.05882352941
