"year","week","Chin_weekly_count","Chin_weekly_mean"
2014,17,38196,5456.57142857143
2014,18,63706,9100.85714285714
2014,19,26680,3811.42857142857
2014,20,15620,2231.42857142857
2014,21,13549,1935.57142857143
2014,22,13532,1933.14285714286
2014,23,18566,2652.28571428571
2014,24,16395,2342.14285714286
2014,25,17626,2518
2014,26,15788,2255.42857142857
2015,10,119,17
2015,11,159,22.7142857142857
2015,12,313,44.7142857142857
2015,13,1312,187.428571428571
2015,14,1921,274.428571428571
2015,15,9726,1389.42857142857
2015,16,54775,7825
2015,17,57090,8155.71428571429
2015,18,34779,4968.42857142857
2015,19,19555,2793.57142857143
2015,20,14253,2036.14285714286
2015,21,15471,2210.14285714286
2015,22,18958,2708.28571428571
2015,23,20951,2993
2015,24,24007,3429.57142857143
2015,25,25335,3619.28571428571
2015,26,25268,3609.71428571429
2016,10,17,2.42857142857143
2016,11,20,2.85714285714286
2016,12,40,5.71428571428571
2016,13,196,28
2016,14,886,126.571428571429
2016,15,2746,392.285714285714
2016,16,8514,1216.28571428571
2016,17,15375,2196.42857142857
2016,18,57440,8205.71428571429
2016,19,20294,2899.14285714286
2016,20,16648,2378.28571428571
2016,21,9890,1412.85714285714
2016,22,10922,1560.28571428571
2016,23,15406,2200.85714285714
2016,24,20517,2931
2016,25,19526,2789.42857142857
2016,26,18599,2657
2017,10,4,0.571428571428571
2017,11,7,1
2017,12,0,0
2017,13,5,0.714285714285714
2017,14,122,17.4285714285714
2017,15,293,41.8571428571429
2017,16,840,120
2017,17,1713,244.714285714286
2017,18,16783,2397.57142857143
2017,19,10320,1474.28571428571
2017,20,14767,2109.57142857143
2017,21,29723,4246.14285714286
2017,22,13851,1978.71428571429
2017,23,10905,1557.85714285714
2017,24,12654,1807.71428571429
2017,25,17149,2449.85714285714
2017,26,15865,2266.42857142857
2018,10,1,0.142857142857143
2018,11,4,0.571428571428571
2018,12,8,1.14285714285714
2018,13,11,1.57142857142857
2018,14,69,9.85714285714286
2018,15,128,18.2857142857143
2018,16,328,46.8571428571429
2018,17,4701,671.571428571429
2018,18,20240,2891.42857142857
2018,19,20752,2964.57142857143
2018,20,18235,2605
2018,21,18511,2644.42857142857
2018,22,8773,1253.28571428571
2018,23,9505,1357.85714285714
2018,24,10650,1521.42857142857
2018,25,12381,1768.71428571429
2018,26,8732,1247.42857142857
2019,10,1,0.142857142857143
2019,11,3,0.428571428571429
2019,12,12,1.71428571428571
2019,13,32,4.57142857142857
2019,14,129,18.4285714285714
2019,15,52,7.42857142857143
2019,16,846,120.857142857143
2019,17,2262,323.142857142857
2019,18,16929,2418.42857142857
2019,19,18149,2592.71428571429
2019,20,8238,1176.85714285714
2019,21,5212,744.571428571429
2019,22,5415,773.571428571429
2019,23,6788,969.714285714286
2019,24,10204,1457.71428571429
2019,25,7875,1125
2019,26,7971,1138.71428571429
2020,10,8,1.14285714285714
2020,11,10,1.42857142857143
2020,12,12,1.71428571428571
2020,13,27,3.85714285714286
2020,14,108,15.4285714285714
2020,15,603,86.1428571428571
2020,16,1522,217.428571428571
2020,17,6251,893
2020,18,15188,2169.71428571429
2020,19,12606,1800.85714285714
2020,20,7206,1029.42857142857
2020,21,7108,1015.42857142857
2020,22,8809,1258.42857142857
2020,23,11330,1618.57142857143
2020,24,13579,1939.85714285714
2020,25,16420,2345.71428571429
2020,26,14758,2108.28571428571
2021,10,0,0
2021,11,18,2.57142857142857
2021,12,58,8.28571428571429
2021,13,61,8.71428571428571
2021,14,169,24.1428571428571
2021,15,409,58.4285714285714
2021,16,2038,291.142857142857
2021,17,10212,1458.85714285714
2021,18,18269,2609.85714285714
2021,19,15956,2279.42857142857
2021,20,9931,1418.71428571429
2021,21,5951,850.142857142857
2021,22,6825,975
2021,23,8969,1281.28571428571
2021,24,12404,1772
2021,25,15999,2285.57142857143
2021,26,12263,1751.85714285714
2022,10,1,0.142857142857143
2022,11,19,2.71428571428571
2022,12,155,22.1428571428571
2022,13,584,83.4285714285714
2022,14,305,43.5714285714286
2022,15,557,79.5714285714286
2022,16,2661,380.142857142857
2022,17,29094,4156.28571428571
2022,18,49181,7025.85714285714
2022,19,24821,3545.85714285714
2022,20,20118,2874
2022,21,12807,1829.57142857143
2022,22,12386,1769.42857142857
2022,23,14533,2076.14285714286
2022,24,9646,1378
2022,25,15845,2263.57142857143
2022,26,28701,4100.14285714286
2023,10,0,0
2023,11,3,0.428571428571429
2023,12,27,3.85714285714286
2023,13,133,19
2023,14,275,39.2857142857143
2023,15,337,48.1428571428571
2023,16,1299,185.571428571429
2023,17,10366,1480.85714285714
2023,18,14324,2046.28571428571
2023,19,38318,5474
2023,20,28458,4065.42857142857
2023,21,11671,1667.28571428571
2023,22,8536,1219.42857142857
2023,23,13063,1866.14285714286
2023,24,15190,2170
2023,25,12763,1823.28571428571
2023,26,12881,1840.14285714286
2024,10,3,0.428571428571429
2024,11,1,0.142857142857143
2024,12,34,4.85714285714286
2024,13,56,8
2024,14,175,25
2024,15,613,87.5714285714286
2024,16,5484,783.428571428571
2024,17,12712,1816
2024,18,25551,3650.14285714286
2024,19,27642,3948.85714285714
2024,20,9423,1346.14285714286
2024,21,6651,950.142857142857
2024,22,5917,845.285714285714
2024,23,7945,1135
2024,24,12947,1849.57142857143
2024,25,11774,1682
2024,26,9171,1310.14285714286
