forage_set_id,forage_label
154,pav_capelin_cpue + sitka_herring_e_go_a + est_abund_herring_recruits
155,pav_capelin_cpue + abund_herring + est_abund_herring_recruits
156,x13_ammod_wai + ammod_eai + capelin_w_go_a
157,x13_ammod_wai + ammod_eai + sitka_herring_e_go_a
158,x13_ammod_wai + ammod_eai + abund_herring
159,x13_ammod_wai + ammod_eai + est_abund_herring_recruits
160,x13_ammod_wai + capelin_w_go_a + sitka_herring_e_go_a
161,x13_ammod_wai + capelin_w_go_a + abund_herring
162,x13_ammod_wai + capelin_w_go_a + est_abund_herring_recruits
163,x13_ammod_wai + sitka_herring_e_go_a + abund_herring
164,x13_ammod_wai + sitka_herring_e_go_a + est_abund_herring_recruits
165,x13_ammod_wai + abund_herring + est_abund_herring_recruits
166,ammod_eai + capelin_w_go_a + sitka_herring_e_go_a
167,ammod_eai + capelin_w_go_a + abund_herring
168,ammod_eai + capelin_w_go_a + est_abund_herring_recruits
169,ammod_eai + sitka_herring_e_go_a + abund_herring
170,ammod_eai + sitka_herring_e_go_a + est_abund_herring_recruits
171,ammod_eai + abund_herring + est_abund_herring_recruits
172,capelin_w_go_a + sitka_herring_e_go_a + abund_herring
173,capelin_w_go_a + sitka_herring_e_go_a + est_abund_herring_recruits
174,capelin_w_go_a + abund_herring + est_abund_herring_recruits
175,sitka_herring_e_go_a + abund_herring + est_abund_herring_recruits
