sst_col,forcing,ssl_col,forage_label,shark_col,k0,kT,kF,Q10,n,aic,r2,b_cpue,b_ssl,b_shark,p_cpue,p_ssl,p_shark,model_group,sig_cpue,sig_ssl,sig_shark,sig_all3
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1.5,1,1.5,19,28.431099323532408,0.7959296795902667,0.60335545266395,0.60335545266395,0.60335545266395,6.902360113785807e-4,6.902360113785807e-4,6.902360113785807e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1.5,1,2,19,28.41372487601789,0.7961162052973044,0.6032284128024649,0.6032284128024649,0.6032284128024649,6.887155399687736e-4,6.887155399687736e-4,6.887155399687736e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1.5,1,2.5,19,28.399283042090644,0.7962711177789716,0.6031187584548504,0.6031187584548504,0.6031187584548504,6.875173439182521e-4,6.875173439182521e-4,6.875173439182521e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1.5,1.5,1.5,19,26.682939898720647,0.8138679716843379,0.5979743616520667,0.5979743616520667,0.5979743616520667,4.4819071425575876e-4,4.4819071425575876e-4,4.4819071425575876e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1.5,1.5,2,19,26.6636194159485,0.81405714709784,0.5978467825347508,0.5978467825347508,0.5978467825347508,4.469856255840729e-4,4.469856255840729e-4,4.469856255840729e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1.5,1.5,2.5,19,26.64756437285903,0.8142142028646512,0.5977362947247545,0.5977362947247545,0.5977362947247545,4.4603199555100936e-4,4.4603199555100936e-4,4.4603199555100936e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1.5,2,1.5,19,26.435991224737243,0.81627153151269,0.5923137789114604,0.5923137789114604,0.5923137789114604,4.3857975452969125e-4,4.3857975452969125e-4,4.3857975452969125e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1.5,2,2,19,26.41525803894738,0.8164719103994218,0.5921864618687865,0.5921864618687865,0.5921864618687865,4.37247851702782e-4,4.37247851702782e-4,4.37247851702782e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,1.5,2,2.5,19,26.39808254832954,0.8166377399081008,0.5920757986379681,0.5920757986379681,0.5920757986379681,4.361969014651818e-4,4.361969014651818e-4,4.361969014651818e-4,short,TRUE,TRUE,TRUE,TRUE
sst_wgoa_coastwatch_junjulaug,T_sst,ssl_west_pup_pred,stka_herr_matbiom + mid_il_capelin,other_sharks_bsai,-1.5,2,0.5,1.5,19,32.76346517907797,0.7436653293582222,0.5861075177259251,0.5861075177259251,0.5861075177259251,0.0023916168142083323,0.0023916168142083323,0.0023916168142083323,short,TRUE,TRUE,TRUE,TRUE
