model_group,shark_col,shark_temp_col,overlap_form,overlap_slope,shark_transform,aic_weight,delta_aic,n,curve_id,T,O_T,O_T_norm
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z,0.013363564854404361,0.8002458801206629,24,3,2.198492462311558,2.3190954773869343,2.214663165648646
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z,0.013363564854404361,0.8002458801206629,24,3,2.2236180904522618,2.334170854271357,2.2290596759345536
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z,0.013363564854404361,0.8002458801206629,24,3,2.248743718592965,2.349246231155779,2.24345618622046
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z,0.013363564854404361,0.8002458801206629,24,3,2.273869346733669,2.364321608040201,2.257852696506367
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z,0.013363564854404361,0.8002458801206629,24,3,2.298994974874372,2.379396984924623,2.2722492067922735
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z,0.013363564854404361,0.8002458801206629,24,3,2.324120603015076,2.3944723618090453,2.2866457170781804
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z,0.013363564854404361,0.8002458801206629,24,3,2.349246231155779,2.409547738693467,2.301042227364087
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z,0.013363564854404361,0.8002458801206629,24,3,2.374371859296483,2.42462311557789,2.315438737649994
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z,0.013363564854404361,0.8002458801206629,24,3,2.399497487437186,2.4396984924623117,2.3298352479359004
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z,0.013363564854404361,0.8002458801206629,24,3,2.42462311557789,2.4547738693467336,2.344231758221807
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z,0.013363564854404361,0.8002458801206629,24,3,2.449748743718593,2.4698492462311554,2.3586282685077133
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z,0.013363564854404361,0.8002458801206629,24,3,2.474874371859297,2.484924623115578,2.3730247787936207
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z,0.013363564854404361,0.8002458801206629,24,3,2.5,2.5,2.387421289079527
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.5,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.4748743718592965,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.449748743718593,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.4246231155778895,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.399497487437186,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.3743718592964824,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.349246231155779,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.3241206030150754,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.298994974874372,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.2738693467336684,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.248743718592965,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.2236180904522613,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.198492462311558,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.1733668341708543,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.148241206030151,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.1231155778894473,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.0979899497487438,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.0728643216080402,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.0477386934673367,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-2.022613065326633,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.9974874371859297,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.9723618090452262,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.9472361809045227,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.9221105527638191,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.8969849246231156,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.8718592964824121,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.8467336683417086,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.821608040201005,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.7964824120603016,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.771356783919598,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.7462311557788945,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.721105527638191,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.6959798994974875,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.670854271356784,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.6457286432160805,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.620603015075377,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.5954773869346734,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.57035175879397,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.5452261306532664,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.520100502512563,0.1,0.09549685156318109
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.4949748743718592,0.10301507537688448,0.09837615362036248
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.4698492462311556,0.11809045226130666,0.11277266390626924
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.4447236180904521,0.13316582914572872,0.12716917419217588
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.4195979899497486,0.1482412060301509,0.14156568447808265
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.394472361809045,0.16331658291457296,0.1559621947639893
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.3693467336683416,0.17839195979899503,0.17035870504989595
long,pacific_sleeper_shark_goa,enso_dj,linear,0.6,z_roll2,0.0129545712429233,0.8624123708105245,24,4,-1.344221105527638,0.1934673366834172,0.18475521533580272
