model_group,forage_set_id,forage_label,importance_aicw,n_models,min_aic,mean_r2,rank,importance_rel_top1
long,23,crg_herr_matbiom + ammod_eai,5.155392557487062e-6,3,52.284822871612114,0.524414319798935,148,4.866331145501934e-5
long,77,stka_herr_matbiom + x13_ammod_wai + ammod_eai,4.143969549894168e-6,3,53.19222514534046,0.5195010531976182,149,3.911618341725518e-5
long,30,mid_il_capelin + ammod_eai,4.0956837969781305e-6,3,52.8649143029063,0.5174815853421192,150,3.866039957406738e-5
long,161,x13_ammod_wai + capelin_w_go_a + abund_herring,3.222961307909621e-6,3,52.824465939896804,0.48944757254797344,151,3.042250773057178e-5
long,112,crg_herr_matbiom + ammod_eai + abund_herring,3.0556549083588783e-6,3,53.31552045189919,0.5028708722684775,152,2.884325196314594e-5
long,168,ammod_eai + capelin_w_go_a + est_abund_herring_recruits,2.909272905291975e-6,3,53.37065283682672,0.4998098253464925,153,2.74615079102495e-5
long,47,ammod_eai + sitka_herring_e_go_a,2.541587969288257e-6,3,53.66926914960199,0.49483867030074896,154,2.39908184606008e-5
long,46,ammod_eai + capelin_w_go_a,2.539150623720904e-6,3,53.90625294380095,0.4992306900335175,155,2.3967811617737718e-5
long,105,crg_herr_matbiom + x13_ammod_wai + ammod_eai,1.7209941604006342e-6,3,54.76735950396326,0.48196002397740306,156,1.6244985014423074e-5
long,45,x13_ammod_wai + est_abund_herring_recruits,1.7078713066711744e-6,3,54.673040600946564,0.4800319621093739,157,1.612111442433815e-5
long,126,mid_il_capelin + x13_ammod_wai + ammod_eai,1.5954201867265999e-6,3,54.961903590744996,0.47955035769435295,158,1.5059654251847237e-5
long,165,x13_ammod_wai + abund_herring + est_abund_herring_recruits,1.383320257638252e-6,3,54.942317460689964,0.46842633628519675,159,1.3057578795183104e-5
long,133,mid_il_capelin + ammod_eai + abund_herring,1.2618499411799214e-6,3,55.28705719474465,0.4689105136587644,160,1.1910983695695117e-5
long,156,x13_ammod_wai + ammod_eai + capelin_w_go_a,1.2466993546527654e-6,3,55.521803392472194,0.4693026374983407,161,1.1767972721714778e-5
long,5,x13_ammod_wai,1.1358074342359307e-6,3,55.62980447075253,0.45926799324931716,162,1.0721230305707559e-5
long,157,x13_ammod_wai + ammod_eai + sitka_herring_e_go_a,1.081243213787672e-6,3,55.67100239066822,0.46075876318321907,163,1.0206182106299787e-5
long,169,ammod_eai + sitka_herring_e_go_a + abund_herring,1.0161810785824883e-6,3,55.55658310282587,0.4560285925825547,164,9.592040910626855e-6
long,44,x13_ammod_wai + abund_herring,6.713712201871915e-7,3,56.9809323327994,0.4383198455477487,165,6.337276245328415e-6
long,49,ammod_eai + est_abund_herring_recruits,5.751828558530731e-7,3,57.45977036077633,0.4387306350982884,166,5.429325147571138e-6
long,159,x13_ammod_wai + ammod_eai + est_abund_herring_recruits,5.274134291799158e-7,3,57.756167280218754,0.43284243569766045,167,4.97841506413868e-6
long,167,ammod_eai + capelin_w_go_a + abund_herring,4.993483951563923e-7,3,57.36966089151933,0.42932752466154384,168,4.713500709615084e-6
long,171,ammod_eai + abund_herring + est_abund_herring_recruits,4.666027213540182e-7,3,57.7942677478847,0.42846051076871544,169,4.40440437887395e-6
long,41,x13_ammod_wai + ammod_eai,3.593583216469186e-7,3,58.13610652709372,0.4128298434380709,170,3.3920920153520058e-6
long,158,x13_ammod_wai + ammod_eai + abund_herring,2.9504494159289533e-07,3,58.731725455894384,0.40420815182839714,171,2.7850185462814946e-6
long,6,ammod_eai,1.9005412561541832e-7,3,59.64963905715137,0.3841867781364899,172,1.7939784419913559e-6
long,48,ammod_eai + abund_herring,1.714927703011916e-7,3,59.97968658556647,0.37943230574807146,173,1.618772188614644e-6
short,68,stka_herr_matbiom + mid_il_capelin + sitka_herring_e_go_a,0.10950003379289927,3,15.006299851742662,0.8922567225270712,1,1
short,160,x13_ammod_wai + capelin_w_go_a + sitka_herring_e_go_a,0.06939195370390575,3,16.278600133916477,0.8878732037078145,2,0.6337162766100041
short,65,stka_herr_matbiom + mid_il_capelin + x13_ammod_wai,0.0634550918275402,3,16.36759088964194,0.8868909872153271,3,0.5794983766631043
short,86,stka_herr_matbiom + capelin_w_go_a + sitka_herring_e_go_a,0.06034959208985196,3,16.44702824072682,0.8858447282615164,4,0.5511376572174669
short,128,mid_il_capelin + x13_ammod_wai + sitka_herring_e_go_a,0.04588564714831537,3,17.03755356808289,0.8828631162286963,5,0.4190468765982327
short,96,crg_herr_matbiom + mid_il_capelin + sitka_herring_e_go_a,0.044870492737621774,3,16.565267284318388,0.8788741064623198,6,0.40977606292329277
short,79,stka_herr_matbiom + x13_ammod_wai + sitka_herring_e_go_a,0.043521903190338995,3,17.783891725623512,0.8829364002259527,7,0.39746018044755393
short,56,stka_herr_matbiom + crg_herr_matbiom + mid_il_capelin,0.04242844241969732,3,17.24387737384798,0.8808555135248787,8,0.38747424041844153
short,60,stka_herr_matbiom + crg_herr_matbiom + capelin_w_go_a,0.030352850183461705,3,18.05981797956604,0.8768508625700274,9,0.27719489329901914
short,114,crg_herr_matbiom + capelin_w_go_a + sitka_herring_e_go_a,0.030145992460281247,3,17.647318374914338,0.8749187088634885,10,0.27530578225480073
short,12,stka_herr_matbiom + mid_il_capelin,0.029985486763870042,3,17.916378790175457,0.8776397341934792,11,0.27383997726048653
short,93,crg_herr_matbiom + mid_il_capelin + x13_ammod_wai,0.025125077470027315,3,18.77255609867081,0.875859897334988,12,0.22945269147174086
short,64,stka_herr_matbiom + mid_il_capelin + pav_capelin_cpue,0.024499678455152194,3,18.253252785542784,0.8739285091710798,13,0.223741286705803
short,50,capelin_w_go_a + sitka_herring_e_go_a,0.024088045296553104,3,17.781229864112245,0.872387282080663,14,0.21998208093808952
short,73,stka_herr_matbiom + pav_capelin_cpue + capelin_w_go_a,0.022718999875260673,3,18.542300922407847,0.8730344856713071,15,0.20747938688521142
short,78,stka_herr_matbiom + x13_ammod_wai + capelin_w_go_a,0.021565784642186198,3,18.625777487307555,0.8734756514586215,16,0.19694774417124125
short,32,mid_il_capelin + sitka_herring_e_go_a,0.021301205363980707,3,18.066047422722136,0.8711069408518779,17,0.19453149580089008
