shark_col,shark_temp_col,Q10,overlap_form,overlap_slope,shark_transform,n,aic,bic,cfi,rmsea,b_hake_cpue,p_hake_cpue,b_cpue_sar,p_cpue_sar,b_shark_sar,p_shark_sar,aic_base,bic_base,b_shark_base,p_shark_base,delta_aic_vs_base,improved_fit,sig_shark_int,sig_shark_base
goa_pacific_sleeper_shark,sst_egoa_coastwatch_junjulaug,2,linear,0.2,log1p,24,98.92340797616043,107.16978478859605,1,0,-0.37201497826753915,1.4367408695936668e-4,0.47238202155883696,0.011532082069396488,-0.44378083947578884,0.001072462224776416,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-6.785923491923711,TRUE,TRUE,FALSE
goa_salmon_shark,sst_egoa_coastwatch_junjulaug,2,logistic,1,log1p,24,100.63798039250497,108.88435720494059,0.9803297850380869,0.10024548740815108,-0.3720149782675389,1.4367408694315742e-4,0.4087206619643063,0.04634242978795999,-0.42899254194652203,0.003952054692841989,107.4018329733739,115.64820978580951,-0.09456634846648726,0.5421545907741325,-6.763852580868928,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_egoa_coastwatch_junjulaug,2,logistic,0.4,log1p,24,98.98595751247112,107.23233432490673,1,0,-0.37201497826753915,1.43674086921175e-4,0.47813964251613483,0.010441213096326951,-0.44122616380689234,0.00112613053278654,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-6.723373955613027,TRUE,TRUE,FALSE
goa_salmon_shark,sst_egoa_coastwatch_junjulaug,2,linear,0.4,log1p,24,100.89602174185853,109.14239855429415,0.9670589075282662,0.1299108689322626,-0.37201497826753915,1.4367408694782036e-4,0.4080601782340585,0.04876222419045817,-0.4238919951815056,0.004781627648642317,107.4018329733739,115.64820978580951,-0.09456634846648726,0.5421545907741325,-6.5058112315153664,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,linear,0.4,raw,24,99.17146665488525,107.41784346732086,0.949403558152131,0.16828262260967508,-0.37201497826753915,1.4367408690985073e-4,0.5876770681392438,0.0010351092442477672,-0.4179523442891702,0.001300860220863509,105.54441217611307,113.79078898854868,-0.22730884019811926,0.126686387307684,-6.37294552122782,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,logistic,0.8,raw,24,99.29038428610178,107.5367610985374,0.9452696689043095,0.17499519541931452,-0.3720149782675389,1.4367408694493378e-4,0.5988489136346937,8.249452179724948e-4,-0.414370329465114,0.0014262293837550288,105.54441217611307,113.79078898854868,-0.22730884019811926,0.126686387307684,-6.254027890011287,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_egoa_coastwatch_junjulaug,2,linear,1,raw,24,99.32666917053712,107.57304598297273,0.9940805666100739,0.05608008312278884,-0.37201497826753915,1.436740869296127e-4,0.5380027091532648,0.003267906922660435,-0.4221905384516124,0.0014667345939294307,105.54441217611307,113.79078898854868,-0.22730884019811926,0.126686387307684,-6.217743005575954,TRUE,TRUE,FALSE
goa_salmon_shark,sst_wgoa_coastwatch_junjulaug,2,linear,0.4,log1p,24,101.18526335822403,109.43164017065965,0.9635680621259417,0.1360334468333114,-0.3720149782675389,1.4367408697024686e-4,0.4324721015625131,0.03501067835991378,-0.4097124746152957,0.005910568628856305,107.4018329733739,115.64820978580951,-0.09456634846648726,0.5421545907741325,-6.216569615149865,TRUE,TRUE,FALSE
goa_salmon_shark,sst_wgoa_coastwatch_junjulaug,2,logistic,0.8,log1p,24,101.28554734672767,109.53192415916328,0.9582915882938987,0.14563971653829375,-0.37201497826753915,1.4367408694315742e-4,0.4375284150918301,0.03283579220090593,-0.40590841279826245,0.006358828617572421,107.4018329733739,115.64820978580951,-0.09456634846648726,0.5421545907741325,-6.116285626646231,TRUE,TRUE,FALSE
goa_salmon_shark,sst_egoa_coastwatch_junjulaug,2,logistic,0.8,log1p,24,101.315999020379,109.56237583281461,0.9602234294213389,0.1419912214012641,-0.37201497826753893,1.4367408695670214e-4,0.4254266646859237,0.04004868936423556,-0.4091204794069472,0.006501307801502376,107.4018329733739,115.64820978580951,-0.09456634846648726,0.5421545907741325,-6.0858339529949035,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_egoa_coastwatch_junjulaug,2,linear,0.8,raw,24,99.49358662961976,107.73996344205537,0.9856952736992547,0.08725962584558657,-0.37201497826753915,1.4367408695381556e-4,0.5349011171625798,0.00362705663535845,-0.4194504104520771,0.0016677044489492587,105.54441217611307,113.79078898854868,-0.22730884019811926,0.126686387307684,-6.050825546493314,TRUE,TRUE,FALSE
goa_pacific_sleeper_shark,sst_wgoa_coastwatch_junjulaug,2,logistic,0.2,log1p,24,99.82317887782622,108.06955569026184,0.9933421586327426,0.05891170486401897,-0.37201497826753915,1.4367408690341144e-4,0.5536156677757227,0.0026080763585802913,-0.40954809007958515,0.0021447646685626154,105.70933146808414,113.95570828051976,-0.2160424358886811,0.14235485226707967,-5.886152590257922,TRUE,TRUE,FALSE
