model_group,overlap_form,T,w_mean,w_q10,w_q90
short,linear,-1.0427135678391959,0.7914572864321608,0.7914572864321608,0.7914572864321608
short,linear,-1.0175879396984924,0.7964824120603016,0.7964824120603016,0.7964824120603016
short,linear,-0.9924623115577889,0.8015075376884423,0.8015075376884422,0.8015075376884422
short,linear,-0.9673366834170853,0.806532663316583,0.8065326633165829,0.8065326633165829
short,linear,-0.9422110552763818,0.8115577889447237,0.8115577889447236,0.8115577889447236
short,linear,-0.9170854271356783,0.8165829145728645,0.8165829145728644,0.8165829145728644
short,linear,-0.8919597989949748,0.8216080402010052,0.8216080402010051,0.8216080402010051
short,linear,-0.8668341708542713,0.8266331658291457,0.8266331658291457,0.8266331658291457
short,linear,-0.8417085427135678,0.8316582914572864,0.8316582914572864,0.8316582914572864
short,linear,-0.8165829145728642,0.8366834170854272,0.8366834170854272,0.8366834170854272
short,linear,-0.7914572864321607,0.8417085427135679,0.8417085427135679,0.8417085427135679
short,linear,-0.7663316582914572,0.8467336683417086,0.8467336683417086,0.8467336683417086
short,linear,-0.7412060301507537,0.8517587939698491,0.8517587939698492,0.8517587939698492
short,linear,-0.7160804020100502,0.8567839195979898,0.8567839195979899,0.8567839195979899
short,linear,-0.6909547738693467,0.8618090452261306,0.8618090452261307,0.8618090452261307
short,linear,-0.6658291457286432,0.8668341708542713,0.8668341708542714,0.8668341708542714
short,linear,-0.6407035175879396,0.8718592964824122,0.8718592964824121,0.8718592964824121
short,linear,-0.6155778894472361,0.8768844221105527,0.8768844221105527,0.8768844221105527
short,linear,-0.5904522613065326,0.8819095477386935,0.8819095477386935,0.8819095477386935
short,linear,-0.5653266331658291,0.8869346733668342,0.8869346733668342,0.8869346733668342
short,linear,-0.5402010050251256,0.8919597989949749,0.8919597989949749,0.8919597989949749
short,linear,-0.5150753768844221,0.8969849246231156,0.8969849246231156,0.8969849246231156
short,linear,-0.4899497487437183,0.9020100502512564,0.9020100502512564,0.9020100502512564
short,linear,-0.4648241206030148,0.9070351758793971,0.9070351758793971,0.9070351758793971
short,linear,-0.4396984924623113,0.9120603015075376,0.9120603015075377,0.9120603015075377
short,linear,-0.4145728643216078,0.9170854271356783,0.9170854271356784,0.9170854271356784
short,linear,-0.38944723618090427,0.922110552763819,0.9221105527638191,0.9221105527638191
short,linear,-0.36432160804020075,0.9271356783919598,0.9271356783919599,0.9271356783919599
short,linear,-0.33919597989949724,0.9321608040201005,0.9321608040201006,0.9321608040201006
short,linear,-0.3140703517587937,0.9371859296482412,0.9371859296482412,0.9371859296482412
short,linear,-0.2889447236180902,0.9422110552763819,0.9422110552763819,0.9422110552763819
short,linear,-0.2638190954773867,0.9472361809045227,0.9472361809045227,0.9472361809045227
short,linear,-0.23869346733668317,0.9522613065326634,0.9522613065326634,0.9522613065326634
short,linear,-0.21356783919597966,0.9572864321608041,0.9572864321608041,0.9572864321608041
short,linear,-0.18844221105527614,0.9623115577889447,0.9623115577889447,0.9623115577889447
short,linear,-0.16331658291457263,0.9673366834170853,0.9673366834170855,0.9673366834170855
short,linear,-0.1381909547738691,0.9723618090452261,0.9723618090452262,0.9723618090452262
short,linear,-0.1130653266331656,0.9773869346733668,0.9773869346733669,0.9773869346733669
short,linear,-0.08793969849246208,0.9824120603015075,0.9824120603015076,0.9824120603015076
short,linear,-0.06281407035175857,0.9874371859296482,0.9874371859296482,0.9874371859296482
short,linear,-0.03768844221105505,0.992462311557789,0.992462311557789,0.992462311557789
short,linear,-0.012562814070351536,0.9974874371859297,0.9974874371859297,0.9974874371859297
short,linear,0.01256281407035198,1.0025125628140703,1.0025125628140703,1.0025125628140703
short,linear,0.037688442211055495,1.0075376884422111,1.0075376884422111,1.0075376884422111
short,linear,0.06281407035175901,1.0125628140703518,1.0125628140703518,1.0125628140703518
short,linear,0.08793969849246253,1.0175879396984926,1.0175879396984926,1.0175879396984926
short,linear,0.11306532663316604,1.0226130653266332,1.0226130653266332,1.0226130653266332
short,linear,0.13819095477386956,1.0276381909547738,1.0276381909547738,1.0276381909547738
short,linear,0.16331658291457307,1.0326633165829147,1.0326633165829147,1.0326633165829147
short,linear,0.1884422110552766,1.0376884422110553,1.0376884422110553,1.0376884422110553
short,linear,0.2135678391959801,1.042713567839196,1.042713567839196,1.042713567839196
short,linear,0.23869346733668362,1.0477386934673367,1.0477386934673367,1.0477386934673367
short,linear,0.26381909547738713,1.0527638190954773,1.0527638190954773,1.0527638190954773
short,linear,0.28894472361809065,1.0577889447236182,1.0577889447236182,1.0577889447236182
short,linear,0.31407035175879416,1.0628140703517588,1.0628140703517588,1.0628140703517588
short,linear,0.3391959798994977,1.0678391959798996,1.0678391959798996,1.0678391959798996
short,linear,0.3643216080402012,1.0728643216080402,1.0728643216080402,1.0728643216080402
short,linear,0.3894472361809047,1.0778894472361809,1.0778894472361809,1.0778894472361809
short,linear,0.4145728643216082,1.0829145728643217,1.0829145728643217,1.0829145728643217
short,linear,0.43969849246231174,1.0879396984924623,1.0879396984924623,1.0879396984924623
short,linear,0.46482412060301526,1.0929648241206031,1.0929648241206031,1.0929648241206031
short,linear,0.48994974874371877,1.0979899497487438,1.0979899497487438,1.0979899497487438
short,linear,0.5150753768844223,1.1030150753768844,1.1030150753768844,1.1030150753768844
short,linear,0.5402010050251258,1.1080402010050252,1.1080402010050252,1.1080402010050252
short,linear,0.5653266331658293,1.1130653266331658,1.1130653266331658,1.1130653266331658
short,linear,0.5904522613065328,1.1180904522613067,1.1180904522613067,1.1180904522613067
short,linear,0.6155778894472363,1.1231155778894473,1.1231155778894473,1.1231155778894473
short,linear,0.6407035175879399,1.1281407035175879,1.1281407035175879,1.1281407035175879
short,linear,0.6658291457286434,1.1331658291457287,1.1331658291457287,1.1331658291457287
short,linear,0.6909547738693469,1.1381909547738693,1.1381909547738693,1.1381909547738693
short,linear,0.7160804020100504,1.1432160804020102,1.1432160804020102,1.1432160804020102
short,linear,0.7412060301507539,1.1482412060301508,1.1482412060301508,1.1482412060301508
short,linear,0.7663316582914574,1.1532663316582914,1.1532663316582914,1.1532663316582914
