"","term1_col","term2_col","n_years","aic","bic","cfi","rmsea","b_hake_cpue","p_hake_cpue","b_hake_sar","p_hake_sar","b_term1_sar","p_term1_sar","b_term2_sar","p_term2_sar","model_type","delta_aic_vs_base","contains_new_shark"
"77","x15_spiny_dogfish_go_a_pred_ak","x13_dfa_wgoa_dfa_mid_trophic",18,87.9299852209169,94.1625875261901,1,0,-0.59137433107725,0.000176445336821374,-1.02421688346984,2.66603454357472e-06,-0.246569833938427,0.340176189115891,0.920852966931781,0.00498231085021161,"1 Predator + 1 Prey",-4.54241521188908,FALSE
"78","x15_pacific_cod_biomass_pred_ak","x13_stka_herr_matbiom",18,87.9420394256356,94.1746417309087,1,0,-0.591374367022916,0.000176445200398279,-0.557826463246399,0.00106421146423408,0.0933290564085692,0.617233460729592,0.520409063054586,0.00168899288779767,"1 Predator + 1 Prey",-4.53036100717046,FALSE
"79","x10_harbour_s_2yr_lead_ws","x13_dfa_wgoa_dfa_mid_trophic",18,87.9562392589729,94.188841564246,1,0,-0.591374342260775,0.000176445344781673,-1.07321771204238,7.12207173036994e-06,0.19241884400445,0.347550212410074,0.822479961835658,0.0016139982496477,"1 Predator + 1 Prey",-4.51616117383315,FALSE
"80","x15_shark_enso_roll2","x13_gadid_wai",18,87.9606582404753,94.1932605457484,1,0,-0.591374288708975,0.00017644561096497,-0.603973437359317,7.84763864132287e-05,-0.674941219202601,0.0022625022478977,0.383730982456187,0.081558699758171,"1 Predator + 1 Prey",-4.51174219233073,TRUE
"81","x10_dfa_ssl_est_wholerange_2yr_lead","x12_copepod_com_e_go_a",18,87.9667259402651,94.1993282455383,1,0,-0.591374339987202,0.000176445310538842,-0.743552501726347,6.71446685540644e-06,0.285817265218046,0.16873788370841,0.425299716897126,0.0183751864279036,"1 Predator + 1 Prey",-4.50567449254086,FALSE
"82","x10_harbour_s_2yr_lead_ws","x15_arrowtooth_flounder_biomass_pred_ak",18,87.9683102905077,94.2009125957809,1,0,-0.591374378188211,0.000176445053115648,-0.953492661451436,5.92542755839531e-06,0.338698594131034,0.147342845402828,-0.804699140499473,0.001579284806839,"2 Predators",-4.50409014229828,FALSE
"83","x10_harbour_s_2yr_lead_ws","x13_stka_herr_matbiom",18,87.9729515973041,94.2055539025773,1,0,-0.591374343640317,0.000176445282197957,-0.590037757992702,9.09274475937583e-05,-0.0800593718083899,0.642339747825446,0.471513053972097,0.00165589840317848,"1 Predator + 1 Prey",-4.49944883550191,FALSE
"84","x15_sablefish_biomass_pred_ak","x12_dfa_biomass_euph_shelf_sum",18,87.9808368767762,94.2134391820493,1,0,-0.591374340558878,0.000176445349439946,-1.20991288543046,5.21368032146974e-05,0.830375639311564,0.00140395661193393,0.565769871774921,0.0394860378523003,"1 Predator + 1 Prey",-4.49156355602983,FALSE
"85","x15_arrowtooth_flounder_biomass_pred_ak","x13_wgoa_cap_pcod",18,87.985062944076,94.2176652493492,1,0,-0.591374346525857,0.000176445277445092,-0.517969223288907,0.0457769005289601,-0.543228312663233,0.00340189450864647,0.334324073401218,0.149851637725278,"1 Predator + 1 Prey",-4.48733748872996,FALSE
"86","x15_dfa_sleeper_shark_bsai_pred_ak","x13_gadid_wai",18,88.0107813489199,94.243383654193,1,0,-0.591374353648944,0.00017644521015292,-0.503098766320673,0.000963692845712405,-0.596470180756506,0.00226838309457289,0.316449208555983,0.147646181332415,"1 Predator + 1 Prey",-4.46161908388615,FALSE
