"","term1_col","term2_col","n_years","aic","bic","cfi","rmsea","b_hake_cpue","p_hake_cpue","b_cpue_sar","p_cpue_sar","b_term1_sar","p_term1_sar","b_term2_sar","p_term2_sar","model_type","delta_aic_vs_base","contains_new_shark"
"150","x10_californian_s_l_2yr_lead_ws","x13_egoa_herring",24,120.765707910734,127.834030892821,0.687669396317588,0.367497795327646,-0.613080028554731,0.000143674086900969,0.614398251619196,7.85336954252092e-05,0.156545511999582,0.319164909665018,0.31435254137072,0.0501838524757541,"1 Predator + 1 Prey",-1.50212260539428,FALSE
"151","x15_dfa_sleeper_shark_bsai_pred_ak","x13_ammod_wai",24,120.779253229714,127.847576211802,0.67145126708966,0.381322593545341,-0.613080028554731,0.000143674086900969,0.562897943339155,0.000229706403517493,-0.199306708773631,0.395709705788472,-0.203893655985367,0.38604320391469,"1 Predator + 1 Prey",-1.48857728641369,FALSE
"152","x15_dfa_sleeper_shark_bsai_pred_ak","x13_dfa_wgoa_dfa_mid_trophic",24,120.799640213704,127.867963195792,0.806001837860624,0.267315212775189,-0.613080028554731,0.000143674086900969,0.529343878595988,0.00232695921091408,-0.450309191576376,0.02050953959966,-0.173169543590847,0.415697557506791,"1 Predator + 1 Prey",-1.46819030242364,FALSE
"153","x10_northern_f_s_2yr_lead_ws","x13_ammod_wai",24,120.836319459358,127.904642441445,0.73152061843899,0.329808720795689,-0.613080028554731,0.000143674086900969,0.506453168922995,0.00147151894316533,0.136898943421769,0.437690906011334,-0.298435961859492,0.083577695760555,"1 Predator + 1 Prey",-1.43151105677029,FALSE
"154","x15_shark_catch_go_a_pred_ak","x13_dfa_wgoa_dfa_seabirds",24,120.838578154999,127.906901137087,0.878916468993542,0.20205318606428,-0.613080028554731,0.000143674086900969,0.513537549092851,0.00175667125062873,0.164256530279968,0.298230179093595,-0.345281266451585,0.0295371929999428,"1 Predator + 1 Prey",-1.42925236112868,FALSE
"155","x15_salmon_shark_go_a_pred_ak","x13_hexagram_eai",24,120.861980755965,127.930303738053,0.955750541303517,0.117068584409506,-0.613080028554731,0.000143674086900969,0.47444753943042,0.00225686160758376,-0.216241038959134,0.16135547657725,-0.348413373564285,0.0263537969019139,"1 Predator + 1 Prey",-1.40584976016299,FALSE
"156","x15_shark_enso_roll2","x13_hexagram_wai",24,120.865294721261,127.933617703349,0.76154071879027,0.304428596895349,-0.613080028554731,0.000143674086900969,0.554805435306488,0.000399918374251573,-0.347121962310579,0.0260151873473009,0.0929052052900123,0.559313514872015,"1 Predator + 1 Prey",-1.40253579486659,TRUE
"157","x10_californian_s_l_2yr_lead_ws","x15_dfa_sleeper_shark_bsai_pred_ak",24,120.89170914689,127.960032128977,0.854118909863412,0.224696288265459,-0.613080028554731,0.000143674086900969,0.602460664513674,7.92510444926897e-05,-0.216615115437432,0.433313824976051,-0.539629537272984,0.0510032354624266,"2 Predators",-1.37612136923821,FALSE
"158","x10_northern_f_s_2yr_lead_ws","x13_wgoa_cap_pcod",24,120.924904410271,127.993227392359,1,0,-0.613080028554731,0.000143674086900969,0.390832318790769,0.0189682777772817,0.131279583472391,0.454473432232134,0.324396738079154,0.0822168474391916,"1 Predator + 1 Prey",-1.34292610585709,FALSE
"159","x10_northern_f_s_2yr_lead_ws","x12_dfa_biomass_euph_shelf_sum",24,120.933250563478,128.001573545566,1,0,-0.613080028554731,0.000143674086900969,0.425808429921461,0.00802123718593539,0.221404312506472,0.163964625023129,-0.278941672692433,0.0825709503666729,"1 Predator + 1 Prey",-1.33457995264953,FALSE
"160","x10_northern_f_s_2yr_lead_ws","x15_dfa_sleeper_shark_bsai_pred_ak",24,120.943890787746,128.012213769834,0.880381392523389,0.200164229322292,-0.613080028554731,0.000143674086900969,0.55622223080383,0.00043154497826503,0.130896926970619,0.452019176329653,-0.298616624656142,0.0786188255383282,"2 Predators",-1.32393972838184,FALSE
