ssl_variable,herring_variable,capelin_variable,n_years,aic,delta_aic_vs_pdo,beats_pdo,cfi,rmsea,srmr,r2_sar,b_issl_sar,p_issl_sar,b_shark_sar,p_shark_sar
ssl_east_np_pred,x05_herring_ncc,x13_wgoa_cap_pcod,24,118.85462615779869,13.119626157798692,FALSE,0.855204054949029,0.2341785126734576,0.07813152449422521,0.5143118777058671,-0.23078376568634593,0.12190287512024112,-0.4276906982376769,0.004067378273324929
ssl_cent_pup_pred,x05_herring_gam,x13_wgoa_cap_pcod,24,118.85834852150205,13.123348521502052,FALSE,0.917853324327194,0.17024619332179727,0.05187732779691596,0.49728742006959514,0.2546147562574663,0.11829464476274532,-0.3341522366580439,0.021856263953720534
ssl_west_np_pred,x03_dfa_com_murre_diet_herr_sard_yaquina_ncc,x13_mid_il_capelin,24,119.40246512256076,13.667465122560756,FALSE,0.8738048075482077,0.21372528087729817,0.07215961563422499,0.4867780950926318,-0.20599979805616728,0.1763023438814213,-0.40178234081660336,0.007170721713991357
ssl_west_np_pred,x03_dfa_com_murre_diet_herr_sard_yaquina_ncc,x13_wgoa_cap_pcod,24,119.49229267788002,13.757292677880017,FALSE,0.881753700400934,0.20554343295154132,0.06968514317212321,0.489751088987337,-0.19891189758429773,0.1924182980364164,-0.3987150720595322,0.0074099632230089085
ssl_cent_pup_pred,x03_dfa_com_murre_diet_herr_sard_yaquina_ncc,x13_mid_il_capelin,24,119.49358452986917,13.758584529869168,FALSE,0.8708918755193006,0.21610547558579776,0.07220716606406126,0.4798469060751047,-0.2026080477404433,0.18231269938809214,-0.34513207084761544,0.01972881748143096
ssl_cent_pup_pred,x05_herring_gam,x13_mid_il_capelin,24,119.53008562810584,13.795085628105838,FALSE,0.8770624394379358,0.20996572786629206,0.05558604098371486,0.48508455220666147,0.2146800782507936,0.1956192679628761,-0.33858933240395805,0.021705860769179797
ssl_east_np_pred,x03_dfa_com_murre_diet_herr_sard_yaquina_ncc,x13_mid_il_capelin,24,119.60513638835218,13.87013638835218,FALSE,0.8503754197762385,0.2348532796385071,0.0781618018700385,0.4795630738542819,-0.1948822009622782,0.20290586915154352,-0.40830260924949285,0.007114577806897504
ssl_west_pup_pred,x03_dfa_com_murre_diet_herr_sard_yaquina_ncc,x13_wgoa_cap_pcod,24,119.6865796312849,13.9515796312849,FALSE,0.8766646817284445,0.20962472050363523,0.07068083875572248,0.4877769433523116,-0.1884021117643794,0.22338752971467635,-0.40725430244238453,0.00706622953699676
ssl_west_pup_pred,x03_dfa_com_murre_diet_herr_sard_yaquina_ncc,x13_mid_il_capelin,24,119.69074093823605,13.955740938236048,FALSE,0.8705520877240591,0.21548918680595194,0.07263991756131268,0.4827028505536768,-0.1898917973535343,0.21972507538280683,-0.4089939875556398,0.007119972875052838
ssl_east_np_pred,x03_dfa_com_murre_diet_herr_sard_yaquina_ncc,x13_wgoa_cap_pcod,24,119.69785725799647,13.962857257996475,FALSE,0.8614169670781867,0.2241067409330385,0.07485663090827337,0.48210502800164634,-0.186988588842729,0.22060447476643974,-0.40421171943486806,0.0074446947432247335
ssl_seak_pup_pred,x05_herring_ncc,x13_wgoa_cap_pcod,24,119.75608923374392,14.021089233743922,FALSE,0.8391088183276458,0.24434321637570705,0.07938559520707852,0.48811539483066824,-0.1797331272781954,0.2316183501794995,-0.4044987705565944,0.007146691966356089
ssl_seak_pup_pred,x05_herring_ncc,x13_mid_il_capelin,24,119.82141525070276,14.086415250702757,FALSE,0.8261843985916479,0.25557333091015494,0.08104051223629835,0.4805894071058562,-0.1766315266451703,0.24294367017285756,-0.4050054434926473,0.007508799288942436
ssl_cent_pup_pred,x03_dfa_com_murre_diet_herr_sard_yaquina_ncc,x13_wgoa_cap_pcod,24,119.87972700165733,14.14472700165733,FALSE,0.8707360144726399,0.21440651675597633,0.07098982137108366,0.47367832502753004,-0.1787306766600582,0.24599758358561274,-0.34636284914598336,0.02005718278293034
ssl_east_pup_pred,x03_dfa_com_murre_diet_herr_sard_yaquina_ncc,x13_mid_il_capelin,24,119.90381795576957,14.168817955769569,FALSE,0.86108248047900815,0.22339005584118674,0.07490098894802513,0.4757544622008236,-0.17260232598693026,0.2555851876980868,-0.3866978813551118,0.00972656563695895
ssl_east_pup_pred,x03_dfa_com_murre_diet_herr_sard_yaquina_ncc,x13_wgoa_cap_pcod,24,119.92108630506067,14.18608630506067,FALSE,0.8693355506050519,0.21553821019682717,0.0723485986963058,0.47975235852583276,-0.16983343946647902,0.2630998825795907,-0.3845017178950095,0.009805461489668765
ssl_seak_pup_pred,x03_dfa_com_murre_diet_herr_sard_yaquina_ncc,x13_wgoa_cap_pcod,24,120.29827779266691,14.56327779266691,FALSE,0.8537294008821599,0.22816322054284338,0.07609386132412231,0.47257863190376803,-0.1465278539965155,0.3538264063793428,-0.40899645760149567,0.009046383617807185
ssl_seak_pup_pred,x03_dfa_com_murre_diet_herr_sard_yaquina_ncc,x13_mid_il_capelin,24,120.3336724873447,14.5986724873447,FALSE,0.8466012880414304,0.23444826577884287,0.07855784332134469,0.4677874755186324,-0.14470209674643722,0.361359379174528,-0.4094158194272331,0.009328634450355588
ssl_model_eric,x05_herring_gam,x13_wgoa_cap_pcod,24,120.4783152898651,14.743315289865095,FALSE,0.8380980156224624,0.24127454172913584,0.06774470161078817,0.46551396441511017,0.13449645284096828,0.4093546662409562,-0.37277941951781207,0.013068118892196168
ssl_cent_np_pred,x03_dfa_com_murre_diet_herr_sard_yaquina_ncc,x13_mid_il_capelin,24,120.63345788888415,14.898457888884153,FALSE,0.8069823646308385,0.26751061290338385,0.09240542744839614,0.4528908178686568,-0.11760454632658711,0.45744746641862877,-0.3960447699322601,0.011695961833380952
ssl_west_np_pred,x05_herring_gam,x13_wgoa_cap_pcod,24,120.76246650838283,15.02746650838283,FALSE,0.8421970343407894,0.23605919209056114,0.07643579264839243,0.46295540423525694,0.09473424833452175,0.536795160642288,-0.3686551832730532,0.014106767060998227
ssl_model_eric,x05_herring_gam,x13_mid_il_capelin,24,120.7734065700376,15.038406570037594,FALSE,0.8004688699402598,0.2722026355400894,0.07070269852876805,0.46078910114865057,0.10024196828102915,0.5430587647835012,-0.37155411743456207,0.013920255014155947
ssl_west_np_pred,x05_herring_gam,x13_mid_il_capelin,24,120.82774857888583,15.092748578885832,FALSE,0.8177972240814271,0.25701698862837224,0.08104702503796656,0.46486362256651415,0.0856171455161608,0.5785433563562079,-0.3670255130244975,0.014326549868365124
